slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,11.465555555555556,29.0,25.0,28.0,27.036363636363635,60.465656565656566,7,51,7,448,2553,0.0,0.0,0.0,18.0564,29.0,16.9668,29.0,11.465555555555556,29.0,0.0
110,11.192323232323233,32.0,25.0,30.0,28.17979797979798,58.83131313131313,9,58,9,747,4615,0.0,0.0,0.0,16.3244,32.0,18.09,31.0,11.192323232323233,32.0,0.0
120,11.25949494949495,34.0,26.0,31.0,28.705050505050504,59.41191919191919,6,52,6,195,496,0.0,0.0,0.0,17.4192,34.0,17.4984,32.0,11.25949494949495,34.0,0.0
130,10.228282828282829,35.0,24.0,29.0,27.022222222222222,53.62141414141414,13,62,12,404,3277,0.0,0.0,0.0,14.2636,35.0,15.9504,33.0,10.228282828282829,35.0,0.0
140,10.183636363636364,36.0,23.0,31.0,27.509090909090908,53.83888888888889,14,57,14,332,1575,0.0,0.0,0.0,15.4844,26.0,15.5352,36.0,10.183636363636364,36.0,0.0
150,10.203131313131314,33.0,23.0,29.040000000000873,26.084848484848486,54.78151515151515,13,65,12,316,1670,0.0,0.0,0.0,17.282,29.0,13.86,33.0,10.203131313131314,33.0,0.0
160,10.353838383838383,37.0,24.0,32.05000000000109,28.155555555555555,56.52020202020202,7,41,7,301,1519,0.0,0.0,0.0,18.272,32.0,13.6572,37.0,10.353838383838383,37.0,0.0
170,10.3189898989899,39.0,24.0,33.06000000000131,28.8,57.99515151515151,10,60,10,370,1282,0.0,0.0,0.0,17.734,33.0,13.9432,39.0,10.3189898989899,39.0,0.0
180,10.706666666666667,42.0,26.0,33.090000000001965,30.745454545454546,60.473030303030306,8,46,8,427,2483,0.0,0.0,0.0,18.1764,33.0,15.198,42.0,10.706666666666667,42.0,0.0
190,10.528181818181817,44.0,28.0,33.1100000000024,32.4040404040404,59.87969696969697,8,45,8,426,2226,0.0,0.0,0.0,17.6876,33.0,14.7972,44.0,10.528181818181817,44.0,0.0
200,10.391919191919191,45.0,25.0,35.10000000000218,32.72121212121212,58.30222222222222,10,47,10,801,5385,0.0,0.0,0.0,16.3252,35.0,14.2332,45.0,10.391919191919191,45.0,0.0
210,9.505858585858586,46.0,23.0,30.160000000003492,29.286868686868686,52.72666666666667,10,66,10,691,3413,0.0,0.0,0.0,13.4724,30.0,14.2028,46.0,9.505858585858586,46.0,0.0
220,8.752222222222223,46.0,20.0,33.13000000000284,27.89090909090909,48.48919191919192,10,64,10,542,2350,0.0,0.0,0.0,11.0852,33.0,13.9648,46.0,8.752222222222223,46.0,0.0
230,8.78979797979798,47.0,21.0,34.13000000000284,28.145454545454545,47.766969696969696,15,61,14,671,3056,0.0,0.0,0.0,11.7156,34.0,13.5336,47.0,8.78979797979798,47.0,0.0
