checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model
250,u0.05_s00,nn,100,500,0.05,0.1,0.11899613589048386,0.11899613589048386,1.4732977777777791,0.11864000000000001,0.11899613589048386,0.08318477869033813,0.022442340850830078,0.032328364253044126,0.09461626410484314,0.23573616445064544,0.4256322383880615,0.08228584378957748,0.08318477869033813,0.02830037660896778,community,curvature
250,u0.05_s00,matched_random,100,500,0.05,0.1,0.11899613589048386,0.11899613589048386,2.105052121212121,0.11982,0.11899613589048386,0.0,0.11899613589048386,0.11899613589048386,0.11899613589048386,0.11899613589048386,0.11899613589048386,2.2351741790771484e-08,0.0,7.450580596923828e-09,community,curvature
250,u0.05_s01,nn,100,500,0.05,0.1,0.12096410244703293,0.12096410244703293,1.3609414141414142,0.12012,0.12096410244703293,0.08214737474918365,0.022406548261642456,0.035846185684204106,0.09658297896385193,0.23481581211090086,0.42547130584716797,0.08125299215316772,0.08214737474918365,0.024345019832253456,community,curvature
250,u0.05_s01,matched_random,100,500,0.05,0.1,0.12096410244703293,0.12096410244703293,1.9120789898989885,0.12014,0.12096407264471054,2.9802322387695312e-08,0.12096410244703293,0.12096410244703293,0.12096410244703293,0.12096410244703293,0.12096410244703293,1.4901161193847656e-08,2.9802322387695312e-08,0.0,community,curvature
250,u0.05_s02,nn,100,500,0.05,0.1,0.1206623911857605,0.1206623911857605,1.3539894949494948,0.12194,0.1206623911857605,0.08138766139745712,0.02232527732849121,0.03827290236949921,0.0934973917901516,0.23730729520320892,0.42559707164764404,0.08044083416461945,0.08138766139745712,0.019802337512373924,community,curvature
250,u0.05_s02,matched_random,100,500,0.05,0.1,0.1206623911857605,0.1206623911857605,1.7921654545454526,0.11926,0.12066242843866348,3.725290298461914e-08,0.1206623911857605,0.1206623911857605,0.1206623911857605,0.1206623911857605,0.1206623911857605,2.9802322387695312e-08,3.725290298461914e-08,1.4901161193847656e-08,community,curvature
250,u0.05_s03,nn,100,500,0.05,0.1,0.11934226751327515,0.11934226751327515,1.3961822222222202,0.11788,0.11934226751327515,0.08257605880498886,0.022413253784179688,0.034128180146217345,0.09889239072799683,0.22457136809825895,0.42563918232917786,0.08166913688182831,0.08257605880498886,0.028478726744651794,community,curvature
250,u0.05_s03,matched_random,100,500,0.05,0.1,0.11934226751327515,0.11934226751327515,2.154516161616159,0.12042,0.11934230476617813,3.725290298461914e-08,0.11934226751327515,0.11934226751327515,0.11934226751327515,0.11934226751327515,0.11934226751327515,0.0,3.725290298461914e-08,0.0,community,curvature
250,u0.05_s04,nn,100,500,0.05,0.1,0.12094851583242416,0.12094851583242416,1.4613513131313125,0.12147999999999999,0.12094851583242416,0.08219941705465317,0.022544384002685547,0.036250466108322145,0.093546062707901,0.24340172111988065,0.42571955919265747,0.08120308071374893,0.08219941705465317,0.02150137349963188,community,curvature
250,u0.05_s04,matched_random,100,500,0.05,0.1,0.12094851583242416,0.12094851583242416,1.8284763636363635,0.12136,0.12094853818416595,2.2351741790771484e-08,0.12094851583242416,0.12094851583242416,0.12094851583242416,0.12094851583242416,0.12094851583242416,1.4901161193847656e-08,2.2351741790771484e-08,1.4901161193847656e-08,community,curvature
200,u0.05_s00,nn,100,500,0.05,0.1,0.1215430200099945,0.1215430200099945,1.601834747474748,0.12188,0.1215430200099945,0.07778506726026535,0.04082381725311279,0.04225931577384472,0.09134317561984062,0.230863156914711,0.23196357488632202,0.07674598693847656,0.07778506726026535,0.006894283462315798,community,no_curvature
200,u0.05_s01,nn,100,500,0.05,0.1,0.1229611486196518,0.1229611486196518,1.5607830303030306,0.12368,0.1229611486196518,0.07827334105968475,0.04089963436126709,0.042182070016860966,0.09423510730266571,0.23093506693840027,0.23196133971214294,0.07733621448278427,0.07827334105968475,0.007484063971787691,community,no_curvature
200,u0.05_s02,nn,100,500,0.05,0.1,0.12282406538724899,0.12282406538724899,1.4077111111111116,0.1241,0.12282406538724899,0.07862560451030731,0.04064100980758667,0.04217970371246338,0.09307835251092911,0.23097026944160462,0.23196160793304443,0.07769053429365158,0.07862560451030731,0.007076894398778677,community,no_curvature
200,u0.05_s03,nn,100,500,0.05,0.1,0.1229594349861145,0.1229594349861145,1.6795878787878793,0.1201,0.1229594349861145,0.07809121161699295,0.04085138440132141,0.04229804873466492,0.09505932033061981,0.23074951767921448,0.2319616973400116,0.0769898071885109,0.07809121161699295,0.00698126619681716,community,no_curvature
200,u0.05_s04,nn,100,500,0.05,0.1,0.12241122871637344,0.12241122871637344,1.532331313131313,0.12269999999999999,0.12241122871637344,0.07861616462469101,0.040831804275512695,0.042189407348632815,0.09190689027309418,0.2310856968164444,0.23196151852607727,0.07756094634532928,0.07861616462469101,0.0075597683899104595,community,no_curvature
250,u0.10_s00,nn,100,500,0.1,0.1,0.12184222787618637,0.12184222787618637,2.774481616161617,0.1229,0.12184222787618637,0.08482695370912552,0.022387802600860596,0.03590013720095158,0.09377263486385345,0.2420590281486511,0.42573726177215576,0.08391983807086945,0.08482695370912552,0.02476867102086544,community,curvature
