node,x,y,label
0,29.689024316814752,69.18873084393809,0
1,64.53102487366459,100.86760200387322,0
2,118.21559955736461,72.40228822826006,0
3,30.47980656331872,73.63505234950006,0
4,73.94578911579997,135.74053415193103,0
5,113.1278274002662,60.57154794550878,0
6,64.85639047786442,58.11317513417124,0
7,82.70003424908126,93.7865105241699,0
8,96.30645589949985,84.4373493090146,0
9,50.901035226109755,93.31403123529527,0
10,32.43789734539189,49.21933510276496,0
11,51.78461103075857,132.19046858545684,0
12,79.55317859697618,127.23632427819756,0
13,25.719513448811398,63.142279209163924,0
14,23.605271651127445,102.88724397116474,0
15,68.5755130917903,121.7858094378899,0
16,77.68365555184992,41.20509037109983,0
17,7.970786101705286,69.65316768054066,0
18,48.38471964026681,114.99684793013688,0
19,57.771262609751304,43.28430702529302,0
20,95.41400975517146,42.000322112425714,0
21,51.49457356609476,42.02047263415545,0
22,38.10127162215744,64.85373285758277,0
23,33.72259992853135,132.72969118564885,0
24,92.86777825318141,105.78018660059408,0
25,222.3543420913764,135.32230705956226,1
26,148.13349518289237,66.53246024801732,1
27,200.3323229183759,32.67977051203225,1
28,241.69311244887655,106.41790591177767,1
29,201.4919274219617,65.08684075772712,1
30,242.01209469993665,122.46591011956471,1
31,258.7505454289366,89.15119516612107,1
32,203.48390624489838,118.31774942728573,1
33,157.28968030760177,98.29640125957286,1
34,192.32636772791525,55.117659703496074,1
35,215.67136796287141,48.1763145310543,1
36,244.13311510269256,42.68120770042241,1
37,209.05189542065165,59.80947325058381,1
38,240.7448308902138,114.78212269533128,1
39,179.32152180948162,90.85660706282378,1
40,175.47381072051814,44.21255467686959,1
41,154.00437384339793,86.70816217614812,1
42,215.00651605716305,84.32614186276564,1
43,240.6892247717989,55.42907220405043,1
44,191.3738036067391,101.75707493985695,1
45,220.76703712176393,45.611425943260535,1
46,235.85954928220679,127.25435926488456,1
47,165.05979674534012,80.64434843804649,1
48,197.08627561137664,44.252972733940034,1
49,245.7585819571686,100.70346144453141,1
