policy,independent_runs,mean_VAoI,mean_VAoI_ci95,mean_max_VAoI,mean_max_VAoI_ci95,p95_max_VAoI,p95_max_VAoI_ci95,mean_tail_VAoI,mean_tail_VAoI_ci95,avg_tx_per_slot,avg_tx_per_slot_ci95,successful_decodes_per_tx,successful_decodes_per_tx_ci95,innovative_entries_per_tx,innovative_entries_per_tx_ci95,completed_update_fraction,completed_update_fraction_ci95,mean_dissemination_delay,mean_dissemination_delay_ci95
freshness_backoff,1,18.237497001998673,0.0,60.45789473684211,0.0,78.54999999999995,0.0,46.847115256495655,0.0,12.593684210526316,0.0,3.571798729521899,0.0,22.801153460381144,0.0,0.9051069811026081,0.0,90.714428684819,0.0
freshness_no_backoff,1,33.29819470353099,0.0,98.94842105263157,0.0,147.54999999999995,0.0,86.50049633577603,0.0,19.962105263157895,0.0,2.186036701117908,0.0,10.427441468044716,0.0,0.8656254880524754,0.0,165.88012845956771,0.0
orc_freshness_backoff,1,18.66416439040637,0.0,61.29578947368421,0.0,78.54999999999995,0.0,48.8597335109927,0.0,12.503157894736843,0.0,3.6328506482572824,0.0,22.396363024078127,0.0,0.9286584413556146,0.0,92.88728936127275,0.0
orc_freshness_no_backoff,1,20.707583777481705,0.0,65.5442105263158,0.0,84.54999999999995,0.0,53.6211459027315,0.0,16.06736842105263,0.0,2.8361504192872116,0.0,16.49338312368973,0.0,0.9077619865687959,0.0,100.95798637395912,0.0
random,1,19.116961692205177,0.0,58.90105263157895,0.0,76.0,0.0,48.31225516322455,0.0,14.274736842105263,0.0,3.2184942113413464,0.0,19.33493105228228,0.0,0.9124785256910823,0.0,92.10885564645876,0.0
