actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,candidate_id,dynamic_repeat_index,evaluated_on_full,evaluation_phase,mean_VAoI,mean_tail_VAoI,n_nodes,phase,phase_slots,search_probability_mean,topology_index
0.11295999999999999,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,11.762911919191934,29.795486868686858,100,coarse,500,0.11249951023009258,0
0.11276,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,12.635706060606067,31.985874747474753,100,coarse,500,0.11249951023009258,0
0.11048,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.809121010101014,26.212286868686878,100,coarse,500,0.11249951023009258,1
0.11498,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,11.40318666666667,28.51259393939393,100,coarse,500,0.11249951023009258,1
0.11266,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.358040202020215,25.500149494949493,100,coarse,500,0.11249951023009258,2
0.11172,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.297576161616176,26.134856565656566,100,coarse,500,0.11249951023009258,2
0.11336,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.488987878787889,27.028618181818175,100,coarse,500,0.11249951023009258,3
0.11162000000000001,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.732632525252528,28.33246060606064,100,coarse,500,0.11249951023009258,3
0.11464,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.548704848484848,25.338282828282843,100,coarse,500,0.11249951023009258,4
0.11278,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.285189292929289,24.547381818181815,100,coarse,500,0.11249951023009258,4
0.1142,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,11.344890707070702,28.085547474747464,100,coarse,500,0.11249951023009258,5
0.11368,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,11.079794141414142,26.716581818181826,100,coarse,500,0.11249951023009258,5
0.11146,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.767519797979798,25.873438383838383,100,coarse,500,0.11249951023009258,6
0.11186,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.965374141414136,28.16907070707068,100,coarse,500,0.11249951023009258,6
0.11184,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.950177777777776,28.15348282828282,100,coarse,500,0.11249951023009258,7
0.1121,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.744073737373743,27.174577777777774,100,coarse,500,0.11249951023009258,7
0.11087999999999999,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,9.766495959595959,23.87832323232322,100,coarse,500,0.11249951023009258,8
0.10938,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.026417373737377,25.49713535353533,100,coarse,500,0.11249951023009258,8
0.11334,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,12.521684242424238,31.34073535353538,100,coarse,500,0.11249951023009258,9
0.11082,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,12.857974141414154,31.359632323232326,100,coarse,500,0.11249951023009258,9
0.11332,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,9.870171111111114,25.11473535353536,100,coarse,500,0.11249951023009258,10
0.11304,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.084028686868693,25.7107191919192,100,coarse,500,0.11249951023009258,10
0.11412000000000001,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,11.572002020202032,29.294933333333333,100,coarse,500,0.11249951023009258,11
0.1149,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.75667070707071,27.528719191919176,100,coarse,500,0.11249951023009258,11
0.11286,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,11.22977474747475,27.902820202020223,100,coarse,500,0.11249951023009258,12
0.10987999999999999,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,11.262176565656565,27.859199999999984,100,coarse,500,0.11249951023009258,12
0.11167999999999999,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.24802545454545,24.5869777777778,100,coarse,500,0.11249951023009258,13
0.11294,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,9.74177939393939,23.27887272727272,100,coarse,500,0.11249951023009258,13
0.11124,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,12.552986060606056,31.50104242424242,100,coarse,500,0.11249951023009258,14
0.11528000000000001,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,11.285741818181807,28.523284848484863,100,coarse,500,0.11249951023009258,14
0.11263999999999999,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.11068484848485,25.376703030303,100,coarse,500,0.11249951023009258,15
0.1108,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.260056363636373,25.274509090909092,100,coarse,500,0.11249951023009258,15
0.1142,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.532204444444455,27.41644848484848,100,coarse,500,0.11249951023009258,16
0.11246,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,11.724811919191904,30.161616161616173,100,coarse,500,0.11249951023009258,16
0.11074,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,9.209278585858586,22.652824242424256,100,coarse,500,0.11249951023009258,17
0.10976000000000001,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,9.001492929292924,22.258258585858577,100,coarse,500,0.11249951023009258,17
0.11282,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,9.870007272727271,24.711115151515152,100,coarse,500,0.11249951023009258,18
0.11077999999999999,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.158324444444451,25.161963636363648,100,coarse,500,0.11249951023009258,18
0.11068,0.0,0.11249999999999999,-2.065460205078125,1,0,True,full,10.395233535353537,25.999438383838378,100,coarse,500,0.11249951023009258,19
0.1115,0.0,0.11249999999999999,-2.065460205078125,1,1,True,full,10.655541616161615,26.295967676767702,100,coarse,500,0.11249951023009258,19
0.14864,0.0,0.15,-1.7346038818359375,2,0,True,full,12.041491515151513,30.01527272727271,100,coarse,500,0.14999963962825802,0
0.14948,0.0,0.15,-1.7346038818359375,2,1,True,full,13.054053535353525,33.307426262626294,100,coarse,500,0.14999963962825802,0
0.14606,0.0,0.15,-1.7346038818359375,2,0,True,full,11.893983636363627,29.729523232323235,100,coarse,500,0.14999963962825802,1
0.15195999999999998,0.0,0.15,-1.7346038818359375,2,1,True,full,11.316560202020193,28.091252525252504,100,coarse,500,0.14999963962825802,1
0.15094,0.0,0.15,-1.7346038818359375,2,0,True,full,10.82437535353536,26.808254545454545,100,coarse,500,0.14999963962825802,2
0.14886,0.0,0.15,-1.7346038818359375,2,1,True,full,11.359765454545453,28.489422222222228,100,coarse,500,0.14999963962825802,2
0.1508,0.0,0.15,-1.7346038818359375,2,0,True,full,11.04517979797979,27.991975757575744,100,coarse,500,0.14999963962825802,3
0.1499,0.0,0.15,-1.7346038818359375,2,1,True,full,11.86534787878788,30.591660606060604,100,coarse,500,0.14999963962825802,3
0.15102000000000002,0.0,0.15,-1.7346038818359375,2,0,True,full,11.52827090909091,27.75524444444444,100,coarse,500,0.14999963962825802,4
0.14984,0.0,0.15,-1.7346038818359375,2,1,True,full,10.557637777777776,25.531547474747487,100,coarse,500,0.14999963962825802,4
0.15226,0.0,0.15,-1.7346038818359375,2,0,True,full,11.69417898989898,29.08556363636365,100,coarse,500,0.14999963962825802,5
0.15184,0.0,0.15,-1.7346038818359375,2,1,True,full,11.303436767676773,27.261199999999985,100,coarse,500,0.14999963962825802,5
0.14876,0.0,0.15,-1.7346038818359375,2,0,True,full,11.198965858585861,28.368016161616158,100,coarse,500,0.14999963962825802,6
0.14938,0.0,0.15,-1.7346038818359375,2,1,True,full,11.37050323232324,27.645834343434345,100,coarse,500,0.14999963962825802,6
0.14976,0.0,0.15,-1.7346038818359375,2,0,True,full,11.213879393939406,28.169725252525247,100,coarse,500,0.14999963962825802,7
0.14824,0.0,0.15,-1.7346038818359375,2,1,True,full,11.522702626262632,29.604420202020222,100,coarse,500,0.14999963962825802,7
