candidate_id,phase,evaluation_phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,coarse_rank_within_alpha,evaluated_on_full,pruned_after_coarse,phase_slots,rank,selected
1,coarse,coarse,0.11249999999999999,0.0,-2.065460205078125,0.11249951023009258,0.11249951023009257,0.11186,9.516758787878787,22.080269696969697,True,1,False,False,200,1,False
2,coarse,coarse,0.15,0.0,-1.7346038818359375,0.14999963962825805,0.14999963962825805,0.149235,9.724842727272726,22.529805050505054,True,2,False,False,200,2,False
0,coarse,coarse,0.075,0.0,-2.512298583984375,0.07500048840088823,0.07500048840088822,0.074635,9.847156616161616,22.406408080808074,True,3,False,True,200,3,False
3,coarse,coarse,0.1875,0.0,-1.466339111328125,0.18749968883280319,0.18749968883280327,0.186745,10.66985303030303,24.19107272727273,True,4,False,True,200,4,False
1,coarse,full,0.11249999999999999,0.0,-2.065460205078125,0.11249951023009258,0.11249951023009257,0.11232900000000001,10.771686277777778,26.906166666666667,True,1,True,False,500,5,True
8,refine,full,0.09375,0.0,-2.2686767578125,0.09375057633460603,0.09375057633460605,0.09358,10.912175494949492,27.113542525252523,True,,True,False,500,6,False
9,refine,full,0.13124999999999998,0.0,-1.88995361328125,0.1312497585129171,0.13124975851291706,0.1309445,10.987478075757576,27.467054646464646,True,,True,False,500,7,False
2,coarse,full,0.15,0.0,-1.7346038818359375,0.14999963962825805,0.14999963962825802,0.14966949999999998,11.39084185858586,28.45018434343434,True,2,True,False,500,8,False
7,refine,full,0.075,0.0,-2.512298583984375,0.07500048840088823,0.07500048840088822,0.0749425,11.529578813131314,28.419522727272728,True,,True,False,500,9,False
4,coarse,coarse,0.22499999999999998,0.0,-1.2367630004882812,0.22499993489895684,0.2249999348989568,0.22456,12.043234191919192,25.71241515151515,True,5,False,True,200,10,False
5,coarse,coarse,0.2625,0.0,-1.03302001953125,0.2624990294481316,0.26249902944813164,0.262025,13.10588106060606,26.35569191919192,True,6,False,True,200,11,False
6,coarse,coarse,0.3,0.0,-0.8472976684570312,0.3000000403053377,0.30000004030533767,0.29968000000000006,14.346565757575755,26.890975757575756,True,7,False,True,200,12,False
