node,x,y,label
0,164.02407990253772,197.15876579733415,0
1,125.99869058816272,149.56713124285363,0
2,126.0197873790239,196.9295443472996,0
3,120.1153340064102,210.7099575612799,0
4,82.31130490696249,170.76497770415827,0
5,116.32377976316559,131.43996089550467,0
6,48.948071526120756,130.12723928648018,0
7,118.30385890839219,112.15483460372161,0
8,148.25286266155337,169.17946929534295,0
9,51.81975462549467,108.63814112866092,0
10,181.99895177245185,113.16625957368188,0
11,57.16468733947663,193.6447729221372,0
12,120.49763404611335,168.58105466360777,0
13,151.2024935140054,78.0436509317914,0
14,184.59425951989945,168.5882737180516,0
15,174.70343877187074,144.25450167237213,0
16,71.57275452716775,208.06839135154314,0
17,164.6351224792087,94.71382867098197,0
18,92.0915979928893,110.5486878305731,0
19,168.1164753584078,175.21152812010854,0
20,176.80886780004317,159.72843558771018,0
21,140.49101103828283,77.78184828862433,0
22,118.86905371975142,114.09904303784657,0
23,137.50954450846805,82.03350822251723,0
24,59.35346883870317,128.55788100659763,0
25,162.15817998067934,202.68842080506818,0
26,140.16330609354438,125.9192332816844,0
27,125.19694504186053,148.25709887488472,0
28,172.4585400005205,156.26300849801999,0
29,149.00978696075066,218.15915285884927,0
30,99.22271588196733,113.29831982401615,0
31,103.39894815966812,190.8935158458851,0
32,152.23447245902537,105.85320319470718,0
33,89.73788589501841,197.6986742223827,0
34,114.565089703864,203.49153607012508,0
35,55.66497877698795,117.61452800211666,0
36,180.80461571093653,161.24205114552828,0
37,143.47104553253175,132.6360552402316,0
38,161.19500371166748,164.14387409017743,0
39,130.34336597313927,124.34536603238936,0
40,229.78385883824578,198.79127356104937,1
41,345.9191258533996,129.85668142951894,1
42,301.89766711660144,112.81520034066665,1
43,344.5486409938004,195.88241921277117,1
44,256.38611863457,190.51734064644802,1
45,257.64557547615584,149.6213892736266,1
46,289.3247060770936,207.2864944854965,1
47,232.03915794245336,127.60050129289894,1
48,273.50810709458193,151.7499231356142,1
49,288.8804418178499,228.08592117519544,1
50,301.6030674037079,216.10511041537342,1
51,211.3137448784853,116.37344603813219,1
52,257.7037131564604,173.93320924657436,1
53,238.7403452827266,167.05862871154142,1
54,330.9958712811649,122.03157129294318,1
55,207.80221849815862,119.79220846857973,1
56,329.52411986797375,199.48753928310876,1
57,287.6467002579632,95.91980326712252,1
58,315.8456828104137,185.51528205491982,1
59,276.5462954952262,170.62571809575036,1
60,316.8302244119129,217.3703183375518,1
61,244.98301320433802,153.7741535982336,1
62,302.8236898734419,79.2845383486785,1
63,300.92206766112776,135.8663423580293,1
64,236.15944454679442,195.34077530573418,1
65,284.3656544136809,171.83791919599335,1
66,254.22598458091633,134.1518440607071,1
67,302.16785308136724,94.08138480965877,1
68,358.5700090728499,142.6695581277047,1
69,234.09329519307096,102.81106903533386,1
70,228.52819677329057,161.0509537273856,1
71,296.04480603781366,158.62545166305068,1
72,217.37111965011394,156.6457011940758,1
73,341.06611923900545,146.42082251690894,1
74,323.13652765070594,194.59926291357397,1
75,234.11454277038487,138.9288403817186,1
76,240.25418990402085,159.5198925534065,1
77,268.25470858741164,107.28933545820112,1
78,265.73787999774083,153.03342393979528,1
79,309.10568983851647,98.30549369535089,1
