actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,dynamic_repeat_index,mean_VAoI,mean_tail_VAoI,phase,search_probability_mean,topology_index
0.05016,0.5,0.05,-2.95050048828125,0,13.704029696969707,34.176775757575776,coarse,0.049663535754680785,0
0.050019999999999995,0.5,0.05,-2.95050048828125,1,13.288590707070716,33.38754343434344,coarse,0.049663535754680785,0
0.050780000000000006,0.5,0.05,-2.95050048828125,0,11.561177171717159,28.15827474747477,coarse,0.05118714207930293,1
0.05264,0.5,0.05,-2.95050048828125,1,11.76126585858585,29.69471111111111,coarse,0.05118714207930293,1
0.049240000000000006,0.5,0.05,-2.95050048828125,0,10.0324298989899,25.665539393939383,coarse,0.049465047916454674,2
0.05028,0.5,0.05,-2.95050048828125,1,10.961121212121206,28.36334141414142,coarse,0.049465047916454674,2
0.05024,0.5,0.05,-2.95050048828125,0,11.000144646464646,28.12706666666669,coarse,0.05017651312384981,3
0.048639999999999996,0.5,0.05,-2.95050048828125,1,10.795314545454545,27.538795959595944,coarse,0.05017651312384981,3
0.049800000000000004,0.5,0.05,-2.95050048828125,0,11.808694141414145,28.822783838383838,coarse,0.05015702133501118,4
0.050499999999999996,0.5,0.05,-2.95050048828125,1,11.385144848484842,28.03845656565657,coarse,0.05015702133501118,4
0.04886,0.5,0.05,-2.95050048828125,0,11.693627272727273,28.763591919191935,coarse,0.048752821464140374,5
0.050019999999999995,0.5,0.05,-2.95050048828125,1,12.10617191919193,29.493147474747495,coarse,0.048752821464140374,5
0.050460000000000005,0.5,0.05,-2.95050048828125,0,10.843168888888892,27.41971717171717,coarse,0.05097656978133225,6
0.05224,0.5,0.05,-2.95050048828125,1,10.45236121212122,25.701260606060604,coarse,0.05097656978133225,6
0.05024,0.5,0.05,-2.95050048828125,0,11.06512505050506,28.63328484848483,coarse,0.050063574674641925,7
0.04952,0.5,0.05,-2.95050048828125,1,10.599180000000013,27.450137373737384,coarse,0.050063574674641925,7
0.047880000000000006,0.5,0.05,-2.95050048828125,0,11.896736363636354,29.14751111111111,coarse,0.04957610960451178,8
0.04734,0.5,0.05,-2.95050048828125,1,11.268171515151526,29.260799999999985,coarse,0.04957610960451178,8
0.05006,0.5,0.05,-2.95050048828125,0,13.00694767676767,31.917123232323224,coarse,0.049694808638052416,9
0.048979999999999996,0.5,0.05,-2.95050048828125,1,14.108715757575757,33.9622303030303,coarse,0.049694808638052416,9
0.051340000000000004,0.5,0.05,-2.95050048828125,0,10.6126896969697,27.06515151515152,coarse,0.051007637947626784,10
0.05234,0.5,0.05,-2.95050048828125,1,9.889270101010096,25.69043232323233,coarse,0.051007637947626784,10
0.050940000000000006,0.5,0.05,-2.95050048828125,0,11.207936565656565,28.112391919191904,coarse,0.049795999257250444,11
0.05058,0.5,0.05,-2.95050048828125,1,11.15329898989898,27.905761616161616,coarse,0.049795999257250444,11
0.049980000000000004,0.5,0.05,-2.95050048828125,0,12.07827838383837,30.045935353535384,coarse,0.050791015484462625,12
0.049699999999999994,0.5,0.05,-2.95050048828125,1,12.39243757575757,30.279571717171713,coarse,0.050791015484462625,12
0.04904,0.5,0.05,-2.95050048828125,0,11.266247070707072,27.34280808080811,coarse,0.049692927442990406,13
0.050460000000000005,0.5,0.05,-2.95050048828125,1,10.993490101010103,27.14272323232323,coarse,0.049692927442990406,13
0.049400000000000006,0.5,0.05,-2.95050048828125,0,12.656431919191924,31.56868686868688,coarse,0.05014737655806542,14
0.052199999999999996,0.5,0.05,-2.95050048828125,1,10.604032121212121,26.045369696969665,coarse,0.05014737655806542,14
0.05022,0.5,0.05,-2.95050048828125,0,10.225839595959595,25.67146262626264,coarse,0.050361455315973976,15
0.04982,0.5,0.05,-2.95050048828125,1,10.792681414141413,26.955559595959603,coarse,0.050361455315973976,15
0.049980000000000004,0.5,0.05,-2.95050048828125,0,10.677576161616157,26.18335353535354,coarse,0.04895598498299117,16
0.04822,0.5,0.05,-2.95050048828125,1,10.506299595959607,26.06442020202023,coarse,0.04895598498299117,16
0.04974,0.5,0.05,-2.95050048828125,0,10.215216363636365,26.20553535353537,coarse,0.05027103128096406,17
0.04958,0.5,0.05,-2.95050048828125,1,10.248854343434344,25.633345454545474,coarse,0.05027103128096406,17
0.049980000000000004,0.5,0.05,-2.95050048828125,0,10.888289292929281,27.41253333333332,coarse,0.05047946687738352,18
0.048940000000000004,0.5,0.05,-2.95050048828125,1,11.338597777777773,27.45390303030307,coarse,0.05047946687738352,18
0.04814,0.5,0.05,-2.95050048828125,0,10.753071515151515,26.799939393939397,coarse,0.04916861649025768,19
0.04918,0.5,0.05,-2.95050048828125,1,12.125072929292935,30.001434343434354,coarse,0.04916861649025768,19
0.07542,0.5,0.07500000000000001,-2.51800537109375,0,10.752668282828287,27.534573737373716,coarse,0.07450872594106615,0
0.0755,0.5,0.07500000000000001,-2.51800537109375,1,10.458974545454547,26.345717171717194,coarse,0.07450872594106615,0
0.07614,0.5,0.07500000000000001,-2.51800537109375,0,9.126682626262632,23.006868686868685,coarse,0.07673191313995138,1
0.07864,0.5,0.07500000000000001,-2.51800537109375,1,8.3131096969697,21.34023030303028,coarse,0.07673191313995138,1
0.07454,0.5,0.07500000000000001,-2.51800537109375,0,8.047287676767674,21.075143434343413,coarse,0.0742165950018486,2
0.0747,0.5,0.07500000000000001,-2.51800537109375,1,8.154782222222218,21.111587878787873,coarse,0.0742165950018486,2
0.0754,0.5,0.07500000000000001,-2.51800537109375,0,8.57322121212121,22.648343434343428,coarse,0.0752552334122813,3
0.07416,0.5,0.07500000000000001,-2.51800537109375,1,8.458946464646463,22.53976161616162,coarse,0.0752552334122813,3
0.0759,0.5,0.07500000000000001,-2.51800537109375,0,8.797624444444445,21.9300686868687,coarse,0.07522038468758668,4
0.07566,0.5,0.07500000000000001,-2.51800537109375,1,8.845723434343437,22.349535353535362,coarse,0.07522038468758668,4
0.07339999999999999,0.5,0.07500000000000001,-2.51800537109375,0,9.408662828282827,24.155212121212113,coarse,0.07317976881618779,5
