phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,rank,selected
coarse,0.125,1.5,-1.9909820556640625,0.12500022503135702,0.1253419074495942,0.1251525,7.38990097979798,19.3860997979798,True,1,False
coarse,0.125,1.2,-1.974822998046875,0.12499998546952373,0.12521773456851787,0.1250375,7.409371984848486,19.365612828282828,True,2,False
refine,0.11250000000000002,1.5,-2.112152099609375,0.11250055106921567,0.1128282104024541,0.11265,7.4097633232323235,19.509852929292936,True,3,False
refine,0.11250000000000002,1.2,-2.09539794921875,0.11249942825564542,0.11270749122102611,0.112513,7.418854570707071,19.39288636363637,True,4,False
coarse,0.125,1.8,-2.010589599609375,0.1250003510008907,0.12549215559010687,0.12532000000000001,7.419825914141415,19.581829595959597,True,5,False
refine,0.11250000000000002,1.8,-2.1325225830078125,0.11250018863491248,0.11297359084189222,0.112825,7.433415555555555,19.721566363636356,True,6,False
coarse,0.125,1.0,-1.96600341796875,0.12500022893538104,0.12515059104107454,0.12496049999999999,7.444465368686869,19.41269313131313,True,7,False
refine,0.11250000000000002,1.0,-2.0862579345703125,0.11249959279969034,0.11264293938902274,0.11249899999999999,7.453303404040405,19.441163434343434,True,8,True
refine,0.1375,1.5,-1.879669189453125,0.13749956237544034,0.13785171292993414,0.137702,7.532151297979799,19.710889797979796,True,9,False
refine,0.1375,1.2,-1.864105224609375,0.13749980798190414,0.13772505035068902,0.137536,7.53565540909091,19.64472494949495,True,10,False
refine,0.1375,1.8,-1.898529052734375,0.13749947109708627,0.13800440283274035,0.1378325,7.554343944444443,19.871132222222222,True,11,False
refine,0.1375,1.0,-1.8556060791015625,0.13749992300332253,0.13765582070181068,0.137474,7.563057222222222,19.67594434343434,True,12,False
coarse,0.1,1.5,-2.245574951171875,0.09999905134218244,0.10030889880108769,0.10018349999999998,7.564018212121212,19.972195454545453,True,13,False
coarse,0.1,1.2,-2.228179931640625,0.10000085721176173,0.1001969172799763,0.100011,7.581847999999999,19.87078676767677,True,14,False
coarse,0.1,1.8,-2.266693115234375,0.10000043270533013,0.10044977421911665,0.1002345,7.587266065656566,20.22239232323232,True,15,False
coarse,0.125,0.5,-1.950927734375,0.12500061777171426,0.12503719864714574,0.12486649999999999,7.62144694949495,19.795942929292927,True,16,False
coarse,0.1,1.0,-2.218719482421875,0.10000078903671977,0.10013556349019179,0.0999805,7.629756843434343,19.85246484848485,True,17,False
refine,0.11250000000000002,0.5,-2.070648193359375,0.11250014161580517,0.11253483661253716,0.11227499999999999,7.641792227272726,19.81242868686869,True,18,False
refine,0.1375,0.5,-1.841064453125,0.1374998971283956,0.13753802419910932,0.1373475,7.721174136363636,20.058762424242424,True,19,False
coarse,0.15000000000000002,1.2,-1.761474609375,0.15000027088061882,0.15023093701426313,0.1501015,7.794119510101012,20.30887525252525,True,20,False
coarse,0.15000000000000002,1.5,-1.7764434814453125,0.15000004075562917,0.15035932759886378,0.1502715,7.802862828282829,20.361227171717168,True,21,False
coarse,0.15000000000000002,1.0,-1.7532958984375,0.15000001279064343,0.15016004330345903,0.15004800000000001,7.810094136363635,20.33550868686869,True,22,False
coarse,0.1,0.5,-2.2025909423828125,0.09999992860427252,0.10003238376932502,0.0997815,7.835575803030304,20.26183404040404,True,23,False
coarse,0.15000000000000002,1.8,-1.7945556640625,0.1500006865990879,0.15051383943990926,0.150422,7.837648616161616,20.473783535353533,True,24,False
coarse,0.15000000000000002,0.5,-1.739288330078125,0.1499992832512481,0.1500386313144944,0.14991949999999998,7.900539621212121,20.496121111111112,True,25,False
coarse,0.07500000000000001,1.8,-2.586639404296875,0.07500029795965549,0.07538290248701969,0.07520849999999998,8.495157474747476,22.811111919191916,True,26,False
coarse,0.07500000000000001,1.5,-2.563934326171875,0.07500093968579515,0.07526284071429215,0.0750905,8.512007106060604,22.539729898989897,True,27,False
coarse,0.07500000000000001,1.2,-2.54534912109375,0.0749992951405493,0.07516386314233289,0.0749555,8.521999343434342,22.20170393939394,True,28,False
coarse,0.07500000000000001,1.0,-2.53521728515625,0.07500060041519324,0.0751132315531456,0.0749855,8.581399106060605,22.187443535353538,True,29,False
coarse,0.17500000000000004,1.2,-1.5754547119140625,0.17499939751848764,0.17523517280899759,0.175259,8.684947404040406,22.61527828282828,True,30,False
coarse,0.17500000000000004,1.0,-1.567901611328125,0.17499969367302134,0.17516407717377425,0.1751395,8.685246833333334,22.532352929292934,True,31,False
coarse,0.17500000000000004,0.5,-1.554931640625,0.1750009407633756,0.17504181150923914,0.174936,8.765427671717172,22.864646565656567,True,32,False
coarse,0.17500000000000004,1.5,-1.5892410278320312,0.17500000831343754,0.17536441515535298,0.17537750000000002,8.78049801010101,22.973692222222223,True,33,False
coarse,0.07500000000000001,0.5,-2.51800537109375,0.07500061691125733,0.07502747203598165,0.07491099999999999,8.84244533838384,22.651128080808082,True,34,False
coarse,0.17500000000000004,1.8,-1.60589599609375,0.17500022831532264,0.17551647881588983,0.175502,8.870953984848486,23.172906565656564,True,35,False
