checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,node_count,model_label
160,n050_s00,nn,50,200,0.2,0.1,0.09951295703649521,0.09951295703649521,4.249881632653063,0.1003,0.09951295703649521,0.059063397347927094,0.025894343852996826,0.03401075303554535,0.08744935691356659,0.18263622820377348,0.31653380393981934,0.057865556329488754,0.059063397347927094,0.020992465317249298,community,v32_curvature,50,V3.2 curvature MPNN
160,n050_s01,nn,50,200,0.2,0.1,0.10584453493356705,0.10584453493356705,3.8479142857142845,0.1108,0.10584453493356705,0.06385456025600433,0.025962769985198975,0.038002905249595646,0.09205354750156403,0.188556843996048,0.3969045877456665,0.06255009025335312,0.06385456025600433,0.022068485617637634,community,v32_curvature,50,V3.2 curvature MPNN
160,n050_s02,nn,50,200,0.2,0.1,0.10526113212108612,0.10526113212108612,4.3651040816326505,0.1072,0.10526113212108612,0.06281918287277222,0.025854289531707764,0.03614120483398438,0.08913850784301758,0.1995285362005234,0.3263222575187683,0.06154091656208038,0.06281918287277222,0.021991638466715813,community,v32_curvature,50,V3.2 curvature MPNN
160,n050_s03,nn,50,200,0.2,0.1,0.10969723016023636,0.10969723016023636,3.598438775510203,0.11109999999999999,0.10969723016023636,0.06695368140935898,0.02580377459526062,0.038353648781776425,0.09592252969741821,0.19855429828166962,0.40084582567214966,0.0656110867857933,0.06695368140935898,0.026412280276417732,community,v32_curvature,50,V3.2 curvature MPNN
160,n050_s04,nn,50,200,0.2,0.1,0.11122674494981766,0.11122674494981766,4.240306122448979,0.1056,0.11122674494981766,0.06604182720184326,0.02600798010826111,0.038697198033332825,0.09834341704845428,0.20725437104702,0.39885151386260986,0.06445679813623428,0.06604182720184326,0.02340523526072502,community,v32_curvature,50,V3.2 curvature MPNN
200,n050_s00,nn,50,200,0.2,0.1,0.12912242114543915,0.12912242114543915,4.197918367346938,0.13470000000000001,0.12912242114543915,0.08137272298336029,0.040541213005781174,0.04184390641748905,0.1050245612859726,0.2317629188299179,0.2319643497467041,0.0790814459323883,0.08137272298336029,0.010366142727434635,community,v32_no_curvature,50,V3.2 no-curvature MPNN
200,n050_s01,nn,50,200,0.2,0.1,0.13253313302993774,0.13253313302993774,3.7047877551020423,0.13470000000000001,0.13253313302993774,0.08267587423324585,0.04065319895744324,0.04173400402069092,0.11471246182918549,0.23188476264476776,0.2319648563861847,0.08035342395305634,0.08267587423324585,0.009433776140213013,community,v32_no_curvature,50,V3.2 no-curvature MPNN
200,n050_s02,nn,50,200,0.2,0.1,0.1304284930229187,0.1304284930229187,4.428942857142857,0.13019999999999998,0.1304284930229187,0.0815546065568924,0.040645331144332886,0.041878774762153625,0.11008089780807495,0.23183127939701081,0.23196467757225037,0.07959800213575363,0.0815546065568924,0.009699985384941101,community,v32_no_curvature,50,V3.2 no-curvature MPNN
200,n050_s03,nn,50,200,0.2,0.1,0.13274160027503967,0.13274160027503967,3.714922448979593,0.13140000000000002,0.13274160027503967,0.08277174830436707,0.040501028299331665,0.04182517752051354,0.1140231192111969,0.23190287351608277,0.23196449875831604,0.08048075437545776,0.08277174830436707,0.010648543946444988,community,v32_no_curvature,50,V3.2 no-curvature MPNN
200,n050_s04,nn,50,200,0.2,0.1,0.13209986686706543,0.13209986686706543,4.122167346938776,0.12869999999999998,0.13209986686706543,0.08207696676254272,0.040677785873413086,0.04185802638530731,0.1147422343492508,0.23186952769756317,0.23196539282798767,0.07996251434087753,0.08207696676254272,0.009421812370419502,community,v32_no_curvature,50,V3.2 no-curvature MPNN
160,n060_s00,nn,60,200,0.2,0.1,0.10459175705909729,0.10459175705909729,4.52400141242938,0.10625,0.10459175705909729,0.06332150101661682,0.02571365237236023,0.03620795607566834,0.09190843999385834,0.18748964965343476,0.3976919651031494,0.06223286688327789,0.06332150101661682,0.02418668381869793,community,v32_curvature,60,V3.2 curvature MPNN
160,n060_s01,nn,60,200,0.2,0.1,0.10420424491167068,0.10420424491167068,4.511056497175141,0.10316666666666667,0.10420424491167068,0.06178862601518631,0.025788068771362305,0.03692144155502319,0.09077432379126549,0.1889027237892151,0.33776170015335083,0.06055983528494835,0.06178862601518631,0.021142182871699333,community,v32_curvature,60,V3.2 curvature MPNN
160,n060_s02,nn,60,200,0.2,0.1,0.10393758118152618,0.10393758118152618,5.270946327683613,0.10466666666666667,0.10393758118152618,0.06094524264335632,0.025807201862335205,0.037483748793601994,0.09009301662445068,0.19194228053092957,0.39823096990585327,0.05974265933036804,0.06094524264335632,0.019298143684864044,community,v32_curvature,60,V3.2 curvature MPNN
160,n060_s03,nn,60,200,0.2,0.1,0.11134413629770279,0.11134413629770279,4.447841807909605,0.10891666666666668,0.11134413629770279,0.06927388906478882,0.025473713874816895,0.037091097235679625,0.09829343855381012,0.20862356126308446,0.40133875608444214,0.06807391345500946,0.06927388906478882,0.02972722053527832,community,v32_curvature,60,V3.2 curvature MPNN
160,n060_s04,nn,60,200,0.2,0.1,0.1154836043715477,0.1154836043715477,4.054855932203392,0.11541666666666667,0.1154836043715477,0.06990431249141693,0.025706976652145386,0.0404015451669693,0.1023111343383789,0.21107362806797025,0.39966678619384766,0.06869304925203323,0.06990431249141693,0.02657005563378334,community,v32_curvature,60,V3.2 curvature MPNN
200,n060_s00,nn,60,200,0.2,0.1,0.12854284048080444,0.12854284048080444,4.709132768361582,0.13066666666666665,0.12854284048080444,0.08124655485153198,0.040631264448165894,0.04202462434768677,0.10378679633140564,0.23178014159202576,0.23196375370025635,0.07916972041130066,0.08124655485153198,0.00882022175937891,community,v32_no_curvature,60,V3.2 no-curvature MPNN
200,n060_s01,nn,60,200,0.2,0.1,0.13101331889629364,0.13101331889629364,4.289375706214689,0.13175,0.13101331889629364,0.08223342895507812,0.04069763422012329,0.04176923334598541,0.11172626912593842,0.23188047856092453,0.23196515440940857,0.07972151041030884,0.08223342895507812,0.00968174822628498,community,v32_no_curvature,60,V3.2 no-curvature MPNN
200,n060_s02,nn,60,200,0.2,0.1,0.1312621384859085,0.1312621384859085,4.778354519774007,0.1295,0.1312621384859085,0.08173632621765137,0.04067075252532959,0.04199115335941315,0.11102811992168427,0.23181436359882354,0.23196527361869812,0.0796823725104332,0.08173632621765137,0.00887025985866785,community,v32_no_curvature,60,V3.2 no-curvature MPNN
200,n060_s03,nn,60,200,0.2,0.1,0.12956954538822174,0.12956954538822174,4.92816384180791,0.12733333333333333,0.12956954538822174,0.0812414214015007,0.040738701820373535,0.04202052652835846,0.10635638236999512,0.23182310163974762,0.23196563124656677,0.07912134379148483,0.0812414214015007,0.010541202500462532,community,v32_no_curvature,60,V3.2 no-curvature MPNN
200,n060_s04,nn,60,200,0.2,0.1,0.13501596450805664,0.13501596450805664,3.8956454802259874,0.13191666666666665,0.13501596450805664,0.08299543708562851,0.04075509309768677,0.041820365190505984,0.12342602014541626,0.231887024641037,0.23196515440940857,0.08069552481174469,0.08299543708562851,0.009427100419998169,community,v32_no_curvature,60,V3.2 no-curvature MPNN
160,n070_s00,nn,70,200,0.2,0.1,0.10715361684560776,0.10715361684560776,4.679549689440994,0.1085,0.10715361684560776,0.0658014565706253,0.0256955623626709,0.0341880738735199,0.09750612080097198,0.1940829485654831,0.3939877152442932,0.06491808593273163,0.0658014565706253,0.02840857394039631,community,v32_curvature,70,V3.2 curvature MPNN
160,n070_s01,nn,70,200,0.2,0.1,0.1086316630244255,0.1086316630244255,4.793913043478259,0.10985714285714286,0.1086316630244255,0.0648140236735344,0.025794029235839844,0.04028794467449188,0.09063738584518433,0.1996050626039505,0.39963972568511963,0.06356904655694962,0.0648140236735344,0.020938150584697723,community,v32_curvature,70,V3.2 curvature MPNN
160,n070_s02,nn,70,200,0.2,0.1,0.10366683453321457,0.10366683453321457,5.108368530020702,0.10385714285714286,0.10366683453321457,0.0632094144821167,0.025647461414337158,0.035686196759343154,0.08650029078125954,0.20160977840423586,0.3269883394241333,0.062141671776771545,0.0632094144821167,0.024903200566768646,community,v32_curvature,70,V3.2 curvature MPNN
160,n070_s03,nn,70,200,0.2,0.1,0.10984309017658234,0.10984309017658234,4.098613871635609,0.1072142857142857,0.10984309017658234,0.06387591361999512,0.025874551385641098,0.04152138829231262,0.09197833016514778,0.2011433839797974,0.3095327615737915,0.0627061054110527,0.06387591361999512,0.01863393746316433,community,v32_curvature,70,V3.2 curvature MPNN
160,n070_s04,nn,70,200,0.2,0.1,0.102321557700634,0.102321557700634,5.1023964803312625,0.10514285714285715,0.102321557700634,0.06196299195289612,0.02559340000152588,0.035618987679481504,0.09064431488513947,0.1884586751461029,0.40027153491973877,0.06087028607726097,0.06196299195289612,0.02437245100736618,community,v32_curvature,70,V3.2 curvature MPNN
200,n070_s00,nn,70,200,0.2,0.1,0.12834754586219788,0.12834754586219788,4.914871635610768,0.12964285714285714,0.12834754586219788,0.08097858726978302,0.040673840790987015,0.041983142495155334,0.10351759195327759,0.23175467252731322,0.23196440935134888,0.07894767075777054,0.08097858726978302,0.009054572321474552,community,v32_no_curvature,70,V3.2 no-curvature MPNN
200,n070_s01,nn,70,200,0.2,0.1,0.12975481152534485,0.12975481152534485,4.550974120082817,0.13121428571428573,0.12975481152534485,0.08163401484489441,0.04060184955596924,0.04190100468695164,0.10648809373378754,0.23185173273086546,0.23196470737457275,0.07967695593833923,0.08163401484489441,0.008309495635330677,community,v32_no_curvature,70,V3.2 no-curvature MPNN
200,n070_s02,nn,70,200,0.2,0.1,0.12886492908000946,0.12886492908000946,5.21777536231884,0.1265,0.12886492908000946,0.0807899609208107,0.04071354866027832,0.04210025668144226,0.10545483231544495,0.2317034035921097,0.23196497559547424,0.07885749638080597,0.0807899609208107,0.009846329689025879,community,v32_no_curvature,70,V3.2 no-curvature MPNN
200,n070_s03,nn,70,200,0.2,0.1,0.1301906704902649,0.1301906704902649,4.291129399585922,0.1287142857142857,0.1301906704902649,0.08168922364711761,0.040491070598363876,0.041911421343684196,0.10825465619564056,0.23180986195802689,0.2319650948047638,0.07966921478509903,0.08168922364711761,0.01004725880920887,community,v32_no_curvature,70,V3.2 no-curvature MPNN
200,n070_s04,nn,70,200,0.2,0.1,0.12825123965740204,0.12825123965740204,5.338974120082815,0.13221428571428573,0.12825123965740204,0.08060046285390854,0.04067257419228554,0.04199044108390808,0.10480049252510071,0.23169428408145903,0.2319648563861847,0.078373983502388,0.08060046285390854,0.008966390043497086,community,v32_no_curvature,70,V3.2 no-curvature MPNN
160,n080_s00,nn,80,200,0.2,0.1,0.10714644938707352,0.10714644938707352,4.9356431962025304,0.1068125,0.10714644938707352,0.06465882807970047,0.025810271501541138,0.03809758424758911,0.09331288933753967,0.19687218368053438,0.3974377512931824,0.0634814128279686,0.06465882807970047,0.024504613131284714,community,v32_curvature,80,V3.2 curvature MPNN
160,n080_s01,nn,80,200,0.2,0.1,0.11077160388231277,0.11077160388231277,4.903344145569618,0.11387499999999999,0.11077160388231277,0.06959222257137299,0.025724083185195923,0.0373800665140152,0.10032796859741211,0.20225905179977416,0.40199315547943115,0.06840647757053375,0.06959222257137299,0.0312894731760025,community,v32_curvature,80,V3.2 curvature MPNN
160,n080_s02,nn,80,200,0.2,0.1,0.11148902028799057,0.11148902028799057,4.961455696202533,0.1120625,0.11148902028799057,0.06595496088266373,0.025606423616409302,0.04189423024654388,0.09575338661670685,0.20454720854759223,0.3992410898208618,0.06481898576021194,0.06595496088266373,0.022015780210494995,community,v32_curvature,80,V3.2 curvature MPNN
160,n080_s03,nn,80,200,0.2,0.1,0.10999078303575516,0.10999078303575516,4.6685443037974705,0.1085,0.10999078303575516,0.06673119962215424,0.025572538375854492,0.03976011872291565,0.09831997752189636,0.20280472338199615,0.4000149071216583,0.06553452461957932,0.06673119962215424,0.02591077797114849,community,v32_curvature,80,V3.2 curvature MPNN
160,n080_s04,nn,80,200,0.2,0.1,0.11017969995737076,0.11017969995737076,4.4456162974683515,0.11100000000000002,0.11017969995737076,0.06651803851127625,0.025869667530059814,0.03956705927848816,0.09431563317775726,0.20537891685962678,0.39666974544525146,0.06543342769145966,0.06651803851127625,0.02419942617416382,community,v32_curvature,80,V3.2 curvature MPNN
200,n080_s00,nn,80,200,0.2,0.1,0.12809740006923676,0.12809740006923676,5.444606803797469,0.1280625,0.12809740006923676,0.08007923513650894,0.040742725133895874,0.04214326739311218,0.1047656238079071,0.23166349530220032,0.23196575045585632,0.0781811997294426,0.08007923513650894,0.00889670755714178,community,v32_no_curvature,80,V3.2 no-curvature MPNN
200,n080_s01,nn,80,200,0.2,0.1,0.12904781103134155,0.12904781103134155,5.132348892405059,0.1324375,0.12904781103134155,0.0816226452589035,0.04067552089691162,0.04190589487552643,0.10472935438156128,0.23182937502861023,0.2319650948047638,0.07964090257883072,0.0816226452589035,0.009792461059987545,community,v32_no_curvature,80,V3.2 no-curvature MPNN
200,n080_s02,nn,80,200,0.2,0.1,0.12985047698020935,0.12985047698020935,5.031350474683543,0.132125,0.12985047698020935,0.08147814124822617,0.04072842001914978,0.04201884269714355,0.10697762668132782,0.23182655572891236,0.2319643795490265,0.07952449470758438,0.08147814124822617,0.00973330345004797,community,v32_no_curvature,80,V3.2 no-curvature MPNN
200,n080_s03,nn,80,200,0.2,0.1,0.1331525295972824,0.1331525295972824,4.5411273734177255,0.130375,0.1331525295972824,0.08235091716051102,0.040755659341812134,0.0419076144695282,0.11817169189453125,0.23187314867973327,0.23196563124656677,0.08039381355047226,0.08235091716051102,0.009606773033738136,community,v32_no_curvature,80,V3.2 no-curvature MPNN
200,n080_s04,nn,80,200,0.2,0.1,0.12974385917186737,0.12974385917186737,4.160960443037975,0.13225,0.12974385917186737,0.08208515495061874,0.04071035981178284,0.04175107777118683,0.10658678412437439,0.2318521648645401,0.23196491599082947,0.07997214049100876,0.08208515495061874,0.010306566022336483,community,v32_no_curvature,80,V3.2 no-curvature MPNN
160,n090_s00,nn,90,200,0.2,0.1,0.10964251309633255,0.10964251309633255,4.940531210986266,0.11272222222222222,0.10964251309633255,0.064884714782238,0.025740712881088257,0.0411698043346405,0.09350799024105072,0.2058258205652237,0.38900989294052124,0.06384630501270294,0.064884714782238,0.021035432815551758,community,v32_curvature,90,V3.2 curvature MPNN
160,n090_s01,nn,90,200,0.2,0.1,0.11060454696416855,0.11060454696416855,5.5884981273408245,0.10794444444444444,0.11060454696416855,0.06667787581682205,0.02563929557800293,0.04146440327167511,0.09028930962085724,0.21530745923519137,0.33666783571243286,0.06559846550226212,0.06667787581682205,0.023841718211770058,community,v32_curvature,90,V3.2 curvature MPNN
160,n090_s02,nn,90,200,0.2,0.1,0.10157470405101776,0.10157470405101776,5.617528089887637,0.10127777777777779,0.10157470405101776,0.06226052716374397,0.025574177503585815,0.03393833637237549,0.08939845860004425,0.18325878679752355,0.3976837396621704,0.061236992478370667,0.06226052716374397,0.026461578905582428,community,v32_curvature,90,V3.2 curvature MPNN
160,n090_s03,nn,90,200,0.2,0.1,0.10822279006242752,0.10822279006242752,5.0757353308364515,0.10583333333333333,0.10822279006242752,0.06412491947412491,0.0256974995136261,0.03932042419910431,0.09235642850399017,0.19902692139148714,0.3988834619522095,0.06292913109064102,0.06412491947412491,0.02121085859835148,community,v32_curvature,90,V3.2 curvature MPNN
160,n090_s04,nn,90,200,0.2,0.1,0.10650789737701416,0.10650789737701416,5.860281523096133,0.10816666666666666,0.10650789737701416,0.06538278609514236,0.02569371461868286,0.03709871172904968,0.09333963692188263,0.19111378490924838,0.40077638626098633,0.06423830986022949,0.06538278609514236,0.02729973755776882,community,v32_curvature,90,V3.2 curvature MPNN
200,n090_s00,nn,90,200,0.2,0.1,0.12776300311088562,0.12776300311088562,5.31459238451935,0.13233333333333333,0.12776300311088562,0.08067896962165833,0.04059365391731262,0.04193914160132409,0.10396841168403625,0.23172065019607546,0.23196592926979065,0.07880065590143204,0.08067896962165833,0.009145407006144524,community,v32_no_curvature,90,V3.2 no-curvature MPNN
200,n090_s01,nn,90,200,0.2,0.1,0.12992708384990692,0.12992708384990692,5.438170411985018,0.12705555555555556,0.12992708384990692,0.08130341023206711,0.04078143835067749,0.04200541973114014,0.10828797519207001,0.23180127143859863,0.2319653332233429,0.07934778183698654,0.08130341023206711,0.010223520919680595,community,v32_no_curvature,90,V3.2 no-curvature MPNN
200,n090_s02,nn,90,200,0.2,0.1,0.12715549767017365,0.12715549767017365,6.234332709113607,0.12677777777777777,0.12715549767017365,0.08031991124153137,0.04076439142227173,0.04209640920162201,0.10217294096946716,0.23163599222898482,0.23196470737457275,0.07835741341114044,0.08031991124153137,0.009715479798614979,community,v32_no_curvature,90,V3.2 no-curvature MPNN
200,n090_s03,nn,90,200,0.2,0.1,0.12759681046009064,0.12759681046009064,5.168890137328341,0.12838888888888889,0.12759681046009064,0.0808320865035057,0.04074564576148987,0.0419683575630188,0.10234430432319641,0.2317848801612854,0.2319643795490265,0.07869280874729156,0.0808320865035057,0.009415562264621258,community,v32_no_curvature,90,V3.2 no-curvature MPNN
200,n090_s04,nn,90,200,0.2,0.1,0.12612929940223694,0.12612929940223694,6.00792072409488,0.13066666666666665,0.12612929940223694,0.07993042469024658,0.04058581590652466,0.04203771650791168,0.10060237348079681,0.2315857380628586,0.23196476697921753,0.07783854752779007,0.07993042469024658,0.008848949335515499,community,v32_no_curvature,90,V3.2 no-curvature MPNN
160,n100_s00,nn,100,200,0.2,0.1,0.11248984187841415,0.11248984187841415,5.4340626262626275,0.11055,0.11248984187841415,0.06732957810163498,0.02572643756866455,0.04097128212451935,0.09412403404712677,0.2062505781650545,0.4012168049812317,0.06621793657541275,0.06732957810163498,0.02424701116979122,community,v32_curvature,100,V3.2 curvature MPNN
160,n100_s01,nn,100,200,0.2,0.1,0.10681018233299255,0.10681018233299255,6.008557575757573,0.1052,0.10681018233299255,0.06281699240207672,0.02583688497543335,0.040446901321411134,0.09002918004989624,0.19985927641391754,0.39061543345451355,0.0618576779961586,0.06281699240207672,0.020668499171733856,community,v32_curvature,100,V3.2 curvature MPNN
160,n100_s02,nn,100,200,0.2,0.1,0.10232517868280411,0.10232517868280411,5.805558080808083,0.10285,0.10232517868280411,0.06041400134563446,0.025597035884857178,0.03898834884166717,0.08497601747512817,0.19261500239372256,0.29927119612693787,0.059161510318517685,0.06041400134563446,0.01837727054953575,community,v32_curvature,100,V3.2 curvature MPNN
160,n100_s03,nn,100,200,0.2,0.1,0.11236928403377533,0.11236928403377533,5.677804040404039,0.11380000000000001,0.11236928403377533,0.06805064529180527,0.025492966175079346,0.04173862636089325,0.09713789820671082,0.21021119654178627,0.40141797065734863,0.06706836074590683,0.06805064529180527,0.026879722252488136,community,v32_curvature,100,V3.2 curvature MPNN
160,n100_s04,nn,100,200,0.2,0.1,0.11072947084903717,0.11072947084903717,5.655124242424242,0.10815,0.11072947084903717,0.06713376194238663,0.02578570693731308,0.039707732200622556,0.09163888171315193,0.21899584531784058,0.39297324419021606,0.06611663103103638,0.06713376194238663,0.024408144876360893,community,v32_curvature,100,V3.2 curvature MPNN
200,n100_s00,nn,100,200,0.2,0.1,0.12856484949588776,0.12856484949588776,5.501189898989896,0.12895,0.12856484949588776,0.08092447370290756,0.0405915342271328,0.04206030070781708,0.104977548122406,0.23178619146347046,0.23196542263031006,0.0790712833404541,0.08092447370290756,0.008870698511600494,community,v32_no_curvature,100,V3.2 no-curvature MPNN
200,n100_s01,nn,100,200,0.2,0.1,0.12840169668197632,0.12840169668197632,5.606160101010101,0.13,0.12840169668197632,0.08093078434467316,0.04074415564537048,0.042011463642120356,0.1041128933429718,0.23173324763774872,0.23196500539779663,0.07920422405004501,0.08093078434467316,0.010073455981910229,community,v32_no_curvature,100,V3.2 no-curvature MPNN
200,n100_s02,nn,100,200,0.2,0.1,0.1265708953142166,0.1265708953142166,6.254137373737375,0.1307,0.1265708953142166,0.08009111136198044,0.04052400588989258,0.042070809006690975,0.10202392935752869,0.23166262507438662,0.23196569085121155,0.07827717810869217,0.08009111136198044,0.008499318733811378,community,v32_no_curvature,100,V3.2 no-curvature MPNN
200,n100_s03,nn,100,200,0.2,0.1,0.12790115177631378,0.12790115177631378,6.332379797979793,0.12795,0.12790115177631378,0.07998883724212646,0.04061040282249451,0.04215325117111206,0.10451382398605347,0.2316215991973877,0.23196545243263245,0.07823052257299423,0.07998883724212646,0.010027103126049042,community,v32_no_curvature,100,V3.2 no-curvature MPNN
200,n100_s04,nn,100,200,0.2,0.1,0.12996745109558105,0.12996745109558105,5.654890909090906,0.1267,0.12996745109558105,0.08099864423274994,0.04079356789588928,0.042171639204025266,0.10876911878585815,0.23177499175071714,0.23196548223495483,0.07930848747491837,0.08099864423274994,0.008807176724076271,community,v32_no_curvature,100,V3.2 no-curvature MPNN
160,n110_s00,nn,110,200,0.2,0.1,0.11213015019893646,0.11213015019893646,5.728105087572978,0.11036363636363637,0.11213015019893646,0.06751320511102676,0.02551722526550293,0.04191810786724091,0.09281344711780548,0.21343585848808294,0.39935868978500366,0.06646566092967987,0.06751320511102676,0.023440787568688393,community,v32_curvature,110,V3.2 curvature MPNN
160,n110_s01,nn,110,200,0.2,0.1,0.10692189633846283,0.10692189633846283,5.858973728106759,0.10777272727272727,0.10692189633846283,0.06383677572011948,0.02563178539276123,0.04042736887931824,0.08763359487056732,0.1993603557348252,0.399912029504776,0.06264311820268631,0.06383677572011948,0.022051291540265083,community,v32_curvature,110,V3.2 curvature MPNN
160,n110_s02,nn,110,200,0.2,0.1,0.11254466325044632,0.11254466325044632,5.408423686405334,0.11486363636363636,0.11254466325044632,0.06738563627004623,0.025655508041381836,0.043778419494628906,0.0949256420135498,0.21428915858268746,0.39522168040275574,0.06629230827093124,0.06738563627004623,0.023699695244431496,community,v32_curvature,110,V3.2 curvature MPNN
160,n110_s03,nn,110,200,0.2,0.1,0.10401289165019989,0.10401289165019989,6.376547122602171,0.10272727272727274,0.10401289165019989,0.061704277992248535,0.025673091411590576,0.03831104338169098,0.08632631599903107,0.1918358385562897,0.3309393525123596,0.06048659235239029,0.061704277992248535,0.0200263150036335,community,v32_curvature,110,V3.2 curvature MPNN
