slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,12.926565656565657,29.0,25.049999999999272,28.01000000000022,27.466666666666665,67.3169696969697,7,48,7,370,2396,0.0,0.0,0.0,18.3104,29.0,19.374,29.0,12.926565656565657,29.0,0.0
110,12.951818181818181,32.0,27.0,30.0,28.9979797979798,67.18606060606061,9,52,9,405,2591,0.0,0.0,0.0,17.336,32.0,21.5292,31.0,12.951818181818181,32.0,0.0
120,13.563939393939394,34.0,28.0,32.0,30.581818181818182,70.49767676767677,6,48,6,198,936,0.0,0.0,0.0,18.9536,34.0,22.8568,32.0,13.563939393939394,34.0,0.0
130,14.24979797979798,35.0,31.0,34.0,32.35353535353536,73.18383838383838,13,49,12,82,351,0.0,0.0,0.0,19.244,35.0,24.3028,34.0,14.24979797979798,35.0,0.0
140,14.931111111111111,38.0,32.0,36.0,34.34747474747475,77.07414141414141,13,42,11,170,702,0.0,0.0,0.0,19.2232,38.0,26.112,37.0,14.931111111111111,38.0,0.0
150,15.074646464646465,40.0,33.0,39.0,36.04040404040404,78.69090909090909,13,55,12,321,2766,0.0,0.0,0.0,18.7668,40.0,27.1888,39.0,15.074646464646465,40.0,0.0
160,15.116262626262627,44.0,32.0,40.0,36.28484848484848,79.68545454545455,7,35,7,233,1499,0.0,0.0,0.0,19.7248,43.0,25.9052,44.0,15.116262626262627,44.0,0.0
170,14.19969696969697,47.0,32.0,36.0,34.531313131313134,76.88303030303031,10,54,10,502,3367,0.0,0.0,0.0,18.9052,33.0,23.7168,47.0,14.19969696969697,47.0,0.0
180,14.074949494949495,48.0,33.0,38.0,35.3050505050505,77.01808080808081,8,42,8,427,3368,0.0,0.0,0.0,19.554,34.0,24.0572,48.0,14.074949494949495,48.0,0.0
190,14.42878787878788,41.0,33.0,38.0,36.515151515151516,79.03727272727272,8,42,8,250,1219,0.0,0.0,0.0,20.0764,37.0,25.0368,41.0,14.42878787878788,41.0,0.0
