node,x,y,label
0,142.01188422950307,150.40696511324364,0
1,166.684246301164,114.58684848321447,0
2,89.81392220413412,188.28069819640297,0
3,88.85851012838815,150.5067444041791,0
4,154.42843400967575,170.15554564573617,0
5,155.18362357764474,176.25964569484375,0
6,128.64897106821377,78.54963230492014,0
7,142.03979874288103,216.91148174176493,0
8,144.35022625091622,95.18876912787863,0
9,93.97178317146718,146.3771764297638,0
10,44.388319205565594,155.3203892016259,0
11,148.97117439366255,132.86538390869396,0
12,73.04653197155001,110.97247767485604,0
13,155.09630803342637,211.62656523510356,0
14,89.87652956967614,194.86384727132278,0
15,110.55507575352655,102.7429707735655,0
16,88.53422214281655,84.67361069504418,0
17,93.16883644737132,206.82861394315535,0
18,138.36171585981046,83.81208320568285,0
19,168.09153221138055,87.99231656026524,0
20,68.03133322695845,90.40515794920574,0
21,47.96482489195586,135.79502408770614,0
22,199.87513211900267,151.60859041443592,0
23,83.37326290276499,124.04961209841265,0
24,154.21214475673537,201.56792985251687,0
25,114.52234063537452,72.27960683944514,0
26,176.79545703626954,196.58814673030017,0
27,114.99441093600757,150.98118643848218,0
28,155.30878200653038,212.75451302349097,0
29,55.43048680274646,155.18364494800616,0
30,167.00802613013013,171.8818283734813,0
31,125.88141127949454,162.91537394144777,0
32,96.4196761188947,172.55245138300268,0
33,168.53617811316997,209.3908461074543,0
34,66.8341404218651,136.25912050655847,0
35,103.31874912496441,219.86888831866196,0
36,194.26820373649264,169.38052085763306,0
37,144.10339792458177,145.09556162248933,0
38,52.44867721176914,112.57763482637318,0
39,139.47909769552925,150.0101243758998,0
40,306.55438355114256,95.10309456358277,1
41,285.34480910588843,181.342140686265,1
42,243.48238670076142,146.01903724457716,1
43,254.94416785201972,119.28223955333205,1
44,318.3772813158298,113.54792194550765,1
45,345.6319891034325,126.5439433849069,1
46,275.1132239140017,209.1621291446763,1
47,311.58080258972586,207.90572142427573,1
48,256.98116892421,195.70770127824943,1
49,293.18950393458454,101.48743916163096,1
50,230.6175172480751,132.55835645608872,1
51,316.9392969878428,161.38190579203743,1
52,244.72244490111765,122.41618213724291,1
53,339.27379758694235,110.95422440481416,1
54,204.54312180150967,153.48173938260192,1
55,264.5311593851271,84.41129522971522,1
56,278.4283097195966,126.08489047270864,1
57,246.98148076780245,206.7823325775313,1
58,277.11106069000465,122.90387991997184,1
59,326.297549237958,92.82448812863437,1
60,301.31263522398143,98.65020400269051,1
61,279.0341737272039,134.78251663516735,1
62,220.41667916337357,193.68222349993042,1
63,266.8672628940063,100.55353212962436,1
64,303.72404584734414,88.68964321234833,1
65,250.23857002941085,83.16294877210746,1
66,251.31868319120304,156.8293023420543,1
67,240.77642334704387,90.88155662964931,1
68,280.5346130782021,124.89011879566704,1
69,250.44877017289375,187.38320158070832,1
70,314.2176418954225,181.73558837084255,1
71,297.41213877506857,149.30275923008142,1
72,271.26589098153653,185.54182115347845,1
73,317.82438568316076,122.79103668422854,1
74,228.33927850901452,101.46916200516151,1
75,250.2902364956633,108.78089055240314,1
76,321.46513724383743,125.88821679419749,1
77,325.9702008792167,149.10125619221074,1
78,317.86427578049245,145.30898835067705,1
79,302.2909480971507,73.85965153077086,1
