topology_seed,channel_seed,update_seed,policy,slot,node,fresh_score,orc_score,base_probability,backoff_factor,final_probability
0,0,0,freshness_backoff,50,0,0.5838284755479183,,0.2211105042839914,0.32961140448650933,0.07288054386376674
0,0,0,freshness_backoff,50,1,0.616898019286257,,0.23928838577711023,0.33831554236877565,0.08095498001673186
0,0,0,freshness_backoff,50,2,0.6618284755479182,,0.26373740104910653,0.342970235203944,0.09045407846988897
0,0,0,freshness_backoff,50,3,0.5808284755479183,,0.21946372818853413,0.33022594579632714,0.07247261720904674
0,0,0,freshness_backoff,50,4,0.643898019286257,,0.2540474457521367,0.3259294780082018,0.0828015513833109
0,0,0,freshness_backoff,50,5,0.664898019286257,,0.2653839779075337,0.3158084173531704,0.08381049405386695
0,0,0,freshness_backoff,50,6,0.718112469029166,,0.293137431886521,0.32740241182671564,0.09597390219633656
0,0,0,freshness_backoff,50,7,0.5748284755479183,,0.21617390733983033,0.3329226320686324,0.07196918621613696
0,0,0,freshness_backoff,50,8,0.5887708294077383,,0.22382557808745476,0.3324391024784201,0.074408374291107
0,0,0,freshness_backoff,50,9,0.5594272503221113,,0.2077612028166685,0.33877065322446986,0.07038339839290435
0,0,0,freshness_backoff,50,10,0.5594272503221113,,0.2077612028166685,0.3233555058747381,0.0671807288379279
0,0,0,freshness_backoff,50,11,0.631898019286257,,0.24750681612481104,0.3237128012859718,0.08012112478513451
0,0,0,freshness_backoff,50,12,0.646898019286257,,0.25567636574367186,0.3232114097334483,0.08263751860753692
0,0,0,freshness_backoff,50,13,0.616898019286257,,0.23928838577711023,0.3359594137777524,0.08039118580950262
0,0,0,freshness_backoff,50,14,0.6168284755479183,,0.23925020462096633,0.34238219813492926,0.08191501096235806
0,0,0,freshness_backoff,50,15,0.649898019286257,,0.2573024365953765,0.3332536530930359,0.08574697694514846
0,0,0,freshness_backoff,50,16,0.5474272503221113,,0.20125034111703677,0.3343135548718446,0.06728071695800791
0,0,0,freshness_backoff,50,17,0.6168284755479183,,0.23925020462096633,0.32897581143303745,0.07870753020070265
0,0,0,freshness_backoff,50,18,0.640898019286257,,0.2524158528445686,0.3406000753843335,0.08597285850706089
0,0,0,freshness_backoff,50,19,0.619898019286257,,0.24093489237685814,0.32447015659684914,0.07817618225916416
0,0,0,freshness_backoff,50,20,0.631898019286257,,0.24750681612481104,0.3253007080786838,0.08051414253970161
0,0,0,freshness_backoff,50,21,0.640898019286257,,0.2524158528445686,0.344529678732564,0.08696475268754536
0,0,0,freshness_backoff,50,22,0.5928284755479183,,0.22605608412272185,0.33259755397252927,0.0751857006398256
0,0,0,freshness_backoff,50,23,0.616898019286257,,0.23928838577711023,0.3276858131897639,0.0784114092802383
0,0,0,freshness_backoff,50,24,0.6738980192862569,,0.27018773528450274,0.32696225636487897,0.08834119157073764
0,0,0,freshness_backoff,50,25,0.5778284755479183,,0.2178181346607193,0.32693189264824973,0.07121169501774029
0,0,0,freshness_backoff,50,26,0.649898019286257,,0.2573024365953765,0.32334843472350233,0.08319834012365819
0,0,0,freshness_backoff,50,27,0.652898019286257,,0.2589254833392212,0.33245779459105984,0.08608179515438169
0,0,0,freshness_backoff,50,28,0.5898284755479183,,0.22440686705153415,0.34478500118538896,0.07737212192237262
0,0,0,freshness_backoff,50,29,0.5778284755479183,,0.2178181346607193,0.3250870020984576,0.07080984439953138
0,0,0,freshness_backoff,50,30,0.628898019286257,,0.2458663162709384,0.33197840661697825,0.08162230791641217
0,0,0,freshness_backoff,50,31,0.616898019286257,,0.23928838577711023,0.32536327664870546,0.07785565326042007
0,0,0,freshness_backoff,50,32,0.5958284755479183,,0.22770574472523095,0.33919999769990394,0.07723778808705326
0,0,0,freshness_backoff,50,33,0.5928284755479183,,0.22605608412272185,0.337366482485295,0.07626374594488261
0,0,0,freshness_backoff,50,34,0.712112469029166,,0.29009636428864033,0.33216389759702813,0.0963595390408421
0,0,0,freshness_backoff,50,35,0.637898019286257,,0.2507817644258804,0.34040831587284454,0.08536819807983438
0,0,0,freshness_backoff,50,36,0.622898019286257,,0.24258017188619924,0.3214593868593368,0.07797967331877013
0,0,0,freshness_backoff,50,37,0.6408284755479183,,0.25237800020552625,0.3441298625022708,0.08685080650932582
0,0,0,freshness_backoff,50,38,0.5958284755479183,,0.22770574472523095,0.3284990053643401,0.0748011106579847
0,0,0,freshness_backoff,50,39,0.643898019286257,,0.2540474457521367,0.3238815768706037,0.08228128733015119
0,0,0,freshness_backoff,50,40,0.697112469029166,,0.28238661053855746,0.3432489545441197,0.09692890884461734
0,0,0,freshness_backoff,50,41,0.5707708294077383,,0.2139525086879256,0.3322349655097023,0.07108250434464723
0,0,0,freshness_backoff,50,42,0.5928284755479183,,0.22605608412272185,0.32644957527067725,0.07379591264921503
0,0,0,freshness_backoff,50,43,0.6168284755479183,,0.23925020462096633,0.3289502942471646,0.07870142520876121
0,0,0,freshness_backoff,50,44,0.628898019286257,,0.2458663162709384,0.32555780890720454,0.08004369920925249
0,0,0,freshness_backoff,50,45,0.6588284755479182,,0.26212437878351763,0.3474373154062078,0.0910717904670653
0,0,0,freshness_backoff,50,46,0.5225737064824407,,0.1879395339844092,0.33915696631755454,0.06374100219728718
0,0,0,freshness_backoff,50,47,0.6716842761989658,,0.26900962615916435,0.3404074284389441,0.09157287506616285
0,0,0,freshness_backoff,50,48,0.679112469029166,,0.27295324020393297,0.34727441225670086,0.09478967606538291
0,0,0,freshness_backoff,50,49,0.6798980192862569,,0.2733686634208437,0.32525791619815675,0.0889153218181389
