policy,independent_runs,mean_VAoI,mean_VAoI_ci95,mean_max_VAoI,mean_max_VAoI_ci95,p95_max_VAoI,p95_max_VAoI_ci95,mean_tail_VAoI,mean_tail_VAoI_ci95,avg_tx_per_slot,avg_tx_per_slot_ci95,successful_decodes_per_tx,successful_decodes_per_tx_ci95,innovative_entries_per_tx,innovative_entries_per_tx_ci95,completed_update_fraction,completed_update_fraction_ci95,mean_dissemination_delay,mean_dissemination_delay_ci95
freshness_only,1,4.295232128982125,0.0,17.678989898989897,0.0,23.0,0.0,12.641728826728828,0.0,3.8653535353535355,0.0,2.6095852823581676,0.0,12.212532991872893,0.0,0.9917278952366672,0.0,86.41060403699318,0.0
orc_freshness,1,4.293544807044802,0.0,18.254949494949496,0.0,26.0,0.0,12.998594923594966,0.0,3.8945454545454545,0.0,2.5823218176159353,0.0,12.12929245772383,0.0,0.9914779827060529,0.0,89.08070980263655,0.0
random,1,4.241389536389525,0.0,17.66292929292929,0.0,25.0,0.0,12.502759647759719,0.0,4.0323232323232325,0.0,2.5202655310621243,0.0,11.8750250501002,0.0,0.9910281401509472,0.0,87.3180935569285,0.0
