slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,3.298888888888889,10.0,8.0,9.0,8.755555555555556,75.03656565656566,7,48,7,259,606,0.0,0.0,0.0,4.7832,10.0,4.8992,9.0,3.298888888888889,10.0,0.0
110,3.2809090909090908,11.0,8.0,10.0,9.16161616161616,76.52313131313132,9,52,9,252,566,0.0,0.0,0.0,4.472,11.0,5.4308,10.0,3.2809090909090908,11.0,0.0
120,3.4212121212121214,12.0,9.0,11.0,9.787878787878787,80.20626262626263,6,48,6,123,216,0.0,0.0,0.0,4.8832,12.0,5.7632,11.0,3.4212121212121214,12.0,0.0
130,3.6594949494949494,13.0,9.0,12.0,10.468686868686868,83.74949494949495,13,49,12,60,99,0.0,0.0,0.0,5.008,13.0,6.1972,12.0,3.6594949494949494,13.0,0.0
140,3.9016161616161615,14.0,10.0,11.0,10.751515151515152,87.75060606060606,13,34,12,86,175,0.0,0.0,0.0,5.0584,14.0,6.768,13.0,3.9016161616161615,14.0,0.0
150,3.9005050505050507,14.0,10.0,11.0,10.814141414141414,90.17191919191919,13,55,12,245,720,0.0,0.0,0.0,4.924,14.0,6.9712,13.0,3.9005050505050507,14.0,0.0
160,3.9607070707070706,14.0,10.0,12.0,11.298989898989898,94.18757575757576,7,35,7,198,424,0.0,0.0,0.0,4.912,14.0,7.14,13.0,3.9607070707070706,14.0,0.0
170,3.7545454545454544,13.0,10.0,12.0,11.296969696969697,92.3169696969697,10,54,10,392,775,0.0,0.0,0.0,4.6232,10.0,6.8324,13.0,3.7545454545454544,13.0,0.0
180,3.5015151515151515,14.0,9.0,13.0,11.088888888888889,90.30171717171717,8,42,8,338,984,0.0,0.0,0.0,4.7288,12.0,6.29,14.0,3.5015151515151515,14.0,0.0
190,3.5836363636363635,13.0,10.0,13.0,11.482828282828283,92.34929292929293,8,42,8,178,299,0.0,0.0,0.0,4.946,13.0,6.4088,13.0,3.5836363636363635,13.0,0.0
200,3.4973737373737372,14.0,10.0,13.0,11.468686868686868,90.2830303030303,10,34,9,564,1433,0.0,0.0,0.0,4.83,13.0,5.9136,14.0,3.4973737373737372,14.0,0.0
210,3.3925252525252527,14.0,9.0,13.0,11.606060606060606,88.14434343434344,10,58,10,558,1443,0.0,0.0,0.0,4.3524,13.0,5.9928,14.0,3.3925252525252527,14.0,0.0
220,3.2725252525252526,14.0,10.0,13.0,11.652525252525253,85.80171717171717,10,52,10,138,238,0.0,0.0,0.0,4.1232,14.0,5.9152,14.0,3.2725252525252526,14.0,0.0
230,2.9608080808080808,15.0,8.0,13.0,10.832323232323231,80.34272727272727,15,42,11,475,1229,0.0,0.0,0.0,3.3268,12.0,5.6072,15.0,2.9608080808080808,15.0,0.0
240,3.041818181818182,13.0,9.0,12.010000000000218,10.616161616161616,80.529898989899,11,35,7,155,251,0.0,0.0,0.0,3.4304,9.0,5.7648,13.0,3.041818181818182,13.0,0.0
250,3.069292929292929,13.0,9.0,13.0,11.004040404040405,81.51414141414142,15,32,13,195,349,0.0,0.0,0.0,3.3232,10.0,6.1448,13.0,3.069292929292929,13.0,0.0
260,3.082626262626263,14.0,9.0,13.0,11.155555555555555,81.98424242424242,6,41,6,441,1093,0.0,0.0,0.0,3.4784,12.0,5.7424,14.0,3.082626262626263,14.0,0.0
270,2.9322222222222223,14.0,9.0,13.0,10.737373737373737,80.3659595959596,9,51,8,388,1304,0.0,0.0,0.0,3.5772,13.0,5.0752,14.0,2.9322222222222223,14.0,0.0
280,2.8966666666666665,14.0,7.0,14.0,9.915151515151516,77.76979797979799,11,38,11,219,883,0.0,0.0,0.0,3.9568,9.0,3.924,14.0,2.8966666666666665,14.0,0.0
290,2.7984848484848484,16.0,7.0,9.070000000001528,9.674747474747475,75.69676767676768,8,47,8,198,367,0.0,0.0,0.0,4.1264,9.0,3.5516,16.0,2.7984848484848484,16.0,0.0
300,2.8567676767676766,16.0,7.0,10.06000000000131,9.943434343434344,77.01414141414142,13,51,11,398,829,0.0,0.0,0.0,4.0228,10.0,3.8492,16.0,2.8567676767676766,16.0,0.0
310,2.594949494949495,16.0,7.0,11.050000000001091,9.531313131313132,70.00080808080808,8,41,8,399,891,0.0,0.0,0.0,3.3972,11.0,3.6372,16.0,2.594949494949495,16.0,0.0
320,2.812626262626263,17.0,7.0,11.06000000000131,9.87070707070707,73.7419191919192,5,38,5,127,207,0.0,0.0,0.0,3.76,11.0,3.8384,17.0,2.812626262626263,17.0,0.0
330,2.928080808080808,18.0,7.0,11.070000000001528,10.298989898989898,76.59313131313131,10,42,9,105,197,0.0,0.0,0.0,4.16,11.0,3.946,18.0,2.928080808080808,18.0,0.0
340,3.139090909090909,19.0,8.0,13.06000000000131,11.072727272727272,79.74040404040404,4,31,4,128,215,0.0,0.0,0.0,4.5,13.0,4.3252,19.0,3.139090909090909,19.0,0.0
350,3.4652525252525255,19.0,9.0,13.06000000000131,11.468686868686868,84.2479797979798,14,44,14,62,114,0.0,0.0,0.0,5.0388,13.0,4.6648,19.0,3.4652525252525255,19.0,0.0
360,3.6112121212121213,20.0,9.0,13.070000000001528,12.21010101010101,85.81282828282828,12,49,12,235,490,0.0,0.0,0.0,5.608,13.0,4.8632,20.0,3.6112121212121213,20.0,0.0
370,3.7333333333333334,21.0,9.0,13.080000000001746,12.648484848484848,89.44414141414141,12,48,12,205,557,0.0,0.0,0.0,5.7028,13.0,5.3528,21.0,3.7333333333333334,21.0,0.0
380,3.846868686868687,21.0,10.0,15.06000000000131,13.282828282828282,92.21141414141414,18,43,16,53,89,0.0,0.0,0.0,5.892,13.0,5.698,21.0,3.846868686868687,21.0,0.0
390,3.656262626262626,21.0,10.0,15.06000000000131,13.345454545454546,90.8730303030303,12,50,9,232,543,0.0,0.0,0.0,5.3756,13.0,5.6692,21.0,3.656262626262626,21.0,0.0
400,3.615050505050505,21.0,10.0,15.06000000000131,13.294949494949496,88.6870707070707,7,36,7,196,523,0.0,0.0,0.0,5.3748,13.0,5.5956,21.0,3.615050505050505,21.0,0.0
410,3.4682828282828284,23.0,10.0,14.090000000001965,13.66060606060606,86.82777777777778,10,57,9,385,1087,0.0,0.0,0.0,5.5188,14.0,4.8816,23.0,3.4682828282828284,23.0,0.0
420,3.2670707070707072,23.0,8.0,12.110000000002401,12.393939393939394,85.88959595959597,3,23,3,24,60,0.0,0.0,0.0,4.8732,11.0,4.9028,23.0,3.2670707070707072,23.0,0.0
430,3.2655555555555558,25.0,8.0,12.130000000002838,12.761616161616162,86.69404040404041,8,48,8,458,1421,0.0,0.0,0.0,5.3128,12.0,4.2556,25.0,3.2655555555555558,25.0,0.0
440,3.263333333333333,26.0,8.0,13.130000000002838,13.234343434343435,84.95646464646465,11,31,10,284,636,0.0,0.0,0.0,5.1312,12.0,4.0268,26.0,3.263333333333333,26.0,0.0
450,3.0881818181818184,26.0,8.0,14.12000000000262,12.8,80.00929292929293,13,40,11,300,789,0.0,0.0,0.0,4.2764,12.0,4.0796,26.0,3.0881818181818184,26.0,0.0
460,3.353131313131313,26.0,8.0,15.110000000002401,12.834343434343435,83.31242424242424,16,41,13,91,169,0.0,0.0,0.0,4.7308,12.0,4.3532,26.0,3.353131313131313,26.0,0.0
470,3.1557575757575758,27.0,7.0,13.140000000003056,12.28888888888889,78.4950505050505,7,55,7,257,523,0.0,0.0,0.0,4.4484,13.0,4.5216,27.0,3.1557575757575758,27.0,0.0
480,3.321919191919192,29.0,8.0,10.190000000004147,12.781818181818181,82.16313131313132,12,37,12,44,59,0.0,0.0,0.0,4.62,10.0,4.8552,29.0,3.321919191919192,29.0,0.0
490,3.5347474747474745,29.0,8.0,11.180000000003929,13.36969696969697,85.2379797979798,12,35,10,105,203,0.0,0.0,0.0,5.152,11.0,5.0848,29.0,3.5347474747474745,29.0,0.0
