node,x,y,label
0,43.615667873037,119.98074727808059,0
1,96.65625466113342,191.99756957295853,0
2,82.53570304427805,64.6533257521946,0
3,105.23482856248313,194.0279649995469,0
4,82.51162908811071,128.59191873371392,0
5,77.83185528198725,109.7762307251136,0
6,141.7437409078393,67.43492752761924,0
7,92.13149283800595,53.03108486919865,0
8,105.28027951656858,98.86668912146925,0
9,190.88772712670684,106.29913264084487,0
10,129.05410747952118,144.47668470552549,0
11,123.37113162260832,190.79397172423123,0
12,185.25735653780083,121.26643383942029,0
13,179.6716841706251,156.79468779183446,0
14,133.51018801419576,183.0202096478081,0
15,118.65961006591158,83.23059744338994,0
16,176.02025136779957,156.79562238454773,0
17,77.06402491899053,91.35095045699657,0
18,190.25471986627582,149.36979316138712,0
19,179.74574571146016,128.01056924704304,0
20,42.410928018746105,108.99911552884546,0
21,109.3042794462414,118.05712286122814,0
22,167.7866676463718,148.7260282062322,0
23,96.82578764473593,74.53436197446179,0
24,169.71322599072616,87.06907044150424,0
25,179.3167823898383,164.68720751568208,0
26,51.42658955085717,103.41172633166245,0
27,100.71796509632709,182.2391763807613,0
28,160.39568613413067,164.1053933451582,0
29,164.59002803365937,172.1242062627024,0
30,110.70681949834187,146.75474170391104,0
31,158.9252129404653,98.85222389236546,0
32,182.48095987026153,133.98995623020755,0
33,84.93561755304736,94.86212427441721,0
34,120.86679472179634,101.08868926578205,0
35,99.2936116442309,75.65291237497877,0
36,157.21701616160834,149.19502971784073,0
37,102.01496348013993,152.4923315870735,0
38,76.96495007270151,60.122521392805396,0
39,165.14277597015976,153.03838402802992,0
40,344.85252351954813,90.8608268364868,1
41,286.8769865812323,185.13737694045665,1
42,263.495543016241,197.5114778499046,1
43,301.86231946300984,116.96987500767429,1
44,300.09363037672796,65.89984911782442,1
45,292.7352321131526,98.08900521954004,1
46,334.50055014337045,171.88674162786967,1
47,278.200579199733,48.297873294603335,1
48,319.99821011138,74.0583995213619,1
49,253.64825885281047,100.3195157723538,1
50,327.1436221598996,127.79082355731114,1
51,213.35339738377942,165.81733562761033,1
52,286.17282179090074,179.2863634472492,1
53,232.78751020621667,126.70046725073375,1
54,271.4955637522691,78.44987048993102,1
55,283.5819829184362,49.56542430800903,1
56,255.44171903474458,176.77687837384985,1
57,300.5873503587576,133.98490100549768,1
58,262.82187393330196,168.45790672500445,1
59,314.35940652748275,136.6236156532561,1
60,347.191368701205,149.46164895295234,1
61,278.50359123644944,169.853183061952,1
62,285.39019535570674,111.80985734564496,1
63,292.3175533922558,57.514826625038864,1
64,237.1511075221347,141.6232253487874,1
65,232.29996469418305,115.44609832941076,1
66,227.41967003470995,96.43219682295918,1
67,342.2096808682177,110.37635668687638,1
68,315.90571319408855,170.08061998574243,1
69,318.71720078063817,116.01615195709994,1
70,299.0337485278474,109.48614724478388,1
71,259.9797837878058,200.19965421057162,1
72,346.9769297734018,117.9820731250986,1
73,305.6901397968016,167.3899665281382,1
74,301.1707194504994,98.61503732909401,1
75,303.7708926703092,199.4570734947202,1
76,242.4577800380613,64.62412415773761,1
77,270.117986665277,61.59394491253492,1
78,292.00088941345314,154.54867435272982,1
79,295.5842183590758,133.48661999701523,1
