episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages
0,3.2324141406565903,0.1018199997767806,0.10018199997767807,0.1,0.00018199997767806564,0.0018199995947806968,0.0,0.09999994933605194,0.0,0.0,False,-0.0033100820146501064,23.63262939453125,0.33193495869636536,-6.347656267280399e-08,0.9999992251396179,4.513420104980469,0.0,0.0,0.0,0.0010868047829717398,0.0,0.0,100,0.05,0.144,0.0,970
1,6.25862402766198,0.10309999997541308,0.10047379997745157,0.1,0.0004737999774515611,0.004737999300715681,0.0,0.10359234362840652,0.0,0.0,False,-0.0034053800627589226,107.65384674072266,0.34154972434043884,1.8554688097083272e-07,0.9999997615814209,2.6946940422058105,0.0,0.0,0.0,0.0009781053522601724,0.0,0.0,100,0.05,0.15,0.0,904
2,3.3036727241873742,0.10589999984949827,0.10101641996465623,0.1,0.0010164199646562205,0.010164198630142342,0.0,0.10843127965927124,0.0,0.0,False,-0.0035101380199193954,22.572237014770508,0.354172021150589,-1.6601562435880624e-07,0.9999992251396179,5.705967426300049,0.0,0.0,0.0,0.0027810772880911827,0.0,0.0,100,0.05,0.142,0.0,1070
3,3.3460248436033724,0.11299999956786633,0.10221477792497723,0.1,0.002214777924977221,0.022147777034994504,0.0,0.11449963599443436,0.0,0.0,False,-0.0037158445920795202,24.11408233642578,0.3706440329551697,-1.1230468999201548e-07,0.9999993443489075,4.737777233123779,0.0,0.0,0.0,0.001032650819979608,0.0,0.0,100,0.05,0.164,0.01,1058
4,3.852558585330844,0.12103999957814812,0.1040973000902943,0.1,0.004097300090294298,0.0409729968056433,0.0,0.12316278368234634,0.0,0.0,False,-0.004117652308195829,32.651329040527344,0.3948804438114166,3.417968841290531e-08,0.9999995231628418,4.4788665771484375,0.0,0.0,0.0,0.006799960974603891,0.0,0.0,100,0.05,0.16,0.03,940
5,4.529243627257645,0.13584000010043382,0.10727157009130826,0.1,0.007271570091308258,0.07271569364151322,0.07271569364151322,0.1363743394613266,0.0,0.0007271569364151321,False,-0.004059683531522751,45.86082077026367,0.420759379863739,0.0,0.9999995827674866,4.26719856262207,0.0,0.0,0.0,0.0069306595250964165,0.0,0.0,100,0.05,0.19,0.15,954
6,3.4305137386620044,0.1503400004208088,0.11157841312425831,0.1,0.011578413124258308,0.11578411966417111,0.11578411966417111,0.1510513722896576,0.0007271569364151321,0.0018849981330568432,False,-0.004409045446664095,22.055862426757812,0.4474104046821594,-2.343749940791895e-07,0.999999463558197,5.534628391265869,5.172808528186579e-07,0.00025988160632550716,0.0006228336715139449,0.0033898805268108845,0.0005026981234550476,0.14829332082531058,100,0.05,0.198,0.41,1064
7,5.0702989929914475,0.1665400006249547,0.11707457187432796,0.1,0.017074571874327954,0.17074570166870937,0.17074570166870937,0.1651526391506195,0.0018849981330568432,0.003592455149743937,False,-0.005125370342284441,55.652591705322266,0.48410147428512573,-2.0996093041958375e-07,0.9999995827674866,4.301705837249756,-2.615182665977045e-06,0.0007022675126791,0.0015915004769340158,0.011212747544050217,0.0015080430312082171,0.13449350218122075,100,0.05,0.208,0.81,976
8,7.072962622150778,0.1911200001090765,0.12447911469780282,0.1,0.024479114697802812,0.24479112249891588,0.24479112249891588,0.1908220648765564,0.003592455149743937,0.006040366374733095,False,-0.004964071791619062,125.0091781616211,0.5226532816886902,1.3671875365162123e-07,0.9999998211860657,3.0277600288391113,-1.0703645330067957e-06,0.0014124492881819606,0.002949916059151292,0.006790742743760347,0.003519225399941206,0.5182378939028269,100,0.05,0.246,0.98,922
9,5.505097576048225,0.2213200002461672,0.13416320325263925,0.1,0.034163203252639246,0.34163199836319263,0.34163199836319263,0.22236064076423645,0.006040366374733095,0.009456686358365022,False,-0.005491570103913546,60.56224822998047,0.5597820281982422,1.2207031829802872e-07,0.9999995827674866,4.2850165367126465,6.28588895779103e-06,0.002507027704268694,0.004817010834813118,0.001687814830802381,0.007257509045302868,4.2999183996201165,100,0.05,0.268,1.0,972
