node_i,node_j,edge_curvature,is_inter_cluster
0,1,0.42500000000000016,False
0,8,0.28409090909090917,False
0,11,0.3125000000000002,False
0,14,0.2946428571428572,False
0,21,0.48611111111111116,False
0,29,0.5625,False
0,33,0.48611111111111105,False
0,47,0.27884615384615385,False
1,8,0.3727272727272727,False
1,11,0.3999999999999999,False
1,12,-0.12307692307692308,False
1,14,0.20714285714285707,False
1,21,0.47777777777777786,False
1,29,0.42500000000000004,False
1,33,0.47777777777777786,False
1,47,0.3538461538461537,False
1,49,0.13181818181818195,False
2,7,0.16666666666666663,False
2,9,0.11111111111111116,False
2,19,0.25555555555555554,False
2,25,0.07142857142857162,False
2,28,-0.03888888888888875,False
2,34,-0.19444444444444442,False
2,35,0.0,False
2,38,-0.11965811965811968,False
2,45,-0.1944444444444442,False
3,26,0.22077922077922096,False
3,32,0.40000000000000013,False
3,36,0.1785714285714286,False
3,37,0.4126984126984127,False
3,41,0.3015873015873016,False
3,42,0.24285714285714288,False
3,46,0.242857142857143,False
4,6,-0.08653846153846123,False
4,12,0.03846153846153855,False
4,13,-0.038461538461538325,False
4,23,0.10897435897435914,False
4,24,0.36538461538461553,False
4,26,-0.06643356643356646,False
4,27,0.044871794871794934,False
4,30,-0.11538461538461542,False
4,31,-0.14010989010989028,False
4,42,0.04358974358974366,False
4,46,0.04358974358974377,False
4,47,-0.23076923076923084,False
4,49,-0.09790209790209814,False
5,13,-0.0535714285714286,False
5,16,0.4375,False
5,27,0.12499999999999989,False
5,36,0.3125,False
5,37,0.14583333333333348,False
5,39,0.125,False
5,42,0.15833333333333344,False
5,46,0.15833333333333344,False
6,13,0.24404761904761907,False
6,18,0.3030303030303032,False
6,22,0.11217948717948723,False
6,24,1.1102230246251565e-16,False
6,25,0.17857142857142883,False
6,27,0.08333333333333359,False
6,30,0.04166666666666696,False
6,31,0.4285714285714286,False
6,35,-0.18055555555555536,False
6,38,0.10576923076923095,False
6,43,0.08333333333333337,False
7,9,0.11666666666666659,False
7,19,0.4,False
8,11,0.4772727272727274,False
8,12,0.03146853146853146,False
8,21,0.3232323232323234,False
8,23,-0.08712121212121215,False
8,29,0.28409090909090895,False
8,33,0.3232323232323234,False
8,44,-0.045454545454545636,False
8,47,0.3426573426573427,False
8,49,0.2727272727272727,False
9,17,0.1636363636363637,False
9,19,0.25,False
9,25,0.1785714285714286,False
9,28,0.34999999999999987,False
9,31,-0.042857142857142705,False
9,38,0.18461538461538463,False
9,43,0.13333333333333341,False
9,48,0.19999999999999996,False
10,17,0.1022727272727274,False
10,22,0.1923076923076924,False
10,39,-0.125,False
10,40,0.1607142857142858,False
11,12,-0.023076923076922995,False
11,21,0.35555555555555574,False
11,29,0.3125000000000001,False
11,33,0.3555555555555556,False
11,44,-0.09999999999999987,False
11,47,0.3423076923076923,False
11,49,0.2272727272727274,False
12,23,0.3942307692307694,False
12,24,-0.08333333333333326,False
12,26,0.13636363636363646,False
12,41,0.05555555555555558,False
12,42,-0.05128205128205132,False
12,44,0.24175824175824157,False
12,46,-0.0512820512820511,False
12,47,0.0,False
12,49,0.21328671328671334,False
13,18,0.27922077922077937,False
13,22,0.11263736263736279,False
13,24,0.08333333333333348,False
13,25,-0.03571428571428559,False
13,27,0.30952380952380976,False
13,31,0.17857142857142871,False
13,38,-0.0494505494505495,False
13,39,0.0714285714285714,False
13,42,-0.14285714285714324,False
13,43,-0.023809523809523503,False
13,46,-0.14285714285714324,False
14,21,0.24603174603174605,False
14,29,0.294642857142857,False
14,33,0.24603174603174616,False
14,47,0.10989010989010994,False
14,57,-0.6571428571428575,True
15,20,0.42500000000000004,False
15,34,0.3749999999999999,False
15,35,0.18055555555555558,False
15,45,0.375,False
16,27,0.0,False
16,32,0.07499999999999996,False
16,36,0.4375,False
16,37,0.24305555555555547,False
16,39,0.0,False
16,42,0.20833333333333348,False
16,46,0.20833333333333337,False
17,18,0.13636363636363635,False
17,22,0.27622377622377625,False
17,25,0.1331168831168833,False
17,28,0.27727272727272767,False
17,31,0.0357142857142857,False
17,38,0.36363636363636365,False
17,40,0.3376623376623378,False
17,43,0.3977272727272728,False
17,48,0.31818181818181834,False
18,22,0.3041958041958044,False
18,24,-0.10227272727272729,False
18,25,0.16883116883116878,False
18,27,0.11742424242424243,False
18,31,0.3084415584415583,False
18,38,0.16083916083916083,False
18,39,0.00568181818181801,False
18,43,0.2083333333333337,False
19,25,2.220446049250313e-16,False
19,28,0.1499999999999999,False
20,34,0.20000000000000007,False
20,35,0.033333333333333104,False
20,45,0.19999999999999996,False
20,61,-0.6333333333333333,True
21,29,0.48611111111111116,False
21,33,0.5555555555555556,False
21,47,0.3162393162393162,False
21,49,0.07070707070707094,False
22,25,0.15109890109890134,False
22,27,-0.05448717948717907,False
22,28,0.05384615384615399,False
22,31,0.15384615384615385,False
22,38,0.26923076923076916,False
22,39,-0.028846153846153966,False
22,40,0.18681318681318704,False
22,43,0.3108974358974358,False
23,24,2.220446049250313e-16,False
