topology_seed,channel_seed,update_seed,policy,slot,node,fresh_score,orc_score,base_probability,backoff_factor,final_probability
1,0,0,freshness_backoff,50,0,0.6467777864565254,,0.25561113615765824,0.3214539985345605,0.08216722178784122
1,0,0,freshness_backoff,50,1,0.6078284755479183,,0.23430511190099584,0.34264152322314995,0.08028266044072782
1,0,0,freshness_backoff,50,2,0.6047777864565255,,0.23262765758940376,0.32454292448572364,0.07549766031032865
1,0,0,freshness_backoff,50,3,0.5654272503221113,,0.21103219696455638,0.33566122068844395,0.07083532483768713
1,0,0,freshness_backoff,50,4,0.6167777864565255,,0.23922237475980693,0.3197978172996987,0.07650279329743678
1,0,0,freshness_backoff,50,5,0.5748284755479183,,0.21617390733983033,0.3102579383348916,0.06706967081305365
1,0,0,freshness_backoff,50,6,0.5684272503221113,,0.2126709607672949,0.3397062880063644,0.0722456626490049
1,0,0,freshness_backoff,50,7,0.6258284755479183,,0.24418595121271158,0.33882593620747364,0.08273653352835948
1,0,0,freshness_backoff,50,8,0.6078284755479183,,0.23430511190099584,0.3141819671974505,0.07361444098147364
1,0,0,freshness_backoff,50,9,0.5897777864565255,,0.22437900616065146,0.2972197927649663,0.06668988171187792
1,0,0,freshness_backoff,50,10,0.655898019286257,,0.26054533233643046,0.3323556626070889,0.08659371656785853
1,0,0,freshness_backoff,50,11,0.6288284755479183,,0.2458282656806333,0.3269667074390775,0.08037765862505544
1,0,0,freshness_backoff,50,12,0.655898019286257,,0.26054533233643046,0.3342070516268238,0.08707608733528938
1,0,0,freshness_backoff,50,13,0.5748284755479183,,0.21617390733983033,0.30218295426816216,0.06532406995564187
1,0,0,freshness_backoff,50,14,0.5808284755479183,,0.21946372818853413,0.3284866134262774,0.07209089684255662
1,0,0,freshness_backoff,50,15,0.667898019286257,,0.26698932861686875,0.3410404433652058,0.09105415900527554
1,0,0,freshness_backoff,50,16,0.5748284755479183,,0.21617390733983033,0.29842222093300796,0.06451109753611844
1,0,0,freshness_backoff,50,17,0.5748284755479183,,0.21617390733983033,0.3141664288458643,0.06791458447861128
1,0,0,freshness_backoff,50,18,0.7397777864565255,,0.30389421077991835,0.33429599395608817,0.10159061725017376
1,0,0,freshness_backoff,50,19,0.5444272503221113,,0.1996301370593807,0.34227570783595096,0.06832854646738744
1,0,0,freshness_backoff,50,20,0.6078284755479183,,0.23430511190099584,0.331755876884132,0.07773209785714955
1,0,0,freshness_backoff,50,21,0.5987777864565255,,0.22932778464308626,0.3267385947267628,0.0749302380860837
1,0,0,freshness_backoff,50,22,0.5808284755479183,,0.21946372818853413,0.3493083973553297,0.07666052317116255
1,0,0,freshness_backoff,50,23,0.5927777864565255,,0.2260282141454875,0.3312544422377496,0.07487285000675807
1,0,0,freshness_backoff,50,24,0.6228284755479183,,0.24254204752013894,0.3442906387594459,0.08350495646673252
1,0,0,freshness_backoff,50,25,0.5585737064824408,,0.20729665157078456,0.33185388176767133,0.0687921985012053
1,0,0,freshness_backoff,50,26,0.5838284755479183,,0.2211105042839914,0.3447385149169585,0.07622530687940299
1,0,0,freshness_backoff,50,27,0.5804272503221113,,0.2192435711145567,0.3371343973458112,0.07391454921964957
1,0,0,freshness_backoff,50,28,0.6197777864565255,,0.24086892670586968,0.32008552848143423,0.07709865769940415
1,0,0,freshness_backoff,50,29,0.6227777864565255,,0.24251425892771994,0.3193285011861625,0.07744171481966174
1,0,0,freshness_backoff,50,30,0.6048284755479183,,0.23265553257020383,0.337007439840497,0.07840664539621177
1,0,0,freshness_backoff,50,31,0.5868284755479183,,0.22275827877754745,0.3255454845728534,0.07251795180725146
1,0,0,freshness_backoff,50,32,0.5525737064824408,,0.20403708547285324,0.33223680688510177,0.06778862976364335
1,0,0,freshness_backoff,50,33,0.5778284755479183,,0.2178181346607193,0.3337441745366393,0.07269553355145231
1,0,0,freshness_backoff,50,34,0.5868284755479183,,0.22275827877754745,0.3298024514788074,0.07346622642803474
1,0,0,freshness_backoff,50,35,0.5748284755479183,,0.21617390733983033,0.31149478616333787,0.06733704504091366
1,0,0,freshness_backoff,50,36,0.6528284755479182,,0.25888789463000766,0.320323619026833,0.08292790733012145
1,0,0,freshness_backoff,50,37,0.6497777864565255,,0.257237324570326,0.33694697609685526,0.08667533865321662
1,0,0,freshness_backoff,50,38,0.5645737064824408,,0.21056632388175503,0.3416847325918266,0.07194729806838142
1,0,0,freshness_backoff,50,39,0.5958284755479183,,0.22770574472523095,0.34237065208235207,0.07795976430447492
1,0,0,freshness_backoff,50,40,0.6254272503221112,,0.24396618073233187,0.3334535537539878,0.08135138996098372
1,0,0,freshness_backoff,50,41,0.6377777864565255,,0.2507162245828846,0.3346927190747627,0.08391289492180452
1,0,0,freshness_backoff,50,42,0.6737777864565254,,0.27012381033965155,0.31603360018593185,0.08536820027758192
1,0,0,freshness_backoff,50,43,0.6228284755479183,,0.24254204752013894,0.33070083660268373,0.08020885802623783
1,0,0,freshness_backoff,50,44,0.6337619328947518,,0.24852509196835385,0.31915928262360177,0.07931909006658447
1,0,0,freshness_backoff,50,45,0.5987777864565255,,0.22932778464308626,0.3232197951085048,0.07412327956502565
1,0,0,freshness_backoff,50,46,0.5927777864565255,,0.2260282141454875,0.3306457481148713,0.07473526796120304
1,0,0,freshness_backoff,50,47,0.5255737064824407,,0.18953147714933472,0.3433870903858469,0.06508266247484168
1,0,0,freshness_backoff,50,48,0.619898019286257,,0.24093489237685814,0.3433978382970939,0.08273652121255606
1,0,0,freshness_backoff,50,49,0.5285737064824407,,0.1911278188173892,0.33649101362512485,0.0643127934858225
1,0,0,freshness_backoff,50,50,0.5897777864565255,,0.22437900616065146,0.3104368714619177,0.069655516694247
1,0,0,freshness_backoff,50,51,0.5927777864565255,,0.2260282141454875,0.3314516596418779,0.07491742670441161
1,0,0,freshness_backoff,50,52,0.6587777864565254,,0.26209709370932255,0.3455475363519802,0.09056700501627049
1,0,0,freshness_backoff,50,53,0.616898019286257,,0.23928838577711023,0.3043142645523027,0.07281886913366899
1,0,0,freshness_backoff,50,54,0.5988284755479183,,0.22935566339371313,0.3376686336176512,0.07744621347062505
1,0,0,freshness_backoff,50,55,0.5778284755479183,,0.2178181346607193,0.3162801921179267,0.06889156147726073
1,0,0,freshness_backoff,50,56,0.5748284755479183,,0.21617390733983033,0.2930180077508714,0.06334284765643855
1,0,0,freshness_backoff,50,57,0.7248284755479183,,0.2965104354167716,0.3402527646463705,0.10088849539705562
1,0,0,freshness_backoff,50,58,0.5744272503221113,,0.21595411896888828,0.34026052166228615,0.07348066117547333
1,0,0,freshness_backoff,50,59,0.6917777864565254,,0.27961024944488916,0.32300769075483615,0.09031626098457736
1,0,0,freshness_backoff,50,60,0.6047777864565255,,0.23262765758940376,0.32577371858556,0.07578397705874843
1,0,0,freshness_backoff,50,61,0.6097619328947518,,0.23536799741545664,0.34394604281244684,0.08095389131573652
1,0,0,freshness_backoff,50,62,0.6937619328947517,,0.2806448717582514,0.3287679984462687,0.09226705276217008
1,0,0,freshness_backoff,50,63,0.5435737064824407,,0.1991697702543229,0.3394429016875546,0.06760676474357095
1,0,0,freshness_backoff,50,64,0.5748284755479183,,0.21617390733983033,0.2883825617358801,0.062340785179115045
1,0,0,freshness_backoff,50,65,0.5109219858054781,,0.1818012451553554,0.3401550809974055,0.061840617271249086
1,0,0,freshness_backoff,50,66,0.6067619328947518,,0.23371870886289525,0.33127394673849275,0.07742491911163606
1,0,0,freshness_backoff,50,67,0.5285737064824407,,0.1911278188173892,0.3565694893423321,0.06815034875483024
1,0,0,freshness_backoff,50,68,0.6288284755479183,,0.2458282656806333,0.3348943023424409,0.08232648553116789
1,0,0,freshness_backoff,50,69,0.6077777864565255,,0.23427724350757817,0.3413072623335795,0.07996052460862886
1,0,0,freshness_backoff,50,70,0.5319219858054781,,0.19291448000079212,0.34779520574977535,0.06709473126398642
1,0,0,freshness_backoff,50,71,0.5987777864565255,,0.22932778464308626,0.33401824328125035,0.07659966376206458
1,0,0,freshness_backoff,50,72,0.5714272503221113,,0.21431166191928305,0.3458809420966622,0.07412631952694299
1,0,0,freshness_backoff,50,73,0.6587777864565254,,0.26209709370932255,0.3395142341023349,0.08898569403116854
1,0,0,freshness_backoff,50,74,0.6247619328947518,,0.2436016926897617,0.32678778915002143,0.07960605858729017
1,0,0,freshness_backoff,50,75,0.5927777864565255,,0.2260282141454875,0.3418811630219237,0.07727478872782768
1,0,0,freshness_backoff,50,76,0.6258284755479183,,0.24418595121271158,0.318325168095891,0.07773053396644146
1,0,0,freshness_backoff,50,77,0.6317777864565255,,0.2474411052486028,0.327581564217019,0.08105714430892534
1,0,0,freshness_backoff,50,78,0.6377777864565255,,0.2507162245828846,0.32889838267399724,0.08246016077544142
1,0,0,freshness_backoff,50,79,0.6618284755479182,,0.26373740104910653,0.3226846978801737,0.08510402357723314
1,0,0,freshness_backoff,50,80,0.5917708294077383,,0.22547459460843555,0.3394262390219886,0.07653199364294883
1,0,0,freshness_backoff,50,81,0.6607619328947518,,0.26316436454644326,0.32925427203056656,0.08664799127312582
1,0,0,freshness_backoff,50,82,0.5409219858054781,,0.19774131355179206,0.34072164582476333,0.06737474580091717
1,0,0,freshness_backoff,50,83,0.6847619328947517,,0.2759335838541315,0.3210168704177118,0.08857933553199655
1,0,0,freshness_backoff,50,84,0.5647708294077383,,0.21067390017662638,0.34027835063140716,0.07168776727318814
1,0,0,freshness_backoff,50,85,0.6197777864565255,,0.24086892670586968,0.3283253902352816,0.07908338435625811
1,0,0,freshness_backoff,50,86,0.6077777864565255,,0.23427724350757817,0.31798605636413496,0.07449689675883492
1,0,0,freshness_backoff,50,87,0.6047777864565255,,0.23262765758940376,0.3267206450894475,0.0760042583532571
1,0,0,freshness_backoff,50,88,0.5887708294077383,,0.22382557808745476,0.33686649139767044,0.0753993371753762
1,0,0,freshness_backoff,50,89,0.5927777864565255,,0.2260282141454875,0.33729443577999685,0.0762380589605625
1,0,0,freshness_backoff,50,90,0.6407777864565255,,0.2523504093023101,0.334184631010931,0.08433162841814991
1,0,0,freshness_backoff,50,91,0.6337619328947518,,0.24852509196835385,0.339930815637828,0.08448133721926875
1,0,0,freshness_backoff,50,92,0.5957777864565255,,0.22767786879385576,0.33230969302972874,0.07565956268854906
1,0,0,freshness_backoff,50,93,0.5677708294077383,,0.2123122159624127,0.3348155283892422,0.07108542677094612
1,0,0,freshness_backoff,50,94,0.6287777864565255,,0.24580053073833652,0.34538425471704065,0.0848956331181134
1,0,0,freshness_backoff,50,95,0.5838284755479183,,0.2211105042839914,0.33201256156714715,0.07341146491673164
1,0,0,freshness_backoff,50,96,0.7397777864565255,,0.30389421077991835,0.3345236045198006,0.10165978678279834
1,0,0,freshness_backoff,50,97,0.5504272503221113,,0.20287372416131674,0.3366725711594284,0.06830201833407916
1,0,0,freshness_backoff,50,98,0.5868284755479183,,0.22275827877754745,0.3183448402164099,0.07091394866432084
1,0,0,freshness_backoff,50,99,0.6647777864565254,,0.26531955735937834,0.3291690800610829,0.0873349946182003
1,0,0,freshness_backoff,150,0,0.7574630051635802,,0.3123919905648635,0.32952221169580603,0.10294009964698919
1,0,0,freshness_backoff,150,1,0.6787641897061287,,0.27276895721210914,0.34918809516134586,0.09524767258804305
1,0,0,freshness_backoff,150,2,0.6367619328947518,,0.25016232800958843,0.3327476123814532,0.08324091735297648
1,0,0,freshness_backoff,150,3,0.691112469029166,,0.27926280240544765,0.3352672340818805,0.09362766734442916
1,0,0,freshness_backoff,150,4,0.8064103183150796,,0.33441791636422885,0.32532992753743156,0.10879615649799342
1,0,0,freshness_backoff,150,5,0.7089613126314263,,0.2884891281570284,0.31343742712518013,0.09042329008312533
1,0,0,freshness_backoff,150,6,0.670112469029166,,0.26817173338207656,0.33610229510674644,0.09013313507247042
1,0,0,freshness_backoff,150,7,0.726138851624206,,0.29716462123519255,0.3528732829642027,0.10486145547607621
1,0,0,freshness_backoff,150,8,0.6247619328947518,,0.2436016926897617,0.3536418973741659,0.08614776480636581
1,0,0,freshness_backoff,150,9,0.7590731378420168,,0.31315220555786877,0.3288331656868372,0.10297483109540916
1,0,0,freshness_backoff,150,10,0.5405737064824407,,0.19755390239185472,0.3377252482073439,0.06671894071961852
1,0,0,freshness_backoff,150,11,0.6307619328947518,,0.24688578670811195,0.35170401490072345,0.08683072240716663
1,0,0,freshness_backoff,150,12,0.5735737064824408,,0.21548664780883126,0.3394651811200942,0.07315021392738685
1,0,0,freshness_backoff,150,13,0.7539524161184398,,0.3107265468871654,0.30415686702530537,0.09450961300279187
1,0,0,freshness_backoff,150,14,0.729138851624206,,0.2986573882183705,0.34801993971064066,0.10393872624189471
1,0,0,freshness_backoff,150,15,0.6787641897061287,,0.27276895721210914,0.3501628798684727,0.09551356359611235
1,0,0,freshness_backoff,150,16,0.7064630051635803,,0.28721007289419387,0.33944552234162834,0.09749217321534678
1,0,0,freshness_backoff,150,17,0.6367619328947518,,0.25016232800958843,0.3566372097513681,0.08921719464624614
1,0,0,freshness_backoff,150,18,0.750138851624206,,0.3089051805179083,0.33512279630167374,0.10352116788723473
