actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,candidate_id,dynamic_repeat_index,evaluated_on_full,evaluation_phase,mean_VAoI,mean_tail_VAoI,n_nodes,phase,phase_slots,search_probability_mean,topology_index
0.11196,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,11.78140020202021,30.075159595959565,100,coarse,500,0.11178971432843625,0
0.11172,0.5,0.11249999999999999,-2.268280029296875,1,1,True,full,12.323058383838383,31.48184242424241,100,coarse,500,0.11178971432843625,0
0.11263999999999999,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,11.23191131313131,27.63197979797981,100,coarse,500,0.11498477498115711,1
0.11732,0.5,0.11249999999999999,-2.268280029296875,1,1,True,full,11.310927878787881,29.698925252525267,100,coarse,500,0.11498477498115711,1
0.11182,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,9.882309292929289,24.465050505050513,100,coarse,500,0.11136435033700044,2
0.11054,0.5,0.11249999999999999,-2.268280029296875,1,1,True,full,10.123988080808072,26.021830303030278,100,coarse,500,0.11136435033700044,2
0.11392,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,10.038536363636371,25.88734545454545,100,coarse,500,0.11285812266034854,3
0.11196,0.5,0.11249999999999999,-2.268280029296875,1,1,True,full,9.990491717171707,25.780933333333333,100,coarse,500,0.11285812266034854,3
0.11384,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,10.335063030303036,25.33595555555556,100,coarse,500,0.11279445029832694,4
0.11244,0.5,0.11249999999999999,-2.268280029296875,1,1,True,full,9.90777515151515,23.864949494949474,100,coarse,500,0.11279445029832694,4
0.11134000000000001,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,10.655576363636369,26.619135353535334,100,coarse,500,0.10987937334611834,5
0.11068,0.5,0.11249999999999999,-2.268280029296875,1,1,True,full,10.522061818181829,25.52546262626264,100,coarse,500,0.10987937334611834,5
0.11396,0.5,0.11249999999999999,-2.268280029296875,1,0,True,full,9.795679797979803,23.666674747474747,100,coarse,500,0.11450320744870152,6
