topology_seed,channel_seed,update_seed,failure_node,scenario,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness,configured_broadcast_probability,mean_policy_probability,average_broadcast_probability,actual_tx_ratio,active_node_actual_tx_ratio,failure_node_activity_ratio,baseline_mean_aoi,failure_mean_aoi,delta_mean_aoi,relative_delta_mean_aoi,baseline_mean_max_aoi,failure_mean_max_aoi,delta_mean_max_aoi,relative_delta_mean_max_aoi,baseline_mean_min_aoi,failure_mean_min_aoi,delta_mean_min_aoi,relative_delta_mean_min_aoi,baseline_max_aoi,failure_max_aoi,delta_max_aoi,relative_delta_max_aoi,baseline_min_aoi,failure_min_aoi,delta_min_aoi,relative_delta_min_aoi
1,0,0,-1,baseline,,,,,,,0.1,0.1,0.1,0.09988367346938774,0.09988367346938774,,11.230614409400124,11.230614409400124,0.0,0.0,38.486326530612246,38.486326530612246,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,single_node_silence,0.39122526778776784,0.39122526778776784,1,1,8,0.00490620490620491,0.1,0.1,0.1,0.09892040816326532,0.0999196042053185,0.0,11.230614409400124,16.379029499072356,5.148415089672232,0.45842684131003225,38.486326530612246,537.0448979591837,498.55857142857144,12.95417402416973,0.0,0.0,0.0,,56.0,1027.0,971.0,17.339285714285715,0.0,0.0,0.0,
1,0,0,1,single_node_silence,0.31480130980130977,0.31480130980130977,9,9,10,0.03285514160667256,0.1,0.1,0.1,0.09886938775510204,0.09986806843949701,0.0,11.230614409400124,16.228373407544836,4.997758998144713,0.44501207288904376,38.486326530612246,511.57673469387754,473.0904081632653,12.292428267659332,0.0,0.0,0.0,,56.0,1024.0,968.0,17.285714285714285,0.0,0.0,0.0,
1,0,0,2,single_node_silence,0.006369556369556433,0.006369556369556433,90,98,9,0.053236163382987395,0.1,0.1,0.1,0.09892857142857142,0.09992784992784992,0.0,11.230614409400124,16.323318058132344,5.09270364873222,0.4534661651698755,38.486326530612246,520.5026530612245,482.0163265306122,12.524352672298138,0.0,0.0,0.0,,56.0,997.0,941.0,16.803571428571427,0.0,0.0,0.0,
1,0,0,3,single_node_silence,0.28562152133580715,0.28562152133580715,12,12,7,0.00015234408658444939,0.1,0.1,0.1,0.09891428571428572,0.09991341991341991,0.0,11.230614409400124,16.436186147186145,5.205571737786022,0.4635162020547079,38.486326530612246,535.3473469387756,496.8610204081633,12.910066124730227,0.0,0.0,0.0,,56.0,1050.0,994.0,17.75,0.0,0.0,0.0,
1,0,0,4,single_node_silence,-0.01005596967135424,0.01005596967135424,93,97,13,0.05163972197021062,0.1,0.1,0.1,0.0988795918367347,0.09987837559266131,0.0,11.230614409400124,16.28667664399093,5.056062234590806,0.45020352852278833,38.486326530612246,515.0214285714286,476.53510204081635,12.381932623831418,0.0,0.0,0.0,,56.0,996.0,940.0,16.785714285714285,0.0,0.0,0.0,
1,0,0,5,single_node_silence,0.17611607142857144,0.17611607142857144,56,57,8,0.002734044643225791,0.1,0.1,0.1,0.09883061224489795,0.09982890125747268,0.0,11.230614409400124,16.122395299938155,4.891780890538032,0.4355755359603093,38.486326530612246,502.80448979591836,464.3181632653061,12.064496799817586,0.0,0.0,0.0,,56.0,971.0,915.0,16.339285714285715,0.0,0.0,0.0,
1,0,0,6,single_node_silence,0.10945073445073461,0.10945073445073461,73,75,12,0.050875541832627914,0.1,0.1,0.1,0.09892857142857142,0.09992784992784992,0.0,11.230614409400124,16.155764254792825,4.925149845392701,0.43854678522933765,38.486326530612246,508.82551020408164,470.3391836734694,12.220942502770663,0.0,0.0,0.0,,56.0,1001.0,945.0,16.875,0.0,0.0,0.0,
1,0,0,7,single_node_silence,0.22777777777777775,0.22777777777777775,38,38,3,0.0,0.1,0.1,0.1,0.09881224489795919,0.09981034838177696,0.0,11.230614409400124,15.91047202638631,4.679857616986187,0.416705395304918,38.486326530612246,485.3957142857143,446.90938775510205,11.612160162899094,0.0,0.0,0.0,,56.0,944.0,888.0,15.857142857142858,0.0,0.0,0.0,
1,0,0,8,single_node_silence,0.23444762308398673,0.23444762308398673,29,29,11,0.0077132552286399555,0.1,0.1,0.1,0.09888367346938776,0.09988249845392702,0.0,11.230614409400124,16.16749470212327,4.936880292723147,0.43959129151392956,38.486326530612246,502.93285714285713,464.4465306122449,12.067832201205835,0.0,0.0,0.0,,56.0,966.0,910.0,16.25,0.0,0.0,0.0,
1,0,0,9,single_node_silence,0.16450771450771454,0.16450771450771454,61,62,10,0.01060157314558311,0.1,0.1,0.1,0.09892448979591836,0.09992372706658421,0.0,11.230614409400124,16.39636474953618,5.165750340136055,0.4599704122877086,38.486326530612246,528.425918367347,489.93959183673473,12.730224887715224,0.0,0.0,0.0,,56.0,1047.0,991.0,17.696428571428573,0.0,0.0,0.0,
1,0,0,10,single_node_silence,0.0825736763236764,0.0825736763236764,82,86,4,0.0007168876140873787,0.1,0.1,0.1,0.09887142857142857,0.09987012987012987,0.0,11.230614409400124,16.179975716347144,4.94936130694702,0.44070263001856436,38.486326530612246,510.39775510204083,471.9114285714286,12.261794541395567,0.0,0.0,0.0,,56.0,1016.0,960.0,17.142857142857142,0.0,0.0,0.0,
1,0,0,11,single_node_silence,0.2659887334887336,0.2659887334887336,19,19,10,0.006348325827957988,0.1,0.1,0.1,0.09881836734693877,0.09981653267367553,0.0,11.230614409400124,16.108112327355183,4.8774979179550595,0.43430374689674595,38.486326530612246,501.61632653061224,463.13,12.03362445183288,0.0,0.0,0.0,,56.0,1004.0,948.0,16.928571428571427,0.0,0.0,0.0,
1,0,0,12,single_node_silence,0.05992874646720804,0.05992874646720804,83,87,13,0.04731605774596031,0.1,0.1,0.1,0.09886122448979591,0.09985982271696557,0.0,11.230614409400124,16.275349309420736,5.044734900020613,0.44919491633495356,38.486326530612246,514.4889795918367,476.00265306122446,12.368097866721813,0.0,0.0,0.0,,56.0,1024.0,968.0,17.285714285714285,0.0,0.0,0.0,
1,0,0,13,single_node_silence,0.05657437800294946,0.05657437800294946,84,88,14,0.037503347948380394,0.1,0.1,0.1,0.09892040816326532,0.0999196042053185,0.0,11.230614409400124,16.276326674912386,5.045712265512263,0.44928194322912174,38.486326530612246,514.0930612244898,475.60673469387757,12.357810619196853,0.0,0.0,0.0,,56.0,979.0,923.0,16.482142857142858,0.0,0.0,0.0,
1,0,0,14,single_node_silence,0.10589133089133083,0.10589133089133083,75,77,7,0.21821612125545214,0.1,0.1,0.1,0.09889795918367346,0.09989692846835703,0.0,11.230614409400124,17.526022098536384,6.29540768913626,0.5605577272661901,38.486326530612246,511.97183673469385,473.4855102040816,12.302694304364655,0.0,0.0,0.0,,56.0,1009.0,953.0,17.017857142857142,0.0,0.0,0.0,
1,0,0,15,single_node_silence,0.3388888888888889,0.3388888888888889,7,7,4,0.0,0.1,0.1,0.1,0.09892244897959185,0.09992166563595135,0.0,11.230614409400124,16.1329648319934,4.902350422593278,0.43651667165154984,38.486326530612246,506.2348979591837,467.74857142857144,12.153629966645987,0.0,0.0,0.0,,56.0,973.0,917.0,16.375,0.0,0.0,0.0,
1,0,0,16,single_node_silence,0.20121527777777778,0.20121527777777778,49,49,8,0.0021034633064245614,0.1,0.1,0.1,0.09880612244897959,0.09980416408987837,0.0,11.230614409400124,16.468087693259122,5.237473283858998,0.46635678983646583,38.486326530612246,536.8916326530613,498.405306122449,12.95019169278249,0.0,0.0,0.0,,56.0,1043.0,987.0,17.625,0.0,0.0,0.0,
1,0,0,17,single_node_silence,0.231073471982563,0.231073471982563,33,33,11,0.01050660541705099,0.1,0.1,0.1,0.09891632653061225,0.09991548134405277,0.0,11.230614409400124,15.843888971346114,4.613274561945991,0.41077668538638806,38.486326530612246,477.21979591836737,438.7334693877551,11.39972319880371,0.0,0.0,0.0,,56.0,952.0,896.0,16.0,0.0,0.0,0.0,
1,0,0,18,single_node_silence,0.1718262797808253,0.1718262797808253,58,59,11,0.007768945461706822,0.1,0.1,0.1,0.09892857142857142,0.09992784992784992,0.0,11.230614409400124,16.13179534116677,4.901180931766648,0.43641253747117487,38.486326530612246,504.1038775510204,465.61755102040814,12.09825912197812,0.0,0.0,0.0,,56.0,1007.0,951.0,16.982142857142858,0.0,0.0,0.0,
1,0,0,19,single_node_silence,0.21111111111111117,0.21111111111111117,42,42,5,0.0007001710907579472,0.1,0.1,0.1,0.09888979591836736,0.0998886827458256,0.0,11.230614409400124,15.89687192331478,4.6662575139146565,0.4154944105292189,38.486326530612246,484.37142857142857,445.8851020408163,11.585545886956936,0.0,0.0,0.0,,56.0,973.0,917.0,16.375,0.0,0.0,0.0,
