model,model_label,topology,node_count,n_scenarios,mean_VAoI,std_VAoI,ci95_VAoI,mean_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,ci95_action_probability,relative_VAoI_reduction_vs_no_curvature
curvature,Community-trained curvature MPNN,random_geometric,100,5,4.570815050505051,0.06630980184122467,0.05812310400067548,0.12912,0.0038962364712630047,0.12958455532789231,0.0029827679247076255,0.03146779888438434
no_curvature,Community-trained no-curvature MPNN,random_geometric,100,5,4.719321717171718,0.18851310077649952,0.16523901833032434,0.13047999999999998,0.0019873955419090553,0.1311218559741974,0.0016409177662526293,0.0
random_curvature,Random-trained curvature MPNN,random_geometric,100,5,4.5257384848484845,0.0567326928619515,0.04972839785208873,0.13057,0.00444952377676533,0.13089748620986938,0.003012688167461425,0.04101929131444083
