topology,topology_label,node_count,n_scenarios,fixed_training_center,test_n150_center,original_fixed_mean_VAoI,original_fixed_std_VAoI,original_fixed_ci95_VAoI,recentered_mean_VAoI,recentered_std_VAoI,recentered_ci95_VAoI,delta_recentered_minus_fixed_mean_VAoI,delta_recentered_minus_fixed_std_VAoI,delta_recentered_minus_fixed_ci95_VAoI,recentered_mean_actual_tx_ratio,recentered_ci95_actual_tx_ratio,recentered_mean_action_probability,recentered_ci95_action_probability,no_curvature_mean_VAoI
community,Community topology,150,5,0.4012991820118967,0.42152333011229104,6.490726756152125,0.6184483713158183,0.5420938987437908,6.453947964205815,0.4222410551558319,0.3701106032701138,-0.03677879194631082,0.21433435923357674,0.18787234928677382,0.12486,0.00205300579205764,0.12598576843738557,0.001896737869264049,6.92369995525727
random,Random-geometric topology,150,5,0.42143491589124205,0.4409601729880356,5.953485548098431,0.12919071178591332,0.11324065173703508,5.883525055928412,0.15143871231698647,0.13274188402500003,-0.06996049217001943,0.12036077500445125,0.10550087089592812,0.12789333333333333,0.002267678495730822,0.12851664125919343,0.002615299168246144,5.880644876957494
