topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio
community,Community topology,50,curvature,matched_random,5,5.157592244897959,0.6230216833285506,0.5461025834685627,0.12174,0.005146649395480525,0.004511237098623839
community,Community topology,50,curvature,nn,5,3.832284897959183,0.3163877722534271,0.2773261098752869,0.12302000000000002,0.005397869950267423,0.004731441623860536
community,Community topology,50,no_curvature,nn,5,4.033747755102041,0.3165491432015581,0.2774675577478557,0.13194,0.0026949953617770995,0.0023622675885682514
community,Community topology,60,curvature,matched_random,5,6.047544350282486,0.8314561903217991,0.7288034842540377,0.12344999999999999,0.00859861099894111,0.0075370148526381995
community,Community topology,60,curvature,nn,5,4.160186158192091,0.26217725628576555,0.22980849754606744,0.12491666666666668,0.005249669301753949,0.004601538027901348
community,Community topology,60,no_curvature,nn,5,4.520134463276835,0.42193661388871945,0.3698437487336933,0.13023333333333334,0.0018887459096212787,0.0016555587844860383
community,Community topology,70,curvature,matched_random,5,5.986612422360247,0.5922062345174289,0.5190916516554201,0.1261857142857143,0.0057597743011336905,0.00504866477397738
community,Community topology,70,curvature,nn,5,4.5594983436853,0.255961081248106,0.22435977988792377,0.12392857142857143,0.003187587533812094,0.0027940436646552223
community,Community topology,70,no_curvature,nn,5,4.862744927536232,0.44144744741708847,0.38694574836000245,0.12965714285714286,0.0022260058492322883,0.0019511801557006536
community,Community topology,80,curvature,matched_random,5,6.185263607594937,0.6207011748513505,0.5440685681071882,0.1272125,0.001349623790172654,0.001182997411239771
community,Community topology,80,curvature,nn,5,4.533277215189875,0.2543487101088211,0.22294647427074304,0.127675,0.003785612153271906,0.0033182353555768107
community,Community topology,80,no_curvature,nn,5,4.862078797468355,0.5088257232593002,0.4460054111160501,0.13105,0.0018642399590717978,0.0016340783717435385
community,Community topology,90,curvature,matched_random,5,6.755033707865168,0.5353693518319224,0.46927192739634255,0.1221888888888889,0.0024064599275109605,0.0021093551293531396
community,Community topology,90,curvature,nn,5,5.233369662921348,0.17280945807837617,0.1514741686039145,0.1237,0.004885510196135435,0.004282338498104248
community,Community topology,90,no_curvature,nn,5,5.632781273408239,0.46284616229110004,0.4057025489470574,0.12904444444444443,0.002396435109609249,0.0021005679890313484
community,Community topology,100,curvature,matched_random,5,7.215682828282828,0.2817753983900448,0.2469870265133922,0.12527,0.006318781528111248,0.005538656212476085
community,Community topology,100,curvature,nn,5,5.576231212121212,0.3772615707713798,0.33068434687691595,0.12521,0.004352212081229495,0.0038148820899209946
community,Community topology,100,no_curvature,nn,5,5.869751616161614,0.3915547838128295,0.3432129005001226,0.12886000000000003,0.0015958540033474244,0.0013988277091908068
community,Community topology,110,curvature,matched_random,5,7.445424937447873,0.6623784772893139,0.5806003344042688,0.1278363636363636,0.0045654786212753614,0.00400181845442154
community,Community topology,110,curvature,nn,5,5.707843953294412,0.4150255307550558,0.3637859172731639,0.12643636363636362,0.005403224473473578,0.004736135070387952
community,Community topology,110,no_curvature,nn,5,6.2439322768974135,0.5276978850504946,0.4625475902818642,0.12775454545454545,0.00176589592834687,0.00154787602809369
community,Community topology,120,curvature,matched_random,5,7.76289586834734,0.24454537457595954,0.21435347180491776,0.1278416666666667,0.003731830984918806,0.003271094083024829
community,Community topology,120,curvature,nn,5,5.864061064425771,0.2842186621770697,0.24912864164797469,0.12780833333333333,0.002874486669148269,0.0025195986563119306
community,Community topology,120,no_curvature,nn,5,6.235223319327731,0.3686215279531917,0.3231110154334848,0.12883333333333333,0.0008436856971381912,0.0007395231196145556
community,Community topology,130,curvature,matched_random,5,7.605891949910555,0.32503419649970583,0.2849050348870636,0.1291,0.003785932384983739,0.003318516051048285
community,Community topology,130,curvature,nn,5,5.977900894454384,0.3482764426542629,0.3052777618888017,0.12958461538461535,0.002786856301881614,0.002442787252736138
community,Community topology,130,no_curvature,nn,5,6.022062552176506,0.44485896890300364,0.38993607878809183,0.12855384615384616,0.001315193418403025,0.0011528178597469188
community,Community topology,140,curvature,matched_random,5,7.91046058581706,0.4966198385104857,0.4353064814106902,0.12874285714285713,0.004907070076399342,0.004301236566384134
community,Community topology,140,curvature,nn,5,6.26443170606372,0.6705636025903489,0.5877749130626362,0.1283857142857143,0.0027078636432073325,0.0023735471345646382
community,Community topology,140,no_curvature,nn,5,6.7154094552929084,0.7439285448065605,0.6520821202632672,0.1277285714285714,0.001272902436263247,0.0011157481794742076
community,Community topology,150,curvature,matched_random,5,8.63519212527964,0.547203519467346,0.4796450326859971,0.12890666666666667,0.0021342966575015393,0.0018707935048470187
community,Community topology,150,curvature,nn,5,6.490726756152125,0.6184483713158183,0.5420938987437908,0.12682000000000002,0.0025796855966915364,0.0022611941230735177
community,Community topology,150,no_curvature,nn,5,6.92369995525727,0.3206401674415925,0.2810534986007957,0.1272066666666667,0.001392918598562822,0.0012209469840160027
