phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,rank,selected
coarse,0.1,1.5,-2.245574951171875,0.09999905134218244,0.10030889880108769,0.10018349999999998,7.564018212121212,19.972195454545453,True,1,False
coarse,0.1,1.2,-2.228179931640625,0.10000085721176173,0.1001969172799763,0.100011,7.581847999999999,19.87078676767677,True,2,False
coarse,0.1,1.8,-2.266693115234375,0.10000043270533013,0.10044977421911665,0.1002345,7.587266065656566,20.22239232323232,True,3,False
refine,0.09687500000000002,1.5,-2.28118896484375,0.0968750853672248,0.09717986248631397,0.0969975,7.62646634848485,20.16603272727273,True,4,True
coarse,0.1,1.0,-2.218719482421875,0.10000078903671977,0.10013556349019179,0.0999805,7.629756843434343,19.85246484848485,True,5,False
refine,0.09687500000000002,1.8,-2.302520751953125,0.09687466233770692,0.09731705566664982,0.097077,7.652266191919193,20.424683535353537,True,6,False
refine,0.09687500000000002,1.2,-2.263671875,0.09687414879526841,0.09706682846657919,0.09684949999999999,7.665071808080808,20.10162676767677,True,7,False
refine,0.09375000000000001,1.5,-2.317840576171875,0.09375040120533729,0.09404985142222326,0.09386900000000001,7.675639696969698,20.276825555555554,True,8,False
refine,0.09375000000000001,1.8,-2.33935546875,0.09375087748515763,0.09418594185724649,0.0940085,7.719529797979797,20.61565787878788,True,9,False
refine,0.09687500000000002,1.0,-2.254119873046875,0.0968749952133206,0.09700737303217437,0.09680649999999999,7.720182358585859,20.09639101010101,True,10,False
refine,0.09375000000000001,1.2,-2.3001708984375,0.09374942043106828,0.09393856670431608,0.09377150000000001,7.735346141414141,20.25481222222222,True,11,False
refine,0.09062500000000001,1.5,-2.3555908203125,0.090625844262679,0.09091970849197317,0.09073500000000001,7.7822150606060605,20.53663474747475,True,12,False
refine,0.09062500000000001,1.8,-2.3773193359375,0.09062473951942655,0.09105207732025708,0.09095800000000001,7.791832388888889,20.82530696969697,True,13,False
refine,0.09375000000000001,1.0,-2.2905426025390625,0.09374983268709869,0.09387971067468157,0.093659,7.801021444444444,20.32099757575758,True,14,False
coarse,0.1,0.5,-2.2025909423828125,0.09999992860427252,0.10003238376932502,0.0997815,7.835575803030304,20.26183404040404,True,15,False
refine,0.09062500000000001,1.2,-2.3377685546875,0.09062479706361984,0.09081025287972913,0.090629,7.838266626262626,20.49421909090909,True,16,False
refine,0.09062500000000001,1.0,-2.32806396484375,0.09062478950328216,0.09075206280523204,0.090547,7.867651904040403,20.442623636363628,True,17,False
