method_a,method_b,scenario_count,spearman_rho_mean,spearman_rho_std,kendall_tau_mean,kendall_tau_std,top10_overlap_count_mean,top10_overlap_count_std,top10_overlap_fraction_mean
af3_min,af3_normalized,20,0.8470521221061885,0.05949745904663504,0.7149526963472447,0.07064425152696395,3.7,1.8945906376340316,0.37
af3_min,orc_min,20,0.7894160888232069,0.10454834567793894,0.6305032344113164,0.10501206372125538,3.65,1.9808291724745768,0.365
af3_normalized,orc_min,20,0.8680407973677818,0.054583813864662246,0.7109775079883215,0.06387872000831872,6.6,1.5694450913417908,0.6599999999999999
