node,af3_min_edge,af3_min_curvature,af3_min_normalized_score,orc_min_edge,orc_min_curvature,rank_score_af3_min,rank_score_af3_normalized,rank_score_orc_min,scenario_id,topology_seed
20,12-20,-3.0,0.16666666666666666,20-41,0.11616161616161647,3.0,0.16666666666666666,-0.11616161616161647,auto_000,3254350845
21,16-21,-3.0,0.2,16-21,0.0064102564102566095,3.0,0.2,-0.0064102564102566095,auto_000,3254350845
22,22-40,-2.0,0.4,22-40,-0.08333333333333326,2.0,0.4,0.08333333333333326,auto_000,3254350845
23,3-23,-12.0,0.5714285714285714,23-47,-0.2384615384615385,12.0,0.5714285714285714,0.2384615384615385,auto_000,3254350845
24,2-24,1.0,0.0,24-39,0.14903846153846145,-1.0,0.0,-0.14903846153846145,auto_000,3254350845
25,16-25,-2.0,0.11764705882352941,16-25,0.03846153846153866,2.0,0.11764705882352941,-0.03846153846153866,auto_000,3254350845
26,20-26,0.0,-0.0,20-26,0.23333333333333306,-0.0,-0.0,-0.23333333333333306,auto_000,3254350845
27,27-28,-11.0,0.55,14-27,-0.1625000000000001,11.0,0.55,0.1625000000000001,auto_000,3254350845
28,27-28,-11.0,0.55,27-28,-0.15714285714285703,11.0,0.55,0.15714285714285703,auto_000,3254350845
29,29-34,-1.0,0.1,29-34,-0.02083333333333326,1.0,0.1,0.02083333333333326,auto_000,3254350845
30,16-30,-3.0,0.16666666666666666,16-30,0.02136752136752129,3.0,0.16666666666666666,-0.02136752136752129,auto_000,3254350845
31,31-36,-6.0,0.25,23-31,0.028846153846154077,6.0,0.25,-0.028846153846154077,auto_000,3254350845
32,32-40,-2.0,0.4,32-40,-0.08333333333333326,2.0,0.4,0.08333333333333326,auto_000,3254350845
33,8-33,-3.0,0.14285714285714285,8-33,0.10897435897435903,3.0,0.14285714285714285,-0.10897435897435903,auto_000,3254350845
34,3-34,-10.0,0.625,34-40,-0.25,10.0,0.625,0.25,auto_000,3254350845
35,14-35,-6.0,0.2857142857142857,15-35,-0.11111111111111116,6.0,0.2857142857142857,0.11111111111111116,auto_000,3254350845
36,3-36,-12.0,0.5,16-36,-0.14182692307692313,12.0,0.5,0.14182692307692313,auto_000,3254350845
37,37-81,-5.0,0.625,37-81,-0.41666666666666696,5.0,0.625,0.41666666666666696,auto_000,3254350845
38,14-38,-9.0,0.375,12-38,-0.03205128205128194,9.0,0.375,0.03205128205128194,auto_000,3254350845
39,39-40,-9.0,0.6,39-40,-0.22435897435897423,9.0,0.6,0.22435897435897423,auto_000,3254350845
40,39-40,-9.0,0.6,34-40,-0.25,9.0,0.6,0.25,auto_000,3254350845
41,19-41,-6.0,0.4,19-41,-0.14772727272727249,6.0,0.4,0.14772727272727249,auto_000,3254350845
42,16-42,-3.0,0.16666666666666666,16-42,0.021367521367521403,3.0,0.16666666666666666,-0.021367521367521403,auto_000,3254350845
43,15-43,-7.0,0.5384615384615384,15-43,-0.1875,7.0,0.5384615384615384,0.1875,auto_000,3254350845
44,14-44,-9.0,0.375,12-44,-0.03205128205128194,9.0,0.375,0.03205128205128194,auto_000,3254350845
45,27-45,-6.0,0.4,40-45,-0.19444444444444464,6.0,0.4,0.19444444444444464,auto_000,3254350845
46,14-46,-11.0,0.55,27-46,-0.125,11.0,0.55,0.125,auto_000,3254350845
47,23-47,-10.0,0.5263157894736842,23-47,-0.2384615384615385,10.0,0.5263157894736842,0.2384615384615385,auto_000,3254350845
48,13-48,-4.0,0.5714285714285714,13-48,-0.2142857142857142,4.0,0.5714285714285714,0.2142857142857142,auto_000,3254350845
49,6-49,-4.0,0.21052631578947367,6-49,0.07142857142857162,4.0,0.21052631578947367,-0.07142857142857162,auto_000,3254350845
50,50-53,-3.0,0.16666666666666666,50-59,0.11666666666666681,3.0,0.16666666666666666,-0.11666666666666681,auto_000,3254350845
51,51-87,-1.0,0.045454545454545456,51-87,0.15625,1.0,0.045454545454545456,-0.15625,auto_000,3254350845
52,52-56,-1.0,0.14285714285714285,52-56,0.14583333333333326,1.0,0.14285714285714285,-0.14583333333333326,auto_000,3254350845
53,53-82,-7.0,0.3181818181818182,53-82,-0.18452380952380998,7.0,0.3181818181818182,0.18452380952380998,auto_000,3254350845
54,54-71,-9.0,0.375,54-71,-0.17857142857142838,9.0,0.375,0.17857142857142838,auto_000,3254350845
55,55-71,-5.0,0.21739130434782608,55-71,-0.10439560439560447,5.0,0.21739130434782608,0.10439560439560447,auto_000,3254350845
56,56-78,-10.0,0.7692307692307693,56-78,-0.35416666666666696,10.0,0.7692307692307693,0.35416666666666696,auto_000,3254350845
57,57-78,1.0,0.0,57-78,0.2222222222222221,-1.0,0.0,-0.2222222222222221,auto_000,3254350845
58,58-87,-1.0,0.045454545454545456,58-87,0.1562500000000001,1.0,0.045454545454545456,-0.1562500000000001,auto_000,3254350845
59,59-82,-7.0,0.3181818181818182,59-82,-0.18452380952380976,7.0,0.3181818181818182,0.18452380952380976,auto_000,3254350845
60,56-60,-1.0,0.14285714285714285,56-60,0.14583333333333326,1.0,0.14285714285714285,-0.14583333333333326,auto_000,3254350845
61,61-71,-8.0,0.34782608695652173,61-71,-0.1483516483516487,8.0,0.34782608695652173,0.1483516483516487,auto_000,3254350845
62,62-96,-6.0,0.4,62-96,-0.05681818181818166,6.0,0.4,0.05681818181818166,auto_000,3254350845
63,63-84,-7.0,0.3684210526315789,63-84,-0.24230769230769234,7.0,0.3684210526315789,0.24230769230769234,auto_000,3254350845
64,64-89,-13.0,0.6842105263157895,64-89,-0.3412698412698414,13.0,0.6842105263157895,0.3412698412698414,auto_000,3254350845
65,54-65,-8.0,0.4,56-65,-0.18750000000000022,8.0,0.4,0.18750000000000022,auto_000,3254350845
66,66-98,-8.0,0.34782608695652173,66-98,-0.15384615384615397,8.0,0.34782608695652173,0.15384615384615397,auto_000,3254350845
67,67-91,0.0,-0.0,55-67,0.23931623931623924,-0.0,-0.0,-0.23931623931623924,auto_000,3254350845
68,68-82,-7.0,0.3181818181818182,68-82,-0.18452380952380976,7.0,0.3181818181818182,0.18452380952380976,auto_000,3254350845
69,69-95,-1.0,0.0625,69-98,0.11111111111111116,1.0,0.0625,-0.11111111111111116,auto_000,3254350845
70,70-82,-17.0,0.7391304347826086,70-82,-0.2994505494505493,17.0,0.7391304347826086,0.2994505494505493,auto_000,3254350845
71,54-71,-9.0,0.375,54-71,-0.17857142857142838,9.0,0.375,0.17857142857142838,auto_000,3254350845
72,72-95,-1.0,0.0625,72-98,0.11111111111111127,1.0,0.0625,-0.11111111111111127,auto_000,3254350845
73,55-73,-5.0,0.35714285714285715,55-73,-2.220446049250313e-16,5.0,0.35714285714285715,2.220446049250313e-16,auto_000,3254350845
74,63-74,-1.0,0.05263157894736842,63-74,0.10384615384615381,1.0,0.05263157894736842,-0.10384615384615381,auto_000,3254350845
75,75-87,-14.0,0.7,75-87,-0.375,14.0,0.7,0.375,auto_000,3254350845
76,76-77,-9.0,0.5,76-77,-0.13636363636363624,9.0,0.5,0.13636363636363624,auto_000,3254350845
77,76-77,-9.0,0.5,76-77,-0.13636363636363624,9.0,0.5,0.13636363636363624,auto_000,3254350845
78,56-78,-10.0,0.7692307692307693,56-78,-0.35416666666666696,10.0,0.7692307692307693,0.35416666666666696,auto_000,3254350845
79,79-84,-3.0,0.25,64-79,-0.02777777777777768,3.0,0.25,0.02777777777777768,auto_000,3254350845
80,53-80,1.0,0.0,53-80,0.1250000000000001,-1.0,0.0,-0.1250000000000001,auto_000,3254350845
