scenario_id,topology_seed,n_nodes,af3_normalized_mean,af3_normalized_std
auto_000,3254350845,100,0.3407254004117209,0.20618555709156594
auto_001,2351345122,100,0.3857414064406584,0.163363382988066
auto_002,1224012720,100,0.4144985941482577,0.23042743072174704
auto_003,1776065671,100,0.3873621437475792,0.2626371095777185
auto_004,2577944920,100,0.41447649310240164,0.24668121628055437
auto_005,4249973344,100,0.3751060059651391,0.1944485573421157
auto_006,2933112034,100,0.40044473314409373,0.289968464295399
auto_007,398766571,100,0.37420372529162405,0.20106809565814432
auto_008,2739845006,100,0.4273868687489933,0.24463871215055807
auto_009,1012198596,100,0.3548488667522185,0.2925070135648699
auto_010,1240190483,100,0.36648931689860814,0.21540678689208279
auto_011,4105262213,100,0.38718162125374056,0.20912210241394372
auto_012,3795418862,100,0.3819820158976843,0.2488426368770711
auto_013,4226987383,100,0.4127879021918092,0.2601199529026808
auto_014,2505829024,100,0.41893861968224266,0.23872556659932972
auto_015,4008871437,100,0.3723095458126922,0.2450571089878857
auto_016,2879328705,100,0.3700602934363164,0.21247727544078673
auto_017,1575498772,100,0.4687612323457491,0.21252284070043648
auto_018,2674088100,100,0.3357204972552463,0.18830015764258448
auto_019,1239116716,100,0.42352432964240405,0.2078800422466877
