metric,label,count,mean,variance_population,std_population,median,p05,p25,p75,p95,min,max
af3_min_curvature,AF3最小边原始曲率,2000,-6.228,17.017015999999998,4.125168602614928,-6.0,-13.0,-9.0,-3.0,0.0,-18.0,7.0
af3_min_normalized_score,AF3最小边对应归一化分数,2000,0.390627480608459,0.054271163225813185,0.2329617205160822,0.4,0.0,0.21052631578947367,0.5384615384615384,0.7700549450549443,0.0,1.0
orc_min_curvature,ORC最小边原始曲率,2000,-0.11583864384132375,0.03678979053446235,0.19180664882756893,-0.11577311577311566,-0.4375,-0.23809523809523792,0.019123228744939297,0.19047619047619058,-0.7261904761904765,0.4666666666666667
