scenario_id,node,method,rank,score
auto_000,0,af3_min,64.0,4.0
auto_000,1,af3_min,24.5,9.0
auto_000,2,af3_min,47.0,6.0
auto_000,3,af3_min,8.5,12.0
auto_000,4,af3_min,56.5,5.0
auto_000,5,af3_min,56.5,5.0
auto_000,6,af3_min,64.0,4.0
auto_000,7,af3_min,56.5,5.0
auto_000,8,af3_min,8.5,12.0
auto_000,9,af3_min,72.5,3.0
auto_000,10,af3_min,80.0,2.0
auto_000,11,af3_min,80.0,2.0
auto_000,12,af3_min,47.0,6.0
auto_000,13,af3_min,64.0,4.0
auto_000,14,af3_min,13.0,11.0
auto_000,15,af3_min,38.0,7.0
auto_000,16,af3_min,38.0,7.0
auto_000,17,af3_min,56.5,5.0
auto_000,18,af3_min,47.0,6.0
auto_000,19,af3_min,47.0,6.0
auto_000,20,af3_min,72.5,3.0
auto_000,21,af3_min,72.5,3.0
auto_000,22,af3_min,80.0,2.0
auto_000,23,af3_min,8.5,12.0
auto_000,24,af3_min,98.5,-1.0
auto_000,25,af3_min,80.0,2.0
auto_000,26,af3_min,94.5,-0.0
auto_000,27,af3_min,13.0,11.0
auto_000,28,af3_min,13.0,11.0
auto_000,29,af3_min,87.5,1.0
auto_000,30,af3_min,72.5,3.0
auto_000,31,af3_min,47.0,6.0
auto_000,32,af3_min,80.0,2.0
auto_000,33,af3_min,72.5,3.0
auto_000,34,af3_min,17.5,10.0
auto_000,35,af3_min,47.0,6.0
auto_000,36,af3_min,8.5,12.0
auto_000,37,af3_min,56.5,5.0
auto_000,38,af3_min,24.5,9.0
auto_000,39,af3_min,24.5,9.0
auto_000,40,af3_min,24.5,9.0
auto_000,41,af3_min,47.0,6.0
auto_000,42,af3_min,72.5,3.0
auto_000,43,af3_min,38.0,7.0
auto_000,44,af3_min,24.5,9.0
auto_000,45,af3_min,47.0,6.0
auto_000,46,af3_min,13.0,11.0
auto_000,47,af3_min,17.5,10.0
auto_000,48,af3_min,64.0,4.0
auto_000,49,af3_min,64.0,4.0
auto_000,50,af3_min,72.5,3.0
auto_000,51,af3_min,87.5,1.0
auto_000,52,af3_min,87.5,1.0
auto_000,53,af3_min,38.0,7.0
auto_000,54,af3_min,24.5,9.0
auto_000,55,af3_min,56.5,5.0
auto_000,56,af3_min,17.5,10.0
auto_000,57,af3_min,98.5,-1.0
auto_000,58,af3_min,87.5,1.0
auto_000,59,af3_min,38.0,7.0
auto_000,60,af3_min,87.5,1.0
auto_000,61,af3_min,32.0,8.0
auto_000,62,af3_min,47.0,6.0
