checkpoint_episode,checkpoint_label,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,grid_update_probability,grid_alpha,curvature_center
0,u=0.05_alpha=0.50,v00,nn,100,500,0.05,0.1,0.09998709708452225,0.09998709708452225,1.909240606060607,0.10210000000000001,0.09998709708452225,0.012080073356628418,0.08333492279052734,0.08714346885681203,0.09642429649829865,0.11781778931617737,0.13034924864768982,0.012080073356628418,0.012080073356628418,0.012079884298145771,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v00,fixed_random,100,500,0.05,0.1,0.09998709708452225,0.1,1.9855747474747454,0.09913999999999999,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v00,matched_random,100,500,0.05,0.1,0.09998709708452225,0.09998709708452225,1.8314036363636355,0.1014,0.09998711198568344,1.4901161193847656e-08,0.09998709708452225,0.09998709708452225,0.09998709708452225,0.09998709708452225,0.09998709708452225,0.0,1.4901161193847656e-08,0.0,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v01,nn,100,500,0.05,0.1,0.10178108513355255,0.10178108513355255,1.916711515151516,0.10102,0.10178108513355255,0.012503384612500668,0.08333492279052734,0.08723491430282593,0.09994151443243027,0.11867716908454895,0.13034924864768982,0.012503384612500668,0.012503384612500668,0.012503289617598057,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v01,fixed_random,100,500,0.05,0.1,0.10178108513355255,0.1,1.9976232323232332,0.10002000000000001,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v01,matched_random,100,500,0.05,0.1,0.10178108513355255,0.10178108513355255,1.9555137373737352,0.10188000000000001,0.10178111493587494,2.9802322387695312e-08,0.10178108513355255,0.10178108513355255,0.10178108513355255,0.10178108513355255,0.10178108513355255,0.0,2.9802322387695312e-08,0.0,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v02,nn,100,500,0.05,0.1,0.099965400993824,0.099965400993824,2.0452373737373732,0.10116,0.099965400993824,0.011884944513440132,0.08333492279052734,0.08333492279052734,0.09828028082847595,0.11565476655960083,0.13034924864768982,0.011884942650794983,0.011884944513440132,0.011884815990924835,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v02,fixed_random,100,500,0.05,0.1,0.099965400993824,0.1,2.022762828282829,0.10114000000000001,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v02,matched_random,100,500,0.05,0.1,0.099965400993824,0.099965400993824,2.174659595959596,0.09974,0.0999654084444046,7.450580596923828e-09,0.099965400993824,0.099965400993824,0.099965400993824,0.099965400993824,0.099965400993824,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v03,nn,100,500,0.05,0.1,0.10062337666749954,0.10062337666749954,2.151212727272726,0.1018,0.10062337666749954,0.010612620040774345,0.08333492279052734,0.08702018558979152,0.09994149208068848,0.11259132623672485,0.13034924864768982,0.010612620040774345,0.010612620040774345,0.010612448677420616,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v03,fixed_random,100,500,0.05,0.1,0.10062337666749954,0.1,2.3270292929292915,0.10071999999999999,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v03,matched_random,100,500,0.05,0.1,0.10062337666749954,0.10062337666749954,2.1716460606060624,0.10132,0.10062337666749954,0.0,0.10062337666749954,0.10062337666749954,0.10062337666749954,0.10062337666749954,0.10062337666749954,7.450580596923828e-09,0.0,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v04,nn,100,500,0.05,0.1,0.09848842024803162,0.09848842024803162,2.0843785858585853,0.09762,0.09848842024803162,0.011783864349126816,0.08333492279052734,0.08333492279052734,0.09698280692100525,0.11440609097480572,0.13034924864768982,0.01178386528044939,0.011783864349126816,0.011783584952354431,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v04,fixed_random,100,500,0.05,0.1,0.09848842024803162,0.1,2.1402773737373724,0.10012,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v04,matched_random,100,500,0.05,0.1,0.09848842024803162,0.09848842024803162,2.2106492929292916,0.09827999999999999,0.09848843514919281,1.4901161193847656e-08,0.09848842024803162,0.09848842024803162,0.09848842024803162,0.09848842024803162,0.09848842024803162,2.2351741790771484e-08,1.4901161193847656e-08,7.450580596923828e-09,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v05,nn,100,500,0.05,0.1,0.09975031018257141,0.09975031018257141,2.4255098989898984,0.09974,0.09975031018257141,0.013193201273679733,0.08333492279052734,0.08333492279052734,0.09807471930980682,0.11620830297469287,0.13034924864768982,0.013193203136324883,0.013193201273679733,0.013192958198487759,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v05,fixed_random,100,500,0.05,0.1,0.09975031018257141,0.1,2.667711717171715,0.09936,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v05,matched_random,100,500,0.05,0.1,0.09975031018257141,0.09975031018257141,2.3676149494949494,0.10264,0.09975029528141022,1.4901161193847656e-08,0.09975031018257141,0.09975031018257141,0.09975031018257141,0.09975031018257141,0.09975031018257141,0.0,1.4901161193847656e-08,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v06,nn,100,500,0.05,0.1,0.0998707190155983,0.0998707190155983,1.9975139393939385,0.09736,0.0998707190155983,0.012100908905267715,0.08333492279052734,0.08333492279052734,0.09853014349937439,0.11565476655960083,0.13034924864768982,0.01210090797394514,0.012100908905267715,0.012100712396204472,0.05,0.5,0.4012991820118967
0,u=0.05_alpha=0.50,v06,fixed_random,100,500,0.05,0.1,0.0998707190155983,0.1,1.9543389898989914,0.09853999999999999,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.5,0.4012991820118967
