case_id,topology_seed,curvature_weight,weighted_input_mean_abs_diff,weighted_input_max_abs_diff,weighted_input_pearson,weighted_input_spearman,weighted_input_cosine
test_vaoi_vs_transmissions_C01_q0p35_th0p5_cw0p5_cb0p04_ab0p9,0,0.5,0.04310870332159973,0.3023529411764705,0.7558612850176083,0.7336074965859404,0.7817437220083105
test_vaoi_vs_transmissions_C01_q0p35_th0p5_cw0p5_cb0p04_ab0p9,1,0.5,0.042951263040349894,0.34395604395604423,0.7067741756229304,0.7276959600840598,0.7375801327056619
test_vaoi_vs_transmissions_C01_q0p35_th0p5_cw0p5_cb0p04_ab0p9,2,0.5,0.04511392840108962,0.3181926537738384,0.6978202198171979,0.7033790628123021,0.7204396004199061
test_vaoi_vs_transmissions_C01_q0p35_th0p5_cw0p5_cb0p04_ab0p9,3,0.5,0.03876411244210746,0.30649947015188983,0.7773178616955649,0.7395211407405452,0.7962218862287448
test_vaoi_vs_transmissions_C01_q0p35_th0p5_cw0p5_cb0p04_ab0p9,4,0.5,0.05541079214443353,0.34375,0.5949125598904218,0.5766722680384588,0.6195897073419074
test_vaoi_vs_transmissions_C02_q0p4_th0p6_cw0p75_cb0p08_ab0p85,0,0.75,0.06466305498239959,0.4535294117647058,0.7558612850176007,0.7336074965859404,0.7817437220083108
test_vaoi_vs_transmissions_C02_q0p4_th0p6_cw0p75_cb0p08_ab0p85,1,0.75,0.06442689456052486,0.5159340659340663,0.7067741756229323,0.7276959600840598,0.7375801327056614
test_vaoi_vs_transmissions_C02_q0p4_th0p6_cw0p75_cb0p08_ab0p85,2,0.75,0.06767089260163438,0.47728898066075753,0.6978202198171948,0.7033790628123021,0.7204396004199063
test_vaoi_vs_transmissions_C02_q0p4_th0p6_cw0p75_cb0p08_ab0p85,3,0.75,0.058146168663161184,0.45974920522783475,0.7773178616955567,0.7395211407405452,0.796221886228744
test_vaoi_vs_transmissions_C02_q0p4_th0p6_cw0p75_cb0p08_ab0p85,4,0.75,0.0831161882166503,0.515625,0.5949125598904211,0.5766722680384588,0.6195897073419077
test_vaoi_vs_transmissions_C03_q0p4_th0p6_cw1_cb0p08_ab0p85,0,1.0,0.08621740664319946,0.604705882352941,0.7558612850176083,0.7336074965859404,0.7817437220083105
test_vaoi_vs_transmissions_C03_q0p4_th0p6_cw1_cb0p08_ab0p85,1,1.0,0.08590252608069979,0.6879120879120885,0.7067741756229304,0.7276959600840598,0.7375801327056619
test_vaoi_vs_transmissions_C03_q0p4_th0p6_cw1_cb0p08_ab0p85,2,1.0,0.09022785680217923,0.6363853075476767,0.6978202198171979,0.7033790628123021,0.7204396004199061
