slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,13.398686868686868,29.0,26.0,29.0,27.733333333333334,69.58111111111111,7,48,7,171,749,0.0,0.0,0.0,18.3824,29.0,19.3788,29.0,13.398686868686868,29.0,0.0
110,13.478282828282829,32.0,27.0,31.0,29.371717171717172,69.66282828282829,9,52,9,363,2339,0.0,0.0,0.0,17.1776,32.0,21.534,31.0,13.478282828282829,32.0,0.0
120,14.156262626262626,34.0,29.0,32.0,30.949494949494948,73.17676767676768,6,48,6,188,826,0.0,0.0,0.0,18.9984,34.0,22.876,32.0,14.156262626262626,34.0,0.0
130,14.765757575757576,35.0,31.0,34.0,32.70505050505051,75.3510101010101,13,49,12,74,323,0.0,0.0,0.0,19.2248,35.0,24.346,34.0,14.765757575757576,35.0,0.0
140,15.335959595959595,38.0,33.0,37.0,34.94141414141414,78.60515151515152,14,37,12,122,569,0.0,0.0,0.0,19.132,38.0,26.16,37.0,15.335959595959595,38.0,0.0
150,15.457676767676768,40.0,33.0,39.0,36.806060606060605,80.06939393939393,13,55,12,336,3074,0.0,0.0,0.0,18.616,40.0,27.256,39.0,15.457676767676768,40.0,0.0
160,16.09747474747475,44.0,34.0,41.0,38.69292929292929,84.01212121212122,7,35,7,233,1529,0.0,0.0,0.0,19.58,43.0,27.7456,44.0,16.09747474747475,44.0,0.0
170,15.301111111111112,47.0,34.0,44.0,39.266666666666666,81.74626262626262,10,54,10,493,3351,0.0,0.0,0.0,18.7656,33.0,26.4644,47.0,15.301111111111112,47.0,0.0
180,14.642121212121213,48.0,34.0,45.0,38.23030303030303,79.19373737373738,8,42,8,391,3848,0.0,0.0,0.0,19.48,34.0,24.8548,48.0,14.642121212121213,48.0,0.0
190,14.683838383838383,47.0,34.0,41.06000000000131,39.07070707070707,79.66737373737374,8,42,8,223,1331,0.0,0.0,0.0,20.1004,37.0,25.5216,47.0,14.683838383838383,47.0,0.0
200,14.588484848484848,49.0,35.0,43.06000000000131,40.40808080808081,78.28464646464647,10,34,9,674,5294,0.0,0.0,0.0,19.7904,39.0,23.8152,49.0,14.588484848484848,49.0,0.0
210,14.238787878787878,53.0,36.0,44.090000000001965,42.00606060606061,75.97707070707071,10,58,10,672,5533,0.0,0.0,0.0,18.3704,40.0,24.2696,53.0,14.238787878787878,53.0,0.0
220,13.71858585858586,55.0,34.0,47.080000000001746,42.6020202020202,73.25474747474748,10,52,10,241,1125,0.0,0.0,0.0,17.4264,43.0,24.2464,55.0,13.71858585858586,55.0,0.0
230,13.05888888888889,56.0,31.0,49.07000000000153,40.04646464646465,69.31161616161616,15,36,11,547,4573,0.0,0.0,0.0,15.0276,35.0,23.7504,56.0,13.05888888888889,56.0,0.0
240,13.144444444444444,60.0,30.0,38.2200000000048,39.76161616161616,68.94838383838383,11,35,7,222,922,0.0,0.0,0.0,14.364,28.0,24.3404,60.0,13.144444444444444,60.0,0.0
250,13.318888888888889,61.0,32.0,39.2200000000048,41.36363636363637,70.17080808080809,14,28,12,209,1044,0.0,0.0,0.0,13.8316,31.0,26.2604,61.0,13.318888888888889,61.0,0.0
260,13.106060606060606,61.0,33.0,42.19000000000415,42.26262626262626,69.29777777777778,6,41,6,688,5380,0.0,0.0,0.0,14.2232,30.0,24.4052,61.0,13.106060606060606,61.0,0.0
270,12.41161616161616,67.0,33.0,45.2200000000048,43.05252525252525,66.11878787878788,9,51,8,536,5694,0.0,0.0,0.0,14.7524,32.0,21.6476,67.0,12.41161616161616,67.0,0.0
280,11.920909090909092,68.0,24.0,48.200000000004366,39.24444444444445,63.0069696969697,11,38,11,314,3812,0.0,0.0,0.0,16.0768,32.0,16.456,68.0,11.920909090909092,68.0,0.0
290,11.384949494949495,70.0,25.0,34.36000000000786,35.696969696969695,60.513030303030305,8,47,8,251,1501,0.0,0.0,0.0,16.7928,34.0,14.7384,70.0,11.384949494949495,70.0,0.0
300,11.40868686868687,71.0,25.0,36.35000000000764,36.72727272727273,61.75050505050505,13,51,11,566,3850,0.0,0.0,0.0,15.7876,36.0,16.1256,71.0,11.40868686868687,71.0,0.0
310,10.43010101010101,74.0,22.0,42.320000000006985,34.69090909090909,55.81141414141414,7,41,7,574,4042,0.0,0.0,0.0,13.442,42.0,14.9688,74.0,10.43010101010101,74.0,0.0
320,11.058484848484849,77.0,21.0,31.46000000001004,34.55353535353535,59.71050505050505,5,38,5,162,859,0.0,0.0,0.0,14.7044,31.0,15.314,77.0,11.058484848484849,77.0,0.0
330,11.390404040404041,79.0,22.0,32.47000000001026,35.8020202020202,62.53181818181818,9,41,8,152,763,0.0,0.0,0.0,16.2992,32.0,15.41,79.0,11.390404040404041,79.0,0.0
340,12.052929292929292,81.0,23.0,34.47000000001026,37.50909090909091,66.25393939393939,4,31,4,140,665,0.0,0.0,0.0,17.6416,34.0,16.4908,81.0,12.052929292929292,81.0,0.0
350,12.835656565656565,83.0,25.0,36.47000000001026,38.945454545454545,70.11232323232323,14,44,14,80,324,0.0,0.0,0.0,18.7152,36.0,17.9004,83.0,12.835656565656565,83.0,0.0
360,13.334747474747475,84.0,27.0,35.490000000010696,40.43434343434343,72.12545454545455,13,47,12,278,1753,0.0,0.0,0.0,20.426,35.0,18.7932,84.0,13.334747474747475,84.0,0.0
370,14.097171717171717,85.0,29.0,37.48000000001048,42.53333333333333,75.91181818181818,12,48,12,261,1890,0.0,0.0,0.0,21.2436,36.0,20.4764,85.0,14.097171717171717,85.0,0.0
380,14.715252525252525,87.0,31.0,39.48000000001048,44.95757575757576,79.1349494949495,19,39,17,72,264,0.0,0.0,0.0,21.9732,39.0,21.7868,87.0,14.715252525252525,87.0,0.0
390,14.516161616161616,89.0,33.0,41.48000000001048,46.484848484848484,78.45212121212121,12,50,9,339,2027,0.0,0.0,0.0,20.4348,41.0,22.1844,89.0,14.516161616161616,89.0,0.0
400,13.952020202020202,92.0,33.0,43.490000000010696,47.47070707070707,75.05606060606061,7,36,7,251,1887,0.0,0.0,0.0,19.9424,43.0,21.7256,92.0,13.952020202020202,92.0,0.0
