slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,6.1078787878787875,17.0,13.0,17.0,15.444444444444445,67.00424242424242,7,42,7,285,1078,0.0,0.0,0.0,8.9752,17.0,8.9096,17.0,6.1078787878787875,17.0,0.0
110,6.424141414141414,19.0,14.0,17.0,16.046464646464646,70.40525252525252,9,42,9,455,1490,0.0,0.0,0.0,9.4516,19.0,9.9836,17.0,6.424141414141414,19.0,0.0
120,6.63939393939394,20.0,15.0,19.0,16.965656565656566,73.34020202020201,6,42,6,66,130,0.0,0.0,0.0,10.3792,20.0,10.2876,19.0,6.63939393939394,20.0,0.0
130,6.856363636363636,20.0,16.0,19.0,17.434343434343436,74.72737373737374,12,44,11,81,215,0.0,0.0,0.0,10.8484,20.0,10.1288,19.0,6.856363636363636,20.0,0.0
140,6.589595959595959,22.0,16.0,18.0,17.717171717171716,72.08040404040403,14,43,11,248,841,0.0,0.0,0.0,9.6584,22.0,10.468,21.0,6.589595959595959,22.0,0.0
150,6.5904040404040405,23.0,17.0,18.0,17.88282828282828,73.69141414141414,13,53,13,410,1671,0.0,0.0,0.0,9.4928,23.0,10.7344,22.0,6.5904040404040405,23.0,0.0
160,6.7,24.0,16.0,20.0,18.618181818181817,76.03737373737374,7,32,7,141,308,0.0,0.0,0.0,9.604,20.0,11.0892,24.0,6.7,24.0,0.0
170,6.66979797979798,26.0,16.0,20.0,18.743434343434345,78.02232323232323,10,41,9,346,1174,0.0,0.0,0.0,9.654,20.0,11.2032,26.0,6.66979797979798,26.0,0.0
180,6.4409090909090905,22.0,16.0,20.020000000000437,18.555555555555557,76.99161616161616,8,35,8,227,713,0.0,0.0,0.0,9.2364,20.0,10.9868,22.0,6.4409090909090905,22.0,0.0
190,6.382323232323232,24.0,16.0,21.030000000000655,19.393939393939394,75.95535353535354,8,35,8,329,924,0.0,0.0,0.0,9.12,21.0,10.4684,24.0,6.382323232323232,24.0,0.0
200,6.283737373737374,24.0,16.0,22.020000000000437,19.67878787878788,74.45737373737374,10,35,9,657,2746,0.0,0.0,0.0,9.3748,22.0,9.2772,24.0,6.283737373737374,24.0,0.0
210,5.358686868686869,24.0,13.0,24.0,17.385858585858585,64.2830303030303,10,50,10,595,2198,0.0,0.0,0.0,7.2124,24.0,8.0688,24.0,5.358686868686869,24.0,0.0
220,5.233737373737374,25.0,13.0,17.080000000001746,16.745454545454546,61.8940404040404,10,47,10,387,1105,0.0,0.0,0.0,7.1144,17.0,7.5772,25.0,5.233737373737374,25.0,0.0
230,4.897070707070707,26.0,12.0,18.080000000001746,16.57171717171717,57.588787878787876,16,43,11,506,1553,0.0,0.0,0.0,6.6784,18.0,7.1276,26.0,4.897070707070707,26.0,0.0
240,4.926262626262626,26.0,12.0,19.070000000001528,16.563636363636363,57.37191919191919,11,35,10,295,873,0.0,0.0,0.0,6.978,19.0,6.726,26.0,4.926262626262626,26.0,0.0
