episode,mean_VAoI,avg_tx_ratio,target_tx_ratio,n_nodes,update_probability,lagrange,actor_loss,critic_loss,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages
0,0.38729166612029076,0.1859375,0.1,16,0.05,0.04296875,-0.00488280551508069,25.353229522705078,0.275,0.6875,126
1,0.4980208299122751,0.159375,0.1,16,0.05,0.07265624999999999,-0.004782288800925016,45.029869079589844,0.325,0.375,164
