actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,candidate_id,dynamic_repeat_index,evaluated_on_full,evaluation_phase,mean_VAoI,mean_tail_VAoI,phase,phase_slots,search_probability_mean,topology_index
0.10056,0.5,0.1,-2.4002227783203125,6,0,True,full,9.050062424242421,23.571858585858582,coarse,500,0.09936020666366345,0
0.09954,0.5,0.1,-2.4002227783203125,6,1,True,full,9.517418585858595,24.7807070707071,coarse,500,0.09936020666366345,0
0.1001,0.5,0.1,-2.4002227783203125,6,0,True,full,8.079334141414144,20.846642424242418,coarse,500,0.10224160025460777,1
0.10432000000000001,0.5,0.1,-2.4002227783203125,6,1,True,full,7.450228686868691,19.548589898989903,coarse,500,0.10224160025460777,1
0.09926,0.5,0.1,-2.4002227783203125,6,0,True,full,7.189691919191929,19.034456565656587,coarse,500,0.09897827837307632,2
0.09795999999999999,0.5,0.1,-2.4002227783203125,6,1,True,full,7.612130101010106,20.2054505050505,coarse,500,0.09897827837307632,2
0.10039999999999999,0.5,0.1,-2.4002227783203125,6,0,True,full,8.132378181818183,21.947717171717155,coarse,500,0.10032507310266751,3
0.09881999999999999,0.5,0.1,-2.4002227783203125,6,1,True,full,7.837473939393939,20.76422222222222,coarse,500,0.10032507310266751,3
0.10208,0.5,0.1,-2.4002227783203125,6,0,True,full,7.684275959595955,19.73607272727274,coarse,500,0.10027171055573467,4
0.10099999999999999,0.5,0.1,-2.4002227783203125,6,1,True,full,7.68563595959597,19.21327676767678,coarse,500,0.10027171055573467,4
0.09824,0.5,0.1,-2.4002227783203125,6,0,True,full,8.261094141414148,21.26779393939394,coarse,500,0.09763756738147535,5
0.09954,0.5,0.1,-2.4002227783203125,6,1,True,full,8.151215353535356,20.762614141414147,coarse,500,0.09763756738147535,5
0.10112,0.5,0.1,-2.4002227783203125,6,0,True,full,7.429158585858578,18.91011313131314,coarse,500,0.10181446420398267,6
0.10122,0.5,0.1,-2.4002227783203125,6,1,True,full,7.268576363636365,18.480432323232332,coarse,500,0.10181446420398267,6
0.10018,0.5,0.1,-2.4002227783203125,6,0,True,full,7.569940606060607,19.427535353535344,coarse,500,0.10013254357762585,7
0.09988,0.5,0.1,-2.4002227783203125,6,1,True,full,7.696064646464645,19.62988282828281,coarse,500,0.10013254357762585,7
0.0968,0.5,0.1,-2.4002227783203125,6,0,True,full,7.720276767676775,19.978424242424236,coarse,500,0.09919807918968551,8
0.09534000000000001,0.5,0.1,-2.4002227783203125,6,1,True,full,7.709255353535354,20.85368080808081,coarse,500,0.09919807918968551,8
0.09958,0.5,0.1,-2.4002227783203125,6,0,True,full,9.322928888888898,23.293725252525235,coarse,500,0.09943152055739843,9
0.09838,0.5,0.1,-2.4002227783203125,6,1,True,full,9.782030101010111,24.723882828282843,coarse,500,0.09943152055739843,9
0.10298,0.5,0.1,-2.4002227783203125,6,0,True,full,7.125125454545454,18.430395959595938,coarse,500,0.10193196953351645,10
0.10276,0.5,0.1,-2.4002227783203125,6,1,True,full,7.046225252525256,18.736282828282842,coarse,500,0.10193196953351645,10
0.10098000000000001,0.5,0.1,-2.4002227783203125,6,0,True,full,8.343708484848488,22.108,coarse,500,0.09962215497166825,11
0.10135999999999999,0.5,0.1,-2.4002227783203125,6,1,True,full,8.044608282828278,20.96920808080806,coarse,500,0.09962215497166825,11
0.10135999999999999,0.5,0.1,-2.4002227783203125,6,0,True,full,8.238539595959589,20.915547474747477,coarse,500,0.10147868318759187,12
0.09928000000000001,0.5,0.1,-2.4002227783203125,6,1,True,full,8.128488888888892,21.37234343434342,coarse,500,0.10147868318759187,12
0.09878,0.5,0.1,-2.4002227783203125,6,0,True,full,7.235643434343437,18.229927272727274,coarse,500,0.09940051336717005,13
0.09978,0.5,0.1,-2.4002227783203125,6,1,True,full,7.457743030303034,19.259119191919194,coarse,500,0.09940051336717005,13
0.0987,0.5,0.1,-2.4002227783203125,6,0,True,full,8.293832121212125,21.60012121212121,coarse,500,0.10023469472138131,14
0.10304,0.5,0.1,-2.4002227783203125,6,1,True,full,7.649124242424239,19.493599999999997,coarse,500,0.10023469472138131,14
0.1012,0.5,0.1,-2.4002227783203125,6,0,True,full,7.099085252525257,18.238149494949486,coarse,500,0.10070405329412532,15
0.0999,0.5,0.1,-2.4002227783203125,6,1,True,full,7.428629090909092,18.92115151515151,coarse,500,0.10070405329412532,15
0.10039999999999999,0.5,0.1,-2.4002227783203125,6,0,True,full,7.657653535353534,19.813955555555566,coarse,500,0.09801307192491096,16
0.09724000000000001,0.5,0.1,-2.4002227783203125,6,1,True,full,7.71397919191919,20.222387878787885,coarse,500,0.09801307192491096,16
0.09792,0.5,0.1,-2.4002227783203125,6,0,True,full,7.132705454545454,18.33888888888888,coarse,500,0.10054200664406956,17
0.0989,0.5,0.1,-2.4002227783203125,6,1,True,full,6.86335212121212,17.69349090909091,coarse,500,0.10054200664406956,17
0.10074,0.5,0.1,-2.4002227783203125,6,0,True,full,7.394767474747476,19.23255353535355,coarse,500,0.10088356842607782,18
0.09842000000000001,0.5,0.1,-2.4002227783203125,6,1,True,full,7.898192121212121,20.212488888888874,coarse,500,0.10088356842607782,18
0.09576000000000001,0.5,0.1,-2.4002227783203125,6,0,True,full,7.652929898989895,19.539943434343424,coarse,500,0.09844120579711997,19
0.09744,0.5,0.1,-2.4002227783203125,6,1,True,full,7.869528484848485,20.168727272727264,coarse,500,0.09844120579711997,19
0.08805999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,9.402496161616158,23.93385050505051,coarse,500,0.08693337770040709,0
0.08776,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,10.148224848484846,26.542905050505034,coarse,500,0.08693337770040709,0
0.08786,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.559789898989896,21.87784242424245,coarse,500,0.08949082299156,1
0.09214,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.723829494949493,20.081551515151524,coarse,500,0.08949082299156,1
0.08715999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.399975959595964,19.494185858585844,coarse,500,0.08659586341127554,2
0.08606,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.803500202020198,20.44147878787882,coarse,500,0.08659586341127554,2
0.08842,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.270642828282824,21.291236363636347,coarse,500,0.08779095045035148,3
0.08666,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.97108545454546,21.16471919191918,coarse,500,0.08779095045035148,3
0.08874,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.02066646464647,20.270484848484845,coarse,500,0.0877472130263461,4
0.08832000000000001,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.335114545454543,21.10494949494951,coarse,500,0.0877472130263461,4
0.0858,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.653290505050508,22.027656565656564,coarse,500,0.0854045244011565,5
0.08742000000000001,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.843265858585854,21.975555555555555,coarse,500,0.0854045244011565,5
0.0892,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.61967494949495,19.296537373737358,coarse,500,0.08911808451635578,6
0.08858,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.728890505050507,19.74592727272726,coarse,500,0.08911808451635578,6
0.08742000000000001,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.918335353535347,20.361644444444444,coarse,500,0.08761540069303994,7
0.08678000000000001,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.916243636363626,20.333252525252522,coarse,500,0.08761540069303994,7
0.08503999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.185363434343428,21.465139393939403,coarse,500,0.08678878510243741,8
0.08362,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.011667272727275,21.732064646464647,coarse,500,0.08678878510243741,8
0.08651999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,9.670371111111109,24.452674747474752,coarse,500,0.08699402477077271,9
0.08538,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,10.126628282828282,25.36636767676768,coarse,500,0.08699402477077271,9
0.09066,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.575305454545453,19.443971717171724,coarse,500,0.08920941527141192,10
0.09066,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.119773535353535,18.68605656565656,coarse,500,0.08920941527141192,10
0.0883,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.6173301010101,22.640173737373708,coarse,500,0.08716336710002674,11
0.08852,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.14990646464646,21.312266666666645,coarse,500,0.08716336710002674,11
0.08866,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.793889696969694,22.591135353535357,coarse,500,0.08881674498411474,12
0.08648,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.512473737373739,21.659531313131314,coarse,500,0.08881674498411474,12
0.08682000000000001,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.744426666666665,20.005979797979784,coarse,500,0.08697256011904848,13
0.08837999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.825202222222223,19.923684848484854,coarse,500,0.08697256011904848,13
0.08644,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.709658181818181,22.527204040404015,coarse,500,0.08771849961371199,14
0.09092,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.063007070707076,20.7089212121212,coarse,500,0.08771849961371199,14
