candidate_id,phase,evaluation_phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,coarse_rank_within_alpha,evaluated_on_full,pruned_after_coarse,phase_slots,rank,selected
20,coarse,coarse,0.1,1.2,-2.7024993896484375,0.10000002298961343,0.1000349168307273,0.099135,7.001384949494951,17.704801010101008,True,1,False,False,200,1,False
27,coarse,coarse,0.1,1.5,-2.8384552001953125,0.09999970966262105,0.10014115648524638,0.09938500000000001,7.009236464646466,17.811757575757575,True,1,False,False,200,2,False
13,coarse,coarse,0.1,1.0,-2.613983154296875,0.10000031996312553,0.0999860066951246,0.099135,7.039224191919192,17.687202020202022,True,1,False,False,200,3,False
34,coarse,coarse,0.1,1.8,-2.9781646728515625,0.09999986854415756,0.10028631005949037,0.09962000000000001,7.055126515151514,17.974390909090907,True,1,False,False,200,4,False
33,coarse,coarse,0.08750000000000002,1.8,-3.127899169921875,0.0875008997625596,0.0877814698562697,0.08721999999999999,7.235266767676767,18.478282828282826,True,2,False,False,200,5,False
26,coarse,coarse,0.08750000000000002,1.5,-2.9874267578125,0.08749971908441395,0.0876425554819126,0.086595,7.25675606060606,18.275470707070706,True,2,False,False,200,6,False
6,coarse,coarse,0.1,0.5,-2.4002227783203125,0.0999996931669367,0.09993910438599177,0.099115,7.258674646464645,18.13490202020202,True,1,False,False,200,7,False
19,coarse,coarse,0.08750000000000002,1.2,-2.850860595703125,0.08749967178851463,0.08754107698763568,0.086575,7.299371111111112,18.231750505050503,True,2,False,False,200,8,False
12,coarse,coarse,0.08750000000000002,1.0,-2.76202392578125,0.08749958447620278,0.08749384062990752,0.08664999999999998,7.363297474747474,18.307154545454544,True,2,False,False,200,9,False
5,coarse,coarse,0.08750000000000002,0.5,-2.5477142333984375,0.08750010289473106,0.08744790470637025,0.08684,7.545873484848483,18.57734848484849,True,2,False,False,200,10,False
27,coarse,full,0.1,1.5,-2.8384552001953125,0.09999970966262105,0.1003095581633752,0.10018349999999998,7.564018212121212,19.972195454545453,True,1,True,False,500,11,False
20,coarse,full,0.1,1.2,-2.7024993896484375,0.10000002298961343,0.10019608217644568,0.10001,7.5818506010101006,19.87078676767677,True,1,True,False,500,12,False
34,coarse,full,0.1,1.8,-2.9781646728515625,0.09999986854415756,0.10044920883828086,0.100234,7.58726692929293,20.22239232323232,True,1,True,False,500,13,False
46,refine,full,0.09687500000000002,1.5,-2.87408447265625,0.09687440572636674,0.09717918171472992,0.096996,7.626550994949497,20.16603272727273,True,,True,False,500,14,True
13,coarse,full,0.1,1.0,-2.613983154296875,0.10000031996312553,0.10013509406466214,0.0999795,7.629763696969697,19.85246484848485,True,1,True,False,500,15,False
49,refine,full,0.09687500000000002,1.8,-3.01397705078125,0.09687542644372325,0.0973178215180218,0.097078,7.6522104141414165,20.424614545454546,True,,True,False,500,16,False
43,refine,full,0.09687500000000002,1.2,-2.73797607421875,0.09687466310577383,0.09706734334583661,0.09684949999999999,7.665071808080808,20.10162676767677,True,,True,False,500,17,False
45,refine,full,0.09375000000000001,1.5,-2.910736083984375,0.09374974100379432,0.09404919006791812,0.093868,7.675674737373737,20.276825555555554,True,,True,False,500,18,False
48,refine,full,0.09375000000000001,1.8,-3.05084228515625,0.09374906903635648,0.09418412905270682,0.0940075,7.719641772727272,20.61584595959596,True,,True,False,500,19,False
40,refine,full,0.09687500000000002,1.0,-2.649383544921875,0.0968745391609682,0.09700691662261803,0.09680649999999999,7.720182358585859,20.09639101010101,True,,True,False,500,20,False
42,refine,full,0.09375000000000001,1.2,-2.77447509765625,0.09374991997432496,0.09393906682495558,0.09377150000000001,7.735346141414141,20.25481222222222,True,,True,False,500,21,False
32,coarse,coarse,0.07500000000000001,1.8,-3.298095703125,0.07500090584050773,0.0752680835551537,0.07433999999999999,7.743514040404042,19.56299898989899,True,3,False,True,200,22,False
25,coarse,coarse,0.07500000000000001,1.5,-3.156829833984375,0.0750003995392894,0.07513980019845956,0.07427999999999998,7.7672587373737345,19.47411717171717,True,3,False,True,200,23,False
44,refine,full,0.09062500000000001,1.5,-2.948486328125,0.09062520366147174,0.09091906671866437,0.09073400000000001,7.782234777777778,20.53663636363637,True,,True,False,500,24,False
47,refine,full,0.09062500000000001,1.8,-3.088775634765625,0.09062545992726374,0.0910527995543525,0.090959,7.791676954545454,20.824709393939393,True,,True,False,500,25,False
39,refine,full,0.09375000000000001,1.0,-2.685791015625,0.09375067995752957,0.09388055863701306,0.0936595,7.801014535353535,20.32099757575758,True,,True,False,500,26,False
18,coarse,coarse,0.07500000000000001,1.2,-3.0196533203125,0.07499970355009843,0.0750448582011538,0.07430999999999999,7.835218232323231,19.380550505050504,True,3,False,True,200,27,False
6,coarse,full,0.1,0.5,-2.4002227783203125,0.0999996931669367,0.10003214828637745,0.0997815,7.835575803030304,20.26183404040404,True,1,True,False,500,28,False
41,refine,full,0.09062500000000001,1.2,-2.81207275390625,0.09062528172032346,0.09081073812115184,0.0906295,7.837465217171717,20.49071494949495,True,,True,False,500,29,False
38,refine,full,0.09062500000000001,1.0,-2.72332763671875,0.09062435980228965,0.09075163273881345,0.090547,7.867651904040403,20.442623636363628,True,,True,False,500,30,False
26,coarse,full,0.08750000000000002,1.5,-2.9874267578125,0.08749971908441395,0.08778773109524873,0.08766,7.88435147979798,20.787305656565653,True,2,True,False,500,31,False
11,coarse,coarse,0.07500000000000001,1.0,-2.93048095703125,0.07500023842636282,0.07500134288059786,0.07425,7.892700151515152,19.416660606060606,True,3,False,True,200,32,False
33,coarse,full,0.08750000000000002,1.8,-3.127899169921875,0.0875008997625596,0.0879201181923128,0.087829,7.896606838383837,21.165803434343434,True,2,True,False,500,33,False
37,refine,full,0.09687500000000002,0.5,-2.43548583984375,0.0968742375341788,0.09690607559185091,0.096675,7.913426267676767,20.416298080808083,True,,True,False,500,34,False
19,coarse,full,0.08750000000000002,1.2,-2.850860595703125,0.08749967178851463,0.08768127723215585,0.08751400000000001,7.938733343434343,20.783624444444445,True,2,True,False,500,35,False
12,coarse,full,0.08750000000000002,1.0,-2.76202392578125,0.08749958447620278,0.08762414670783876,0.087441,7.973661383838385,20.7468698989899,True,2,True,False,500,36,False
36,refine,full,0.09375000000000001,0.5,-2.471771240234375,0.09374938789371505,0.09378058574195547,0.093615,7.986777606060604,20.582516363636362,True,,True,False,500,37,False
35,refine,full,0.09062500000000001,0.5,-2.5091552734375,0.09062463092535245,0.09065516508815866,0.090491,8.087126797979797,20.793667272727273,True,,True,False,500,38,False
4,coarse,coarse,0.07500000000000001,0.5,-2.71563720703125,0.07500043537595683,0.07495643634623364,0.07442499999999999,8.14465717171717,19.9514393939394,True,3,False,True,200,39,False
5,coarse,full,0.08750000000000002,0.5,-2.5477142333984375,0.08750010289473106,0.08752994969704164,0.0874385,8.205947257575755,21.126687373737372,True,2,True,False,500,40,False
10,coarse,coarse,0.0625,1.0,-3.126953125,0.062499264700664546,0.06250539199585484,0.06208,8.495733282828283,20.43471414141414,True,4,False,True,200,41,False
31,coarse,coarse,0.0625,1.8,-3.496307373046875,0.06250047713605712,0.0627462492057809,0.06198999999999999,8.503825252525253,20.930901010101007,True,4,False,True,200,42,False
17,coarse,coarse,0.0625,1.2,-3.2164306640625,0.06250019953359512,0.06254617447330116,0.06193,8.506275252525253,20.56176767676768,True,4,False,True,200,43,False
24,coarse,coarse,0.0625,1.5,-3.354248046875,0.06249989458828259,0.0626307334831893,0.061935,8.525206212121212,20.761977777777776,True,4,False,True,200,44,False
3,coarse,coarse,0.0625,0.5,-2.91156005859375,0.062499990177525645,0.062463978529250196,0.06205999999999999,8.752042575757576,20.55241515151515,True,4,False,True,200,45,False
30,coarse,coarse,0.05,1.8,-3.73516845703125,0.05000089367202523,0.05021673927545169,0.049565,9.498904242424244,22.425507070707067,True,5,False,True,200,46,False
16,coarse,coarse,0.05,1.2,-3.453857421875,0.050000487437678355,0.050044182291263915,0.049445,9.55707318181818,22.243997979797985,True,5,False,True,200,47,False
23,coarse,coarse,0.05,1.5,-3.592315673828125,0.04999979221303083,0.050116634998125485,0.04947,9.561477979797978,22.3837898989899,True,5,False,True,200,48,False
9,coarse,coarse,0.05,1.0,-3.364044189453125,0.04999994766808577,0.05000916315881025,0.049425000000000004,9.62093611111111,22.247333333333337,True,5,False,True,200,49,False
2,coarse,coarse,0.05,0.5,-3.14813232421875,0.0499994476422261,0.0499711901834594,0.049535,9.843213636363638,22.387536363636368,True,5,False,True,200,50,False
22,coarse,coarse,0.037500000000000006,1.5,-3.894775390625,0.03749917055595743,0.03759626344083626,0.037135,11.116202121212122,24.024003030303035,True,6,False,True,200,51,False
29,coarse,coarse,0.037500000000000006,1.8,-4.0384521484375,0.03749979871132681,0.037676660992917915,0.037175,11.14310333333333,24.264791919191925,True,6,False,True,200,52,False
15,coarse,coarse,0.037500000000000006,1.2,-3.75567626953125,0.037499818891169504,0.03753795738984862,0.036955,11.275154595959597,24.117101010101013,True,6,False,True,200,53,False
8,coarse,coarse,0.037500000000000006,1.0,-3.66552734375,0.03749949370643806,0.03750975367672689,0.037005,11.388108939393941,24.280063636363636,True,6,False,True,200,54,False
1,coarse,coarse,0.037500000000000006,0.5,-3.44903564453125,0.03750041173473036,0.03747965318907783,0.03699,11.762573333333332,24.567791919191922,True,6,False,True,200,55,False
28,coarse,coarse,0.025,1.8,-4.4593505859375,0.024999810732666952,0.02512809044998517,0.024840000000000004,13.89345808080808,26.158023232323234,True,7,False,True,200,56,False
21,coarse,coarse,0.025,1.5,-4.3148193359375,0.02499998390060278,0.025071248772449168,0.024705,13.951128636363638,26.160408080808082,True,7,False,True,200,57,False
14,coarse,coarse,0.025,1.2,-4.17510986328125,0.02499960762161204,0.0250287345255396,0.024739999999999998,14.055489595959594,26.264090909090918,True,7,False,True,200,58,False
7,coarse,coarse,0.025,1.0,-4.0845947265625,0.02500013271036848,0.025009281331124976,0.024710000000000003,14.151639545454543,26.33621212121212,True,7,False,True,200,59,False
0,coarse,coarse,0.025,0.5,-3.8675537109375,0.025000835158972144,0.024987300201950228,0.02468,14.205601464646463,26.401267676767684,True,7,False,True,200,60,False
