node,x,y,label
0,49.94393075564672,42.715200586525576,0
1,75.85430576943345,144.30278159389763,0
2,94.76566898850145,48.15775030252502,0
3,83.51235952098178,145.6976426302569,0
4,42.01192439776964,53.22478352821446,0
5,128.80183440585523,93.37522970117666,0
6,24.46950519150169,105.99785283241917,0
7,3.387203973841835,76.99741058206476,0
8,27.872191119291926,122.15312452393576,0
9,69.17366018495721,93.45601370675601,0
10,108.13802526685657,87.23337483829533,0
11,95.43848326572592,114.86457044487194,0
12,121.83860530162553,72.56707094546628,0
13,20.01934668075647,32.223412688130715,0
14,135.60593526290265,57.993516607138616,0
15,14.406952051459932,48.026575752282255,0
16,51.424276859012046,73.76013202054283,0
17,33.001393458430414,38.56642687089818,0
18,42.10629417490861,103.5661196883145,0
19,133.08274354928454,52.481263963321744,0
20,59.66271131987294,97.97407309973391,0
21,78.96244476129965,103.4852833563391,0
22,62.73241205711264,131.05972034220486,0
23,11.31250306583894,50.58020481281874,0
24,101.36583944756008,130.649895391036,0
25,247.50863642616275,100.04892608381,1
26,191.71061603666408,74.85366093980207,1
27,250.9120368121685,99.71665155367133,1
28,213.04267648315337,102.20117440543461,1
29,162.09224188523123,129.05387744104144,1
30,174.011536328667,12.581151128524638,1
31,216.21476374967415,46.77514814731161,1
32,132.64223002015788,85.18343496509324,1
33,181.0789491337268,30.717130691435536,1
34,204.58862758776576,18.2537950835915,1
35,233.54473359333673,44.852187384163386,1
36,234.86836132081294,73.81965170694892,1
37,174.65307113077301,133.10083851409348,1
38,205.31991750476323,145.4130747673023,1
39,208.4928855159763,103.13174919215543,1
40,157.65450835128883,44.738410983780916,1
41,228.95390757772614,137.17080982219272,1
42,166.23281827776293,63.594127377077854,1
43,200.74799339438735,121.71439306507753,1
44,207.6801753537409,21.41513729797176,1
45,180.1747862886086,100.5307028942845,1
46,232.11683953819585,72.28848002985981,1
47,127.29243948890357,69.7077169715907,1
48,195.05316925476194,56.24074734952346,1
49,223.80670032742773,125.47621165701284,1
