node_i,node_j,curvature,bottleneck_importance
0,1,-0.11538461538461542,0.17230769230769247
0,6,0.4727272727272729,0.0
0,13,0.09090909090909105,0.0
0,20,-0.29020979020979,0.4333799533799533
0,24,0.3701298701298701,0.0
0,29,0.38636363636363646,0.0
0,34,0.4727272727272729,0.0
0,35,0.13636363636363646,0.0
0,40,0.3749999999999999,0.0
0,47,0.40340909090909083,0.0
0,48,0.3333333333333338,0.0
1,2,-0.015384615384615552,0.022974358974359236
1,4,-0.12087912087912112,0.18051282051282097
1,6,-0.16538461538461546,0.24697435897435924
1,15,0.051282051282051544,0.0
1,20,0.15384615384615397,0.0
1,21,-0.015384615384615552,0.022974358974359236
1,24,-0.1153846153846152,0.17230769230769213
1,26,-0.06153846153846132,0.09189743589743563
1,34,-0.16538461538461524,0.2469743589743589
1,35,0.16083916083916105,0.0
1,36,-0.09790209790209792,0.1462004662004663
1,44,-0.1483516483516485,0.22153846153846188
2,9,0.19999999999999996,0.0
2,15,0.288888888888889,0.0
2,21,0.6,0.0
2,35,-0.036363636363636376,0.05430303030303035
3,5,-0.03461538461538449,0.05169230769230754
3,14,0.25,0.0
3,17,0.23461538461538456,0.0
3,25,0.55,0.0
3,28,0.30714285714285694,0.0
3,33,-0.10000000000000031,0.14933333333333387
3,37,0.36250000000000016,0.0
3,38,-2.220446049250313e-16,3.315866100213803e-16
3,42,0.3214285714285715,0.0
3,43,-0.0071428571428568954,0.010666666666666304
4,11,-0.040476190476190554,0.06044444444444459
4,12,0.1706349206349207,0.0
4,15,-0.03571428571428559,0.05333333333333318
4,19,0.08333333333333359,0.0
4,20,0.10989010989011017,0.0
4,23,0.1706349206349207,0.0
4,26,0.2785714285714286,0.0
4,30,0.1428571428571428,0.0
4,31,0.4038461538461541,0.0
4,36,0.2272727272727274,0.0
4,39,0.4285714285714286,0.0
4,44,0.4642857142857143,0.0
4,49,0.12857142857142856,0.0
5,11,0.09743589743589776,0.0
5,17,-0.03846153846153855,0.057435897435897595
5,19,0.15705128205128205,0.0
5,20,-0.038461538461538325,0.05743589743589726
5,24,-0.36813186813186816,0.54974358974359
5,25,-0.03461538461538449,0.05169230769230754
5,26,0.015384615384615552,0.0
5,36,0.06993006993007012,0.0
5,38,-0.1038461538461537,0.15507692307692295
5,42,0.07967032967032994,0.0
5,43,-0.02472527472527486,0.03692307692307714
5,44,-0.098901098901099,0.14769230769230793
6,13,0.12727272727272732,0.0
6,24,0.34285714285714275,0.0
6,29,0.44999999999999996,0.0
6,34,0.55,0.0
6,35,0.08636363636363631,0.0
6,40,0.42500000000000027,0.0
6,47,0.45000000000000007,0.0
6,48,0.3833333333333335,0.0
7,10,0.05555555555555558,0.0
7,14,0.10555555555555574,0.0
7,16,0.05555555555555558,0.0
7,17,0.12393162393162405,0.0
7,32,0.11111111111111127,0.0
7,41,0.05555555555555547,0.0
7,42,-0.05952380952380931,0.08888888888888863
7,43,0.2936507936507937,0.0
7,45,0.25555555555555554,0.0
8,13,0.2857142857142858,0.0
8,24,0.03571428571428592,0.0
8,29,0.03571428571428581,0.0
8,33,0.0,-0.0
8,38,-2.220446049250313e-16,3.315866100213803e-16
8,46,0.3035714285714286,0.0
8,48,0.06349206349206371,0.0
9,15,0.2333333333333334,0.0
9,18,-0.08333333333333348,0.12444444444444473
9,21,0.20000000000000007,0.0
9,30,-0.2000000000000004,0.2986666666666674
10,11,2.220446049250313e-16,0.0
10,16,0.5833333333333333,0.0
10,22,0.1166666666666667,0.0
10,41,0.5833333333333333,0.0
10,43,-0.04761904761904745,0.0711111111111109
11,16,0.0,-0.0
11,17,-0.19230769230769207,0.287179487179487
11,19,0.27500000000000013,0.0
11,26,0.11666666666666647,0.0
11,31,-0.038461538461538325,0.05743589743589726
11,36,0.15454545454545465,0.0
