episode,mean_VAoI,avg_tx_ratio,target_tx_ratio,n_nodes,update_probability,lagrange,actor_loss,critic_loss,entropy,mean_action_probability,mean_broadcast_debt,mean_abs_vaoi_advantage,mean_abs_budget_advantage,mean_abs_debt_advantage,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages
0,3.601468485340476,0.10053999994322657,0.1,100,0.05,1.0005399999432265,-0.00606662267819047,27.76600456237793,0.3225255608558655,0.09999994933605194,0.7867520451545715,0.69388747215271,0.024249589070677757,0.0013745425967499614,0.13,0.0,932
1,3.9231692904960362,0.10143999983742834,0.1,100,0.05,1.0019799997806549,-0.005784191191196442,30.061716079711914,0.31853044033050537,0.09864411503076553,0.806481122970581,0.7441920042037964,0.024172594770789146,0.0014004830736666918,0.13,0.0,942
2,2.7358896953985097,0.0972199997678399,0.1,100,0.05,0.9991999995484948,-0.0060767969116568565,13.718039512634277,0.31301072239875793,0.096781887114048,0.7206950187683105,0.7170689105987549,0.023572057485580444,0.0012174287112429738,0.136,0.0,1036
3,4.982697570994496,0.09455999998375773,0.1,100,0.05,0.9937599995322526,-0.00599326379597187,43.21650314331055,0.3055392801761627,0.0942235067486763,0.7028799057006836,0.8258937001228333,0.022943900898098946,0.0011721370974555612,0.128,0.0,1046
4,3.2227353565096855,0.0927799999639392,0.1,100,0.05,0.9865399994961918,-0.005642407573759556,15.875603675842285,0.29533353447914124,0.0907134935259819,0.6648809909820557,0.7355735301971436,0.02222733572125435,0.0010802153265103698,0.118,0.0,1012
5,4.523670298166573,0.08820000002533197,0.1,100,0.05,0.9747399995215237,-0.005680841393768787,32.97172164916992,0.28201383352279663,0.08636310696601868,0.5749190449714661,0.7057099342346191,0.02111007273197174,0.0008884048438630998,0.132,0.0,936
6,3.3299826268479227,0.08226000011712313,0.1,100,0.05,0.9569999996386468,-0.005321142263710499,14.557310104370117,0.2651483714580536,0.08059925585985184,0.5192990899085999,0.649094820022583,0.019607651978731155,0.000762428913731128,0.118,0.0,1028
7,3.6749260592460633,0.07399999997392297,0.1,100,0.05,0.9309999996125697,-0.005056575872004032,17.32416534423828,0.24517031013965607,0.07352977246046066,0.4059560298919678,0.6289024353027344,0.017635775730013847,0.0005455372156575322,0.104,0.0,1042
8,3.680598785802722,0.06781999992579221,0.1,100,0.05,0.8988199995383619,-0.004541317466646433,15.143136024475098,0.2220516800880432,0.06576540321111679,0.3459619879722595,0.624066948890686,0.01568402722477913,0.00042564395698718727,0.096,0.0,926
9,4.418363230392337,0.05683999975770712,0.1,100,0.05,0.855659999296069,-0.004520408809185028,21.037090301513672,0.19444222748279572,0.05707314983010292,0.2599929869174957,0.6953082084655762,0.013130612671375275,0.00028046677471138537,0.088,0.0,962
10,3.417330299191177,0.04617999956011772,0.1,100,0.05,0.8018399988561866,-0.003650869242846966,12.487372398376465,0.16554787755012512,0.047228530049324036,0.1846430003643036,0.48168936371803284,0.010435998439788818,0.0001612938503967598,0.068,0.0,1038
11,4.426331512957812,0.038399999596178534,0.1,100,0.05,0.7402399984523651,-0.0029357154853641987,21.299102783203125,0.13859598338603973,0.03811529278755188,0.1512650102376938,0.5094078183174133,0.008135588839650154,0.00011733498831745237,0.06,0.0,1014
12,5.058480400189757,0.03001999956741929,0.1,100,0.05,0.6702599980197844,-0.001920395065099001,26.96071434020996,0.11968258023262024,0.03034074977040291,0.10813600569963455,0.5093582272529602,0.006036854349076748,6.71825764584355e-05,0.048,0.0,1080
13,5.787043436080217,0.026599999595433473,0.1,100,0.05,0.5968599976152179,-0.0016011747065931559,33.18516540527344,0.10746414959430695,0.025713501498103142,0.09263300150632858,0.5948222875595093,0.004803341347724199,4.956057091476396e-05,0.052,0.0,932
14,6.192432527884841,0.022019999615848065,0.1,100,0.05,0.5188799972310659,-0.0014559279661625624,42.94715881347656,0.09388772398233414,0.022111637517809868,0.07264099270105362,0.570603609085083,0.003669869154691696,3.147916140733287e-05,0.042,0.0,958
15,6.946004058964551,0.018259999632835387,0.1,100,0.05,0.4371399968639013,-0.0012069027870893478,67.1103744506836,0.08206528425216675,0.018759770318865776,0.05932700261473656,0.4983852207660675,0.0027172507252544165,2.310760464752093e-05,0.038,0.0,906
16,6.792027467504144,0.01613999968394637,0.1,100,0.05,0.3532799965478477,-0.001023987540975213,68.98262786865234,0.07139680534601212,0.01593220978975296,0.051503997296094894,0.46429818868637085,0.0020081603433936834,1.732262535369955e-05,0.036,0.0,1018
17,7.428580396212637,0.01389999971166253,0.1,100,0.05,0.2671799962595102,-0.00066791707649827,81.73918914794922,0.06788497418165207,0.013476695865392685,0.04426799714565277,0.4560019075870514,0.001401856541633606,1.4474589079327416e-05,0.036,0.0,978
18,8.371943834342062,0.012899999730288983,0.1,100,0.05,0.18007999598979918,-0.0006910254014655948,145.53562927246094,0.06966504454612732,0.012712476775050163,0.040362998843193054,0.452972412109375,0.0010011736303567886,1.1359630661900155e-05,0.026,0.0,1128
19,8.249144246205688,0.012879999723285436,0.1,100,0.05,0.09295999571308461,-0.0008018858497962356,148.02565002441406,0.07593565434217453,0.013510399498045444,0.04077500104904175,0.45612016320228577,0.0006994149298407137,1.2429240086930804e-05,0.026,0.0,938
20,7.274256553538144,0.013759999711066484,0.1,100,0.05,0.006719995424151082,-0.0007963072275742888,143.2984619140625,0.08180064707994461,0.014748409390449524,0.04271700605750084,0.4723777770996094,0.00039109637145884335,1.2376704034977593e-05,0.028,0.0,1014
21,7.263697578169405,0.016279999669641255,0.1,100,0.05,0.0,-0.0008811976294964552,126.13401794433594,0.08676234632730484,0.015789471566677094,0.05163700133562088,0.4385471045970917,3.179405757691711e-05,1.726044138194993e-05,0.032,0.0,942
22,6.595614550225437,0.016999999660998584,0.1,100,0.05,0.0,-0.0009753707563504577,117.5367660522461,0.09502340108156204,0.017157573252916336,0.05527399852871895,0.46482327580451965,0.0,2.105171006405726e-05,0.03,0.0,956
23,6.7575791926123205,0.01847999967262149,0.1,100,0.05,0.0,-0.001024927245453,122.65526580810547,0.10386967658996582,0.019296815618872643,0.06167500093579292,0.46615567803382874,0.0,2.6067013095598668e-05,0.052,0.0,1084
24,5.9691848525740205,0.021919999606907367,0.1,100,0.05,0.0,-0.0011814949102699757,84.9138412475586,0.11510652303695679,0.021970443427562714,0.0759039968252182,0.48054930567741394,0.0,3.70386078429874e-05,0.042,0.0,898
25,5.571831715449691,0.02397999960184097,0.1,100,0.05,0.0,-0.0013555641053244472,80.93859100341797,0.12760329246520996,0.024455973878502846,0.082784004509449,0.5513516664505005,0.0,4.28212879342027e-05,0.046,0.0,1130
26,4.7556806176900865,0.02901999955624342,0.1,100,0.05,0.0,-0.0016443355707451701,62.11934280395508,0.14705856144428253,0.028805209323763847,0.10237599909305573,0.5320738554000854,0.0,5.882496407139115e-05,0.048,0.0,932
27,4.033134942963719,0.03411999960243702,0.1,100,0.05,0.0,-0.001584445359185338,47.0750846862793,0.16369259357452393,0.034259166568517685,0.12210799753665924,0.5039611458778381,0.0,7.837927114451304e-05,0.056,0.0,1030
