episode,mean_VAoI,avg_tx_ratio,target_tx_ratio,n_nodes,update_probability,lagrange,actor_loss,critic_loss,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages
25,4.874331306949258,0.1970799999088049,0.1,100,0.05,2.665080001283437,-0.004977674223482609,4317.81396484375,0.242,1.0,1130
26,4.607314345180988,0.1978999999165535,0.1,100,0.05,2.7629800011999905,-0.004982536658644676,4674.47705078125,0.226,1.0,932
27,4.847626667559147,0.1948600001782179,0.1,100,0.05,2.8578400013782086,-0.004982862621545792,4869.123046875,0.244,1.0,1030
28,4.7603046402484175,0.20031999984383583,0.1,100,0.05,2.9581600012220446,-0.00498600909486413,4348.396484375,0.24,1.0,1050
29,3.8834092956259845,0.19918000021576882,0.1,100,0.05,3.0573400014378134,-0.004984091501682997,3324.257568359375,0.242,1.0,1010
30,4.404912122428417,0.1975600003898144,0.1,100,0.05,3.154900001827628,-0.004988539032638073,3677.4970703125,0.238,1.0,1022
31,4.879985648572445,0.19667999997735022,0.1,100,0.05,3.251580001804978,-0.004987379070371389,5058.43212890625,0.242,1.0,944
32,5.455733539476991,0.2004399996548891,0.1,100,0.05,3.3520200014598673,-0.004988945089280605,6269.73046875,0.25,0.99,1092
33,5.4703874751180415,0.19864000043272972,0.1,100,0.05,3.4506600018925973,-0.004989041946828365,5917.9150390625,0.24,1.0,1088
34,7.3635262600071725,0.19923999965190886,0.1,100,0.05,3.549900001544506,-0.004989208187907934,11166.1591796875,0.252,1.0,1034
35,6.986200805269181,0.19643999998271466,0.1,100,0.05,3.6463400015272205,-0.004988539032638073,10871.259765625,0.248,0.99,1038
36,4.462481621690094,0.19939999981224538,0.1,100,0.05,3.745740001339466,-0.004993593320250511,4971.3408203125,0.24,0.99,948
37,5.266197974830866,0.1992400000244379,0.1,100,0.05,3.8449800013639037,-0.004991935566067696,6809.48388671875,0.24,1.0,954
38,4.869871110051871,0.19902000002563,0.1,100,0.05,3.9440000013895338,-0.004994413815438747,5999.08984375,0.252,1.0,990
39,3.963709091976285,0.19777999985218048,0.1,100,0.05,4.041780001241714,-0.004996967501938343,5075.826171875,0.252,1.0,1022
40,5.362632933571935,0.2006000000834465,0.1,100,0.05,4.142380001325161,-0.004995530471205711,8506.798828125,0.264,0.99,1016
41,5.202443026922643,0.19642000037431717,0.1,100,0.05,4.238800001699477,-0.004997286479920149,8731.4755859375,0.242,0.99,948
42,4.86469959744811,0.19905999998748303,0.1,100,0.05,4.33786000168696,-0.004997579380869865,5909.005859375,0.244,1.0,864
43,6.598585037939251,0.1999799997806549,0.1,100,0.05,4.437840001467615,-0.004997394513338804,15153.072265625,0.246,0.99,1036
44,6.839471102103591,0.20044000001251697,0.1,100,0.05,4.538280001480132,-0.0049973162822425365,14364.3935546875,0.244,0.99,902
45,6.180897579856217,0.19906000044941902,0.1,100,0.05,4.637340001929551,-0.004998276010155678,14238.751953125,0.234,1.0,1084
46,4.514149703577161,0.19743999989330768,0.1,100,0.05,4.734780001822858,-0.005000100005418062,6077.833984375,0.24,0.99,970
47,4.239390490800142,0.20060000003129244,0.1,100,0.05,4.83538000185415,-0.005000022239983082,6703.40234375,0.25,0.99,1104
48,6.3178723233789205,0.19677999985218048,0.1,100,0.05,4.932160001706331,-0.004999322816729546,16634.482421875,0.256,0.99,938
49,4.775980811882764,0.1955799997150898,0.1,100,0.05,5.027740001421421,-0.00500075239688158,8220.4775390625,0.24,0.99,880
50,4.5033866699039935,0.19877999982237815,0.1,100,0.05,5.126520001243799,-0.005000244826078415,8515.71484375,0.242,0.99,1060
51,4.777457374632359,0.19980000042170287,0.1,100,0.05,5.226320001665502,-0.0050008464604616165,8707.4736328125,0.258,0.98,1012
52,7.184622637726367,0.1982600001245737,0.1,100,0.05,5.324580001790076,-0.005000406410545111,19524.40234375,0.274,0.99,994
53,4.769463837906718,0.19921999998390674,0.1,100,0.05,5.423800001773983,-0.005001127254217863,7920.68017578125,0.248,1.0,988
54,4.728126055032015,0.19570000022649764,0.1,100,0.05,5.5195000020004805,-0.005000973120331764,7056.4912109375,0.236,0.99,956
55,5.226175356663764,0.19849999995529652,0.1,100,0.05,5.618000001955777,-0.005001505371183157,13886.5224609375,0.246,0.99,920
56,5.502879390623421,0.1992200000435114,0.1,100,0.05,5.717220001999289,-0.005000526551157236,12081.8935546875,0.248,1.0,918
57,3.9832998041771353,0.20266000005602836,0.1,100,0.05,5.819880002055317,-0.005002096761018038,6026.09423828125,0.25,1.0,1032
58,4.925246059753,0.19871999994665385,0.1,100,0.05,5.918600002001971,-0.00500177638605237,8701.34765625,0.254,0.99,922
59,4.782847673848272,0.19792000029981136,0.1,100,0.05,6.016520002301782,-0.00500143738463521,9504.94921875,0.234,0.99,912
60,4.36506828058511,0.20023999977111817,0.1,100,0.05,6.1167600020729,-0.005001986399292946,7608.77587890625,0.244,0.99,1102
61,4.845050107784569,0.2005399998128414,0.1,100,0.05,6.217300001885742,-0.005002408754080534,9926.5654296875,0.238,1.0,1026
62,4.656530096307397,0.2012399998009205,0.1,100,0.05,6.318540001686663,-0.005001493263989687,8250.5439453125,0.248,1.0,1010
63,5.253143036391586,0.19958000010252,0.1,100,0.05,6.418120001789183,-0.005001983139663935,10473.5400390625,0.24,1.0,1074
64,5.275546671487391,0.20063999989628792,0.1,100,0.05,6.518760001685471,-0.005002263933420181,10335.4716796875,0.244,1.0,1020
65,4.311285655707121,0.19957999993860723,0.1,100,0.05,6.618340001624078,-0.005002383608371019,7302.65673828125,0.242,1.0,1024
66,5.128358382470906,0.20234000028669835,0.1,100,0.05,6.720680001910776,-0.005001737270504236,10654.8505859375,0.246,1.0,928
67,4.691040599133819,0.2015,0.1,100,0.05,6.822180001910776,-0.005002250894904137,12936.87890625,0.24,1.0,1000
68,7.469787472337484,0.19780000011622906,0.1,100,0.05,6.919980002027005,-0.005002119578421116,21634.580078125,0.244,0.99,886
69,7.655761213894934,0.19904000027477742,0.1,100,0.05,7.019020002301782,-0.005001889541745186,23430.99609375,0.24,1.0,1054
70,7.0736535293459895,0.20016000017523766,0.1,100,0.05,7.1191800024770195,-0.005002515856176615,20011.83984375,0.248,1.0,948
71,5.413956981875002,0.2004399998486042,0.1,100,0.05,7.219620002325624,-0.005002953112125397,14933.728515625,0.258,1.0,918
72,5.220564437776804,0.1979000000655651,0.1,100,0.05,7.3175200023911895,-0.005002579186111689,9927.931640625,0.234,0.99,968
73,4.768182433526963,0.2029200001358986,0.1,100,0.05,7.420440002527088,-0.005002806894481182,9322.763671875,0.244,1.0,972
74,4.173377579405904,0.2013599999770522,0.1,100,0.05,7.52180000250414,-0.005003030877560377,8544.4697265625,0.25,0.99,1034
75,4.113567262604833,0.1962799998819828,0.1,100,0.05,7.618080002386122,-0.005003021564334631,5665.93896484375,0.246,1.0,1006
76,4.712519797056913,0.19965999984741212,0.1,100,0.05,7.717740002233534,-0.005002778489142656,8296.2001953125,0.25,1.0,994
77,4.68462161014229,0.19987999980151652,0.1,100,0.05,7.817620002035051,-0.005003022029995918,9435.2041015625,0.24,1.0,1024
78,5.429087675701827,0.19922000013291835,0.1,100,0.05,7.9168400021679695,-0.005003135651350021,15551.083984375,0.244,0.98,1004
79,5.106991107180715,0.20199999991059303,0.1,100,0.05,8.018840002078562,-0.005002955906093121,10115.5166015625,0.252,1.0,962
80,4.137890097815544,0.20370000042021275,0.1,100,0.05,8.122540002498775,-0.005003227852284908,6007.56591796875,0.254,1.0,966
81,6.873346866860985,0.19880000014603139,0.1,100,0.05,8.221340002644807,-0.005003105383366346,22521.19921875,0.244,1.0,1068
82,5.55771696870029,0.20013999985158443,0.1,100,0.05,8.321480002496392,-0.005003159865736961,10756.3681640625,0.24,1.0,938
83,7.527806874424219,0.2000800003260374,0.1,100,0.05,8.42156000282243,-0.005002908408641815,25063.3125,0.24,0.99,998
84,4.229615559875965,0.19930000013113022,0.1,100,0.05,8.52086000295356,-0.005002923309803009,7254.98388671875,0.24,1.0,958
85,5.053117579385638,0.20008000026643277,0.1,100,0.05,8.620940003219992,-0.005002726335078478,9541.16015625,0.25,1.0,902
86,5.033288278371096,0.19886000016331673,0.1,100,0.05,8.719800003383309,-0.0050029996782541275,12300.328125,0.234,1.0,864
87,4.598676152572036,0.19963999995589257,0.1,100,0.05,8.819440003339201,-0.0050029996782541275,8883.4765625,0.238,1.0,988
88,7.7941666668206455,0.20134000016748904,0.1,100,0.05,8.92078000350669,-0.005003522150218487,27595.240234375,0.244,1.0,976
89,7.430451515071094,0.19938000043481588,0.1,100,0.05,9.020160003941507,-0.005003100261092186,24637.59375,0.254,0.99,1012
90,5.603998376697302,0.20021999962627887,0.1,100,0.05,9.120380003567787,-0.0050031207501888275,15969.0556640625,0.248,1.0,1012
91,4.514078178361058,0.19682000014185905,0.1,100,0.05,9.217200003709646,-0.005003464873880148,7657.625,0.25,1.0,964
92,4.814713127113879,0.19823999997973443,0.1,100,0.05,9.31544000368938,-0.005002942401915789,9439.9267578125,0.242,0.99,960
93,5.846952328160405,0.20022000036388635,0.1,100,0.05,9.415660004053267,-0.005002928897738457,18199.216796875,0.242,1.0,1018
94,5.596099188383668,0.2025200000703335,0.1,100,0.05,9.5181800041236,-0.005003479775041342,16620.9375,0.246,0.99,1024
95,6.298352935973555,0.19652000062167643,0.1,100,0.05,9.614700004745277,-0.005003000609576702,18970.009765625,0.244,1.0,978
96,5.329241018101573,0.2009199997782707,0.1,100,0.05,9.715620004523547,-0.005003469996154308,8890.4345703125,0.244,1.0,928
97,5.412058573752642,0.2016199994087219,0.1,100,0.05,9.81724000393227,-0.005002959631383419,12473.7548828125,0.26,0.99,936
98,5.476242217034102,0.2043800001591444,0.1,100,0.05,9.921620004091414,-0.005003188271075487,11776.5595703125,0.246,1.0,1054
99,5.585319384559989,0.2009800003618002,0.1,100,0.05,10.022600004453214,-0.0050031691789627075,11988.68359375,0.276,1.0,1098
100,4.505158184684813,0.20137999971210957,0.1,100,0.05,10.123980004165324,-0.00500346627086401,6785.375,0.238,1.0,1002
101,4.842401010110974,0.19962000013887882,0.1,100,0.05,10.223600004304203,-0.005003688391298056,9679.263671875,0.234,1.0,978
102,5.740565655812621,0.19645999951660634,0.1,100,0.05,10.320060003820808,-0.005003875587135553,19440.447265625,0.25,1.0,974
103,6.2029844416752455,0.1989599998742342,0.1,100,0.05,10.419020003695042,-0.0050036171451210976,12451.32421875,0.26,1.0,980
104,7.669415156915784,0.19928000010550023,0.1,100,0.05,10.518300003800542,-0.005003668367862701,26868.296875,0.27,0.99,996
105,5.3583953522630035,0.19957999981939792,0.1,100,0.05,10.61788000361994,-0.00500351469963789,11020.8876953125,0.24,0.99,1014
106,5.072833935908974,0.1972800000309944,0.1,100,0.05,10.715160003650935,-0.005003571510314941,10078.0478515625,0.238,1.0,1052
107,5.382531508415937,0.20391999992728232,0.1,100,0.05,10.819080003578216,-0.005003827158361673,11421.755859375,0.248,1.0,1030
108,7.277454758539796,0.19981999984383583,0.1,100,0.05,10.918900003422053,-0.005003347061574459,28109.974609375,0.246,1.0,926
109,5.046622426424175,0.20217999976873396,0.1,100,0.05,11.021080003190786,-0.0050036367028951645,11488.8095703125,0.248,1.0,1022
110,4.601066262952983,0.20179999989271163,0.1,100,0.05,11.122880003083498,-0.005003532860428095,8115.80419921875,0.246,1.0,964
111,6.177840394031256,0.19657999989390373,0.1,100,0.05,11.219460002977401,-0.005003355443477631,20817.33984375,0.242,1.0,932
112,4.639130094915628,0.20150000008940697,0.1,100,0.05,11.320960003066808,-0.005004195962101221,5677.1650390625,0.238,1.0,1018
113,7.228079189136625,0.19960000002384184,0.1,100,0.05,11.42056000309065,-0.005003470927476883,25387.521484375,0.258,0.99,950
114,6.945170111358165,0.19981999959051608,0.1,100,0.05,11.520380002681165,-0.005003521218895912,24429.287109375,0.242,1.0,1022
115,6.190356574147939,0.2012599996328354,0.1,100,0.05,11.621640002314,-0.005003559403121471,12964.8740234375,0.258,1.0,978
116,5.427842632621527,0.19921999987959862,0.1,100,0.05,11.7208600021936,-0.005003753583878279,13020.03125,0.236,1.0,1034
117,7.072748680517077,0.20169999995082616,0.1,100,0.05,11.822560002144426,-0.005003633443266153,28896.87109375,0.24,1.0,1062
118,7.116395961314439,0.2048800002038479,0.1,100,0.05,11.927440002348273,-0.005003268830478191,25787.6484375,0.25,1.0,1012
119,4.415007477834821,0.19918000002205372,0.1,100,0.05,12.026620002370327,-0.00500317569822073,5121.28759765625,0.24,0.99,982
120,5.236211314689368,0.20138000005483628,0.1,100,0.05,12.128000002425164,-0.00500356825068593,10906.2958984375,0.232,1.0,1000
121,4.983097569037229,0.20176000007987022,0.1,100,0.05,12.229760002505035,-0.005003475118428469,10008.169921875,0.252,1.0,972
122,6.008206865034998,0.19880000002682208,0.1,100,0.05,12.328560002531857,-0.005004064179956913,12654.25,0.252,0.99,996
123,5.414341613434255,0.19712000015377998,0.1,100,0.05,12.425680002685636,-0.005003867205232382,17755.392578125,0.236,1.0,936
124,4.638766258139163,0.19592000007629395,0.1,100,0.05,12.52160000276193,-0.005003995727747679,10456.21875,0.238,0.99,1068
125,5.5758173665516075,0.20167999988794327,0.1,100,0.05,12.623280002649874,-0.005003893747925758,14488.666015625,0.25,1.0,928
126,4.255545661363751,0.20360000006854534,0.1,100,0.05,12.72688000271842,-0.005003615748137236,6204.376953125,0.256,1.0,1018
127,6.808023630134762,0.19936000023782252,0.1,100,0.05,12.826240002956244,-0.005003929603844881,24189.552734375,0.252,0.99,918
128,6.1221472728401425,0.19801999992132188,0.1,100,0.05,12.924260002877565,-0.0050038546323776245,11482.3681640625,0.248,1.0,1012
129,4.393333933472634,0.19744000007212162,0.1,100,0.05,13.021700002949686,-0.0050038606859743595,4959.23193359375,0.274,1.0,912
130,4.669120000779629,0.20263999953866005,0.1,100,0.05,13.124340002488346,-0.005003876984119415,6711.208984375,0.242,1.0,994
131,5.606952731560916,0.2013000000566244,0.1,100,0.05,13.22564000254497,-0.005004175938665867,15571.6396484375,0.252,1.0,936
132,4.471516767084599,0.20047999998927116,0.1,100,0.05,13.326120002534243,-0.005004270002245903,7371.43896484375,0.254,1.0,1056
133,4.328193544365465,0.19772000013291835,0.1,100,0.05,13.423840002667161,-0.005004160571843386,4348.94287109375,0.25,1.0,1036
134,5.611129685647786,0.19667999951541423,0.1,100,0.05,13.520520002182575,-0.0050035989843308926,11185.9296875,0.236,1.0,974
135,4.559414352275431,0.20065999998152256,0.1,100,0.05,13.621180002164097,-0.005003815516829491,7980.98095703125,0.264,1.0,992
136,5.983412919964642,0.20161999943852424,0.1,100,0.05,13.722800001602621,-0.005003645550459623,15784.5146484375,0.238,1.0,1076
137,4.478623234264552,0.1969599997550249,0.1,100,0.05,13.819760001357647,-0.005003856960684061,7367.5732421875,0.254,1.0,988
138,4.62824404142797,0.19851999992132188,0.1,100,0.05,13.91828000127897,-0.005003511440008879,8732.5673828125,0.246,1.0,1038
139,7.549074150603264,0.19881999976933,0.1,100,0.05,14.017100001048298,-0.0050036548636853695,34036.66796875,0.234,1.0,956
140,4.248517578192056,0.20322000017762185,0.1,100,0.05,14.12032000122592,-0.005003633908927441,5557.0712890625,0.246,1.0,1008
141,4.755490097723901,0.2012200005799532,0.1,100,0.05,14.221540001805874,-0.005004189442843199,6327.48291015625,0.248,1.0,1066
142,5.142165452599525,0.19740000000596047,0.1,100,0.05,14.318940001811834,-0.005003581754863262,11592.478515625,0.248,1.0,960
143,5.056050916790962,0.2010599998086691,0.1,100,0.05,14.420000001620503,-0.005003796424716711,10816.0283203125,0.25,1.0,970
144,4.355077575430274,0.1999400002360344,0.1,100,0.05,14.519940001856536,-0.005003423895686865,4774.23486328125,0.258,1.0,1020
145,5.886744445130229,0.20080000047385693,0.1,100,0.05,14.620740002330393,-0.005003596656024456,24359.9140625,0.246,1.0,1120
146,6.549042627315968,0.19890000009536743,0.1,100,0.05,14.719640002425761,-0.005004133563488722,23044.115234375,0.244,0.98,1004
147,5.212061804953962,0.19798000000417232,0.1,100,0.05,14.817620002429933,-0.005003900267183781,8425.841796875,0.238,1.0,1010
148,4.753389897286892,0.19956000001728535,0.1,100,0.05,14.91718000244722,-0.005003994330763817,7566.70458984375,0.256,1.0,968
149,5.3688246390149,0.1992800004929304,0.1,100,0.05,15.01646000294015,-0.0050038364715874195,13479.9716796875,0.236,1.0,944
150,4.291297574471682,0.1982199999988079,0.1,100,0.05,15.114680002938957,-0.005004371982067823,6074.01171875,0.254,0.99,956
151,4.928036165315658,0.2007000000476837,0.1,100,0.05,15.215380002986642,-0.0050035337917506695,4976.306640625,0.24,1.0,936
152,7.910853742681444,0.20046000021696092,0.1,100,0.05,15.315840003203602,-0.005004119127988815,36153.3046875,0.252,1.0,978
153,6.510694538421929,0.20115999983251096,0.1,100,0.05,15.417000003036113,-0.005003863479942083,18109.9453125,0.236,1.0,918
154,3.9772109070271253,0.20046000032126904,0.1,100,0.05,15.517460003357382,-0.005003783386200666,2777.6884765625,0.244,1.0,1072
155,5.663893121298402,0.19778000016510486,0.1,100,0.05,15.615240003522487,-0.00500370841473341,12258.8271484375,0.258,1.0,910
156,5.179396961968392,0.20099999982118608,0.1,100,0.05,15.716240003343673,-0.005003625992685556,13591.818359375,0.238,1.0,1016
157,5.317633735030889,0.19776000018417836,0.1,100,0.05,15.814000003527852,-0.005003950092941523,10275.9599609375,0.24,0.99,1032
158,6.48003899513185,0.19786000029742717,0.1,100,0.05,15.911860003825279,-0.00500399200245738,27837.716796875,0.232,1.0,1024
159,5.372008891753852,0.19790000015497208,0.1,100,0.05,16.00976000398025,-0.0050043342635035515,6235.427734375,0.246,1.0,974
160,4.689574545800686,0.19985999973118304,0.1,100,0.05,16.109620003711434,-0.005003807600587606,4798.9619140625,0.238,0.99,986
161,4.117975751802326,0.1982600001245737,0.1,100,0.05,16.207880003836006,-0.005004072096198797,4110.2470703125,0.25,0.99,1008
162,7.091201027698815,0.1998800003528595,0.1,100,0.05,16.307760004188864,-0.005003948230296373,29843.51171875,0.252,1.0,874
163,5.609950502172112,0.2025999998897314,0.1,100,0.05,16.410360004078594,-0.005004175007343292,8148.85009765625,0.248,1.0,962
164,6.475476165723055,0.20075999937951564,0.1,100,0.05,16.51112000345811,-0.005003722384572029,20089.3671875,0.25,1.0,976
165,5.126438178472221,0.20250000017881392,0.1,100,0.05,16.613620003636925,-0.005003752186894417,5614.3046875,0.248,1.0,994
166,5.1717905132323505,0.2026600000411272,0.1,100,0.05,16.71628000367805,-0.005003685597330332,5818.63818359375,0.234,1.0,986
167,4.620376160822809,0.1990799999833107,0.1,100,0.05,16.81536000366136,-0.005003802012652159,4382.669921875,0.24,1.0,1068
168,7.07341800333932,0.19847999981045722,0.1,100,0.05,16.91384000347182,-0.005004045087844133,28285.11328125,0.25,0.99,990
169,4.453847072377801,0.20066000033169984,0.1,100,0.05,17.01450000380352,-0.005003848113119602,3777.375244140625,0.244,1.0,1038
170,4.6887628307491545,0.19982000003755093,0.1,100,0.05,17.11432000384107,-0.005003893282264471,5158.11376953125,0.236,1.0,1014
171,5.44883453913033,0.2007000003308058,0.1,100,0.05,17.215020004171876,-0.0050037032924592495,11598.7978515625,0.24,1.0,944
172,5.550732720792293,0.2028600005507469,0.1,100,0.05,17.317880004722625,-0.005004246719181538,8620.2041015625,0.26,1.0,962
173,4.681277772963047,0.2001600002348423,0.1,100,0.05,17.41804000495747,-0.0050040180794894695,4890.3330078125,0.242,1.0,1020
174,6.457968281488865,0.2009600004851818,0.1,100,0.05,17.51900000544265,-0.005003388039767742,30207.36328125,0.26,0.99,920
175,6.4861599838733675,0.20211999990046026,0.1,100,0.05,17.62112000534311,-0.0050040497444570065,25379.126953125,0.244,1.0,976
176,5.760194524556399,0.20289999999105932,0.1,100,0.05,17.724020005334168,-0.005004101432859898,15360.7724609375,0.254,1.0,994
177,5.1899721275866035,0.199740000218153,0.1,100,0.05,17.82376000555232,-0.0050042299553751945,6580.888671875,0.268,1.0,974
178,4.963496170289814,0.20372000013291836,0.1,100,0.05,17.927480005685236,-0.005003601312637329,2425.796630859375,0.256,1.0,1052
179,4.67866585393995,0.20015999986231328,0.1,100,0.05,18.02764000554755,-0.0050038122572004795,7486.96923828125,0.26,1.0,972
180,4.979658386304974,0.20094000071287155,0.1,100,0.05,18.12858000626042,-0.0050041633658111095,4741.6630859375,0.248,1.0,928
181,4.836133739769458,0.2027000001370907,0.1,100,0.05,18.231280006397512,-0.005003758706152439,6612.0400390625,0.246,1.0,950
182,4.960881012156606,0.2004600003361702,0.1,100,0.05,18.331740006733682,-0.005004385020583868,10430.2353515625,0.242,1.0,1014
183,7.579873947605491,0.19796000005304815,0.1,100,0.05,18.42970000678673,-0.0050044856034219265,37653.18359375,0.254,1.0,926
184,5.205723837286234,0.19931999994814395,0.1,100,0.05,18.529020006734875,-0.005004061385989189,5214.4833984375,0.238,1.0,932
185,4.65962485653162,0.1987800000011921,0.1,100,0.05,18.627800006736067,-0.005003358703106642,3687.224609375,0.246,1.0,992
186,4.378038179725409,0.1957000001296401,0.1,100,0.05,18.723500006865706,-0.005004312377423048,4691.79345703125,0.262,0.99,1036
187,6.51158645759523,0.20310000002384185,0.1,100,0.05,18.82660000688955,-0.005004356149584055,25458.755859375,0.248,1.0,1094
188,4.364971515849232,0.1987799996882677,0.1,100,0.05,18.925380006577818,-0.005004316568374634,4282.0439453125,0.244,1.0,956
189,5.131260412544012,0.20049999994039536,0.1,100,0.05,19.025880006518214,-0.005003894213587046,2488.01904296875,0.254,1.0,944
190,4.814911721611396,0.19799999991059303,0.1,100,0.05,19.123880006428806,-0.005004061385989189,3651.28271484375,0.246,1.0,944
191,7.99454524988681,0.20059999998658895,0.1,100,0.05,19.224480006415394,-0.005003661382943392,46654.9921875,0.232,0.99,952
192,6.217463636517524,0.2044000001549721,0.1,100,0.05,19.328880006570365,-0.005003448110073805,6616.33447265625,0.24,1.0,1006
193,7.6880804129689935,0.20031999996304511,0.1,100,0.05,19.42920000653341,-0.005004257429391146,41350.9765625,0.248,1.0,1058
194,4.161803029607982,0.20154000005126,0.1,100,0.05,19.53074000658467,-0.005002995021641254,3092.836181640625,0.238,0.99,978
195,4.655019601397217,0.20006000018119813,0.1,100,0.05,19.630800006765867,-0.005003535654395819,2711.840576171875,0.244,1.0,914
196,4.6076903065517545,0.20002000047266483,0.1,100,0.05,19.73082000723853,-0.005004136823117733,3403.044189453125,0.252,1.0,1030
197,5.003867889586836,0.20124000009894372,0.1,100,0.05,19.832060007337475,-0.005004565697163343,5752.13916015625,0.244,1.0,968
198,5.077416361220181,0.20321999977529048,0.1,100,0.05,19.935280007112766,-0.00500399200245738,4712.40283203125,0.24,1.0,1004
199,7.144807475216687,0.20029999988526107,0.1,100,0.05,20.03558000699803,-0.005003693979233503,46068.7109375,0.234,0.99,1056
200,4.482360210768879,0.19700000002980234,0.1,100,0.05,20.13258000702783,-0.005004493054002523,2879.678466796875,0.246,0.99,960
201,4.587418175049126,0.20132000006735326,0.1,100,0.05,20.233900007095183,-0.005004118196666241,7186.701171875,0.25,0.99,1000
202,4.777091714255512,0.19888000006228684,0.1,100,0.05,20.33278000715747,-0.005004268139600754,4562.55078125,0.226,1.0,958
203,4.434906667143107,0.20089999990165233,0.1,100,0.05,20.433680007059124,-0.005003782454878092,6935.18017578125,0.242,1.0,930
204,6.117918780222535,0.20027999974787236,0.1,100,0.05,20.533960006806996,-0.005003809928894043,24062.23828125,0.25,1.0,994
205,4.799447886087,0.20180000008642673,0.1,100,0.05,20.635760006893424,-0.005004659295082092,4354.26171875,0.258,1.0,976
206,7.022091927684843,0.20304000028967858,0.1,100,0.05,20.7388000071831,-0.005003893747925758,33170.08984375,0.238,1.0,992
207,4.359011312454939,0.19786000020802022,0.1,100,0.05,20.83666000739112,-0.00500368932262063,2311.25048828125,0.244,1.0,1102
208,5.761495160587132,0.19962000019848347,0.1,100,0.05,20.936280007589605,-0.005004057660698891,10692.69921875,0.238,0.99,920
209,4.495744043968618,0.1988399996906519,0.1,100,0.05,21.035120007280256,-0.005003643222153187,5347.13623046875,0.244,1.0,1020
210,6.394258798904717,0.1984800000861287,0.1,100,0.05,21.133600007366383,-0.005003771744668484,16788.90625,0.24,0.99,970
