episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,alpha_raw,alpha_kappa,q_base_mean,q_base_std,q_base_min,q_base_max,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,12.487177776694297,0.10549999987334013,0.10274999993667007,0.1,0.002749999936670064,0.027499996616700977,0.0,0.1036248654127121,0.0,0.0,False,8.496093641952029e-07,441.22296142578125,0.33235305547714233,4.007354448276601e-08,0.0,-4.6386719532165444e-07,0.9999998211860657,4.280756950378418,0.0,0.0,0.0,2.5887055016937666e-05,0.0,0.0,100,0.2,0.158,0.01,970,-0.4339420199394226,0.49953198432922363,0.1036248654127121,0.010729278437793255,0.08332529664039612,0.1303349882364273,0.9982428435169826,0.1036248654127121,0.010729278437793255,0.08332529664039612,0.08981857001781515,0.10314986109733582,0.11780473589897156,0.1303349882364273,0.01072927750647068,0.010729278437793255,0.010729390196502209
1,24.232198802426456,0.09855999968200922,0.10065499980933965,0.1,0.0006549998093396403,0.006549997438396659,0.0,0.10002011060714722,0.0,0.0,False,-3.12499992105586e-07,1840.87451171875,0.3240327835083008,-1.3404905985225923e-07,0.0,1.2207030941624453e-08,0.9999999403953552,2.4980809688568115,0.0,0.0,0.0,0.00026487611467018723,0.0,0.0,100,0.2,0.154,0.01,904,-0.43319857120513916,0.4998244047164917,0.10002011060714722,0.014242537319660187,0.08333966135978699,0.13030323386192322,0.9980003978181227,0.10002011060714722,0.014242537319660187,0.08333966135978699,0.08333966135978699,0.09729249775409698,0.13030323386192322,0.13030323386192322,0.014242534525692463,0.014242537319660187,0.014242407865822315
2,11.916895750433207,0.09811999997124075,0.09938749989029019,0.1,-0.0006125001097098126,-0.006125000484598078,0.0,0.10043476521968842,0.0,0.0,False,-5.56640600279934e-07,394.2668762207031,0.32520249485969543,1.3251751695975145e-08,0.0,2.636718647863745e-07,0.9999997615814209,4.665428161621094,0.0,0.0,0.0,0.00016045322990976274,0.0,0.0,100,0.2,0.154,0.01,1070,-0.43219003081321716,0.5002211928367615,0.10043476521968842,0.012449076399207115,0.0833306610584259,0.13032308220863342,0.9979454983769791,0.10043476521968842,0.012449076399207115,0.0833306610584259,0.08574819564819336,0.0982697457075119,0.1159381389617876,0.13032308220863342,0.012449076399207115,0.012449076399207115,0.012448970228433609
3,13.189852533459664,0.09845999997109174,0.09892374993069097,0.1,-0.0010762500693090316,-0.010762499616840353,0.0,0.09981933236122131,0.0,0.0,False,-1.8554688097083272e-07,488.0855407714844,0.32390254735946655,8.690491171137182e-08,0.0,9.765624753299562e-08,0.9999998211860657,4.315965175628662,0.0,0.0,0.0,9.238250640919432e-05,0.0,0.0,100,0.2,0.144,0.0,1058,-0.4312124252319336,0.500606119632721,0.09981933236122131,0.01193949580192566,0.08331850171089172,0.13034996390342712,0.9979195998001974,0.09981933236122131,0.01193949580192566,0.08331850171089172,0.08331850171089172,0.09900310635566711,0.11461648643016299,0.13034996390342712,0.011939494870603085,0.01193949580192566,0.011939441785216331
4,14.450234906256199,0.09993999986350537,0.09943187489709818,0.1,-0.0005681251029018286,-0.00568125046089324,0.0,0.10143137723207474,0.0,0.0,False,3.906249901319825e-08,595.4111938476562,0.32742807269096375,2.5402307812782965e-08,0.0,-1.1718749703959475e-07,0.9999997615814209,3.77249813079834,0.0,0.0,0.0,0.0002662693150341511,0.0,0.0,100,0.2,0.138,0.0,940,-0.4310348331928253,0.5006760954856873,0.10143137723207474,0.011961390264332294,0.0833066999912262,0.13037610054016113,0.9985664459421807,0.10143137723207474,0.011961390264332294,0.0833066999912262,0.0833066999912262,0.10241308808326721,0.11427292227745056,0.13037610054016113,0.01196138933300972,0.011961390264332294,0.011961384676396847
5,15.437586066931486,0.10131999986246228,0.10037593737978023,0.1,0.0003759373797802279,0.003759373421864937,0.0,0.10183596611022949,0.0,0.0,False,-4.1015624674400897e-07,681.84619140625,0.3284423351287842,2.8640478433317185e-08,0.0,1.6113281731122697e-07,0.9999998211860657,3.6739015579223633,0.0,0.0,0.0,0.00025636135251261294,0.0,0.0,100,0.2,0.148,0.0,954,-0.4315410256385803,0.5004767179489136,0.10183596611022949,0.01100509986281395,0.08330458402633667,0.13038083910942078,0.9979677558982658,0.10183596611022949,0.01100509986281395,0.08330458402633667,0.08715678453445462,0.10078087449073792,0.11312005519866182,0.13038083910942078,0.0110050980001688,0.01100509986281395,0.011005205102264881
6,13.3616418069005,0.09921999983489513,0.09979796860733768,0.1,-0.00020203139266232462,-0.0020203137245918736,0.0,0.10000725835561752,0.0,0.0,False,-1.2695312534560799e-07,497.7458801269531,0.3245265483856201,-6.009683062302429e-08,0.0,2.78320300139967e-07,0.9999997615814209,4.091892242431641,0.0,0.0,0.0,0.00011755550076486543,0.0,0.0,100,0.2,0.148,0.0,1064,-0.4322400689125061,0.5002015233039856,0.10000725835561752,0.010263216681778431,0.08331069350242615,0.13036730885505676,0.998102586297285,0.10000725835561752,0.010263216681778431,0.08331069350242615,0.08821463584899902,0.09801743179559708,0.11063362061977228,0.13036730885505676,0.010263217613101006,0.010263216681778431,0.010263225063681602
7,14.031465456038713,0.10123999992758036,0.10051898426745902,0.1,0.0005189842674590134,0.005189842155605918,0.0,0.09831594675779343,0.0,0.0,False,-4.882812376649781e-08,543.3336791992188,0.32026946544647217,-5.608528752532038e-08,0.0,1.416015606992005e-07,0.9999997615814209,4.370354652404785,0.0,0.0,0.0,0.00019210735626984388,0.0,0.0,100,0.2,0.17,0.01,976,-0.43307068943977356,0.49987465143203735,0.09831594675779343,0.014146103523671627,0.08331914246082306,0.13034868240356445,0.9983897228151943,0.09831594675779343,0.014146103523671627,0.08331914246082306,0.08331915736198425,0.09432386234402657,0.12008056044578552,0.13034868240356445,0.014146102592349052,0.014146103523671627,0.01414601132273674
8,17.529813118368388,0.0984999997727573,0.09950949202010816,0.1,-0.0004905079798918494,-0.004905079308410562,0.0,0.09888439625501633,0.0,0.0,False,2.1484375167801772e-07,876.1561889648438,0.3219815194606781,-1.9023270070306353e-08,0.0,1.416015606992005e-07,0.9999999403953552,3.6205387115478516,0.0,0.0,0.0,8.5928413682268e-06,0.0,0.0,100,0.2,0.144,0.0,922,-0.4337657690048218,0.499601274728775,0.09888439625501633,0.01074683666229248,0.0833292007446289,0.13032647967338562,0.9982009455285293,0.09888439625501633,0.01074683666229248,0.0833292007446289,0.0833292007446289,0.09993022680282593,0.11071776449680028,0.13032647967338562,0.01074683666229248,0.01074683666229248,0.010747058317065239
9,13.375434139311313,0.0989599999897182,0.09923474600491318,0.1,-0.0007652539950868259,-0.007652539185614341,0.0,0.09938327968120575,0.0,0.0,False,3.613281194247975e-07,483.2911682128906,0.3230033218860626,-5.117028933909751e-08,0.0,-1.416015606992005e-07,0.9999998211860657,4.651909351348877,0.0,0.0,0.0,4.869003896601498e-05,0.0,0.0,100,0.2,0.146,0.0,972,-0.43431276082992554,0.4993862211704254,0.09938327968120575,0.011492352932691574,0.08333754539489746,0.13030794262886047,0.9978693895408567,0.09938327968120575,0.011492352932691574,0.08333754539489746,0.08536839485168457,0.09881243109703064,0.11352638006210211,0.13030794262886047,0.011492352932691574,0.011492352932691574,0.011492226272821426
