slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,3.305959595959596,10.0,8.0,9.0,8.755555555555556,75.0669696969697,7,48,7,223,519,0.0,0.0,0.0,4.7824,10.0,4.8992,9.0,3.305959595959596,10.0,0.0
110,3.29010101010101,11.0,8.0,10.0,9.16161616161616,76.52454545454546,9,52,9,251,573,0.0,0.0,0.0,4.472,11.0,5.4308,10.0,3.29010101010101,11.0,0.0
120,3.426767676767677,12.0,9.0,11.0,9.787878787878787,80.13868686868688,6,48,6,125,225,0.0,0.0,0.0,4.8832,12.0,5.7632,11.0,3.426767676767677,12.0,0.0
130,3.6671717171717173,13.0,9.0,12.0,10.468686868686868,83.71010101010101,13,49,12,55,93,0.0,0.0,0.0,5.008,13.0,6.1972,12.0,3.6671717171717173,13.0,0.0
140,3.9143434343434342,14.0,9.0,11.0,10.731313131313131,87.82919191919191,14,37,12,184,448,0.0,0.0,0.0,5.0584,14.0,6.768,13.0,3.9143434343434342,14.0,0.0
150,3.912020202020202,14.0,9.0,11.0,10.567676767676767,90.27484848484849,13,55,12,245,714,0.0,0.0,0.0,4.924,14.0,6.9712,13.0,3.912020202020202,14.0,0.0
160,3.985353535353535,14.0,9.0,12.0,10.929292929292929,94.51222222222222,7,35,7,191,419,0.0,0.0,0.0,4.912,14.0,7.1472,13.0,3.985353535353535,14.0,0.0
170,3.7822222222222224,13.0,10.0,12.0,10.965656565656566,92.80292929292929,10,54,10,394,792,0.0,0.0,0.0,4.6232,10.0,6.8612,13.0,3.7822222222222224,13.0,0.0
180,3.5316161616161614,14.0,9.0,11.010000000000218,10.393939393939394,90.94585858585859,8,42,8,336,982,0.0,0.0,0.0,4.7288,12.0,6.3404,14.0,3.5316161616161614,14.0,0.0
190,3.5922222222222224,13.0,9.0,12.0,10.848484848484848,92.61747474747474,8,42,8,185,373,0.0,0.0,0.0,4.946,13.0,6.4736,13.0,3.5922222222222224,13.0,0.0
200,3.558080808080808,14.0,10.0,12.0,10.868686868686869,91.30151515151515,9,33,8,548,1350,0.0,0.0,0.0,4.83,13.0,6.0792,14.0,3.558080808080808,14.0,0.0
210,3.441010101010101,14.0,9.0,12.0,10.94141414141414,88.83929292929292,10,58,10,592,1439,0.0,0.0,0.0,4.4028,13.0,6.2016,14.0,3.441010101010101,14.0,0.0
220,3.3092929292929294,14.0,9.0,13.0,10.991919191919193,86.17454545454545,10,52,10,138,238,0.0,0.0,0.0,4.1232,14.0,6.1744,14.0,3.3092929292929294,14.0,0.0
230,3.0805050505050504,15.0,8.0,11.0,10.341414141414141,82.32010101010101,15,39,11,451,1129,0.0,0.0,0.0,3.5076,12.0,5.9384,15.0,3.0805050505050504,15.0,0.0
240,3.1453535353535353,12.0,8.0,11.0,10.064646464646465,82.12616161616161,11,35,7,155,243,0.0,0.0,0.0,3.4304,9.0,6.1152,12.0,3.1453535353535353,12.0,0.0
250,3.1885858585858586,13.0,9.0,11.010000000000218,10.507070707070707,83.4760606060606,15,32,13,205,349,0.0,0.0,0.0,3.3868,10.0,6.4952,13.0,3.1885858585858586,13.0,0.0
260,3.133232323232323,14.0,9.0,13.0,11.37979797979798,82.7670707070707,6,41,6,468,1216,0.0,0.0,0.0,3.4784,12.0,5.9776,14.0,3.133232323232323,14.0,0.0
270,2.9395959595959598,14.0,9.0,14.0,11.216161616161616,80.66777777777777,9,51,8,388,1405,0.0,0.0,0.0,3.5772,13.0,5.176,14.0,2.9395959595959598,14.0,0.0
280,2.867070707070707,14.0,7.0,14.0,10.072727272727272,77.68616161616161,11,38,11,227,961,0.0,0.0,0.0,3.9568,9.0,3.8616,14.0,2.867070707070707,14.0,0.0
