checkpoint_episode,checkpoint_label,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,grid_update_probability,grid_alpha,curvature_center
0,u=0.05_alpha=0.10,v00,nn,100,500,0.05,0.1,0.09989587962627411,0.09989587962627411,3.436090303030301,0.10142,0.09989587962627411,0.0023574407678097486,0.09644359350204468,0.09729833304882061,0.09927307069301605,0.10335811972618103,0.1055164560675621,0.0023574407678097486,0.0023574407678097486,0.0023574873339384794,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v00,fixed_random,100,500,0.05,0.1,0.09989587962627411,0.1,3.70619919191919,0.09913999999999999,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v00,matched_random,100,500,0.05,0.1,0.09989587962627411,0.09989587962627411,3.5452016161616138,0.10132,0.09989587962627411,0.0,0.09989587962627411,0.09989587962627411,0.09989587962627411,0.09989587962627411,0.09989587962627411,1.4901161193847656e-08,0.0,7.450580596923828e-09,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v01,nn,100,500,0.05,0.1,0.10024704039096832,0.10024704039096832,3.5069076767676766,0.09922,0.10024704039096832,0.0024337677750736475,0.09644359350204468,0.09731858968734741,0.09998603165149689,0.10351097583770752,0.10551643371582031,0.0024337677750736475,0.0024337677750736475,0.0024338120128959417,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v01,fixed_random,100,500,0.05,0.1,0.10024704039096832,0.1,3.5939571717171708,0.10002000000000001,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v01,matched_random,100,500,0.05,0.1,0.10024704039096832,0.10024704039096832,3.6214204040404043,0.10076,0.10024703294038773,7.450580596923828e-09,0.10024704039096832,0.10024704039096832,0.10024704039096832,0.10024704039096832,0.10024704039096832,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v02,nn,100,500,0.05,0.1,0.09989175945520401,0.09989175945520401,3.486725050505054,0.10108,0.09989175945520401,0.0023584049195051193,0.09644359350204468,0.09644359350204468,0.09965160489082336,0.10296991467475891,0.10551643371582031,0.0023584049195051193,0.0023584049195051193,0.002358530182391405,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v02,fixed_random,100,500,0.05,0.1,0.09989175945520401,0.1,3.7424430303030305,0.10114000000000001,0.10000000894069672,7.450580596923828e-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v02,matched_random,100,500,0.05,0.1,0.09989175945520401,0.09989175945520401,3.740539393939393,0.09968,0.0998917669057846,7.450580596923828e-09,0.09989175945520401,0.09989175945520401,0.09989175945520401,0.09989175945520401,0.09989175945520401,7.450580596923828e-09,7.450580596923828e-09,0.0,0.05,0.1,0.4015509259807487
0,u=0.05_alpha=0.10,v03,nn,100,500,0.05,0.1,0.10004308819770813,0.10004308819770813,3.8999353535353545,0.10122,0.10004308819770813,0.0021120968740433455,0.09644359350204468,0.09727077484130886,0.0999860167503357,0.10241147875785828,0.10551643371582031,0.0021120968740433455,0.0021120968740433455,0.002112177899107337,0.05,0.1,0.4015509259807487
