slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,12.480404040404041,29.0,26.0,28.0,27.517171717171717,64.83333333333333,6,42,6,316,1852,0.0,0.0,0.0,18.2108,29.0,17.7244,29.0,12.480404040404041,29.0,0.0
110,13.224444444444444,32.0,27.0,30.0,29.412121212121214,68.06646464646465,9,42,9,511,2918,0.0,0.0,0.0,19.2192,32.0,19.8928,31.0,13.224444444444444,32.0,0.0
120,13.608686868686869,34.0,29.0,34.0,31.276767676767676,70.17323232323233,6,42,6,86,269,0.0,0.0,0.0,20.918,34.0,20.7392,32.0,13.608686868686869,34.0,0.0
130,13.913131313131313,35.0,30.0,35.0,32.70505050505051,70.91484848484849,13,45,12,83,271,0.0,0.0,0.0,21.7576,35.0,20.3924,34.0,13.913131313131313,35.0,0.0
140,13.092020202020201,38.0,31.0,35.0,33.604040404040404,67.39181818181818,14,43,11,284,1811,0.0,0.0,0.0,19.2704,38.0,20.7872,37.0,13.092020202020201,38.0,0.0
150,13.117676767676768,39.0,30.0,37.0,34.339393939393936,68.48868686868687,13,53,13,426,3468,0.0,0.0,0.0,18.6952,39.0,21.7232,39.0,13.117676767676768,39.0,0.0
160,13.486666666666666,44.0,31.0,38.0,35.0989898989899,71.04858585858585,7,32,7,151,599,0.0,0.0,0.0,19.4176,38.0,22.21,44.0,13.486666666666666,44.0,0.0
170,13.746363636363636,47.0,31.0,40.0,35.38383838383838,73.82484848484849,10,41,9,336,1846,0.0,0.0,0.0,19.8856,40.0,22.5428,47.0,13.746363636363636,47.0,0.0
180,13.708787878787879,42.0,30.0,35.07000000000153,35.16565656565657,74.22666666666667,8,35,8,167,983,0.0,0.0,0.0,19.6688,42.0,22.1708,35.0,13.708787878787879,42.0,0.0
190,13.174747474747475,43.0,32.0,38.05000000000109,36.054545454545455,72.08848484848485,8,35,8,405,2097,0.0,0.0,0.0,18.806,43.0,20.6912,38.0,13.174747474747475,43.0,0.0
200,12.697878787878787,44.0,31.0,40.04000000000087,36.395959595959596,69.30151515151515,10,35,9,726,5739,0.0,0.0,0.0,19.4732,44.0,17.3768,40.0,12.697878787878787,44.0,0.0
210,10.803131313131313,45.0,25.0,43.02000000000044,32.45454545454545,59.40878787878788,10,50,10,736,4983,0.0,0.0,0.0,15.3376,45.0,15.112,43.0,10.803131313131313,45.0,0.0
220,10.464646464646465,47.0,24.0,33.140000000003056,30.763636363636362,57.63484848484848,10,47,10,418,2074,0.0,0.0,0.0,14.9888,47.0,14.3876,30.0,10.464646464646465,47.0,0.0
230,10.056161616161615,48.0,23.0,35.13000000000284,30.305050505050506,54.693333333333335,16,43,11,676,3659,0.0,0.0,0.0,14.468,48.0,13.8052,35.0,10.056161616161615,48.0,0.0
240,10.087171717171717,49.0,23.0,35.140000000003056,30.402020202020203,53.67858585858586,11,35,10,377,2133,0.0,0.0,0.0,15.014,49.0,13.0056,32.0,10.087171717171717,49.0,0.0
250,10.128989898989898,50.0,24.0,33.17000000000371,31.234343434343433,54.30595959595959,15,37,13,422,2346,0.0,0.0,0.0,14.696,50.0,14.0832,28.0,10.128989898989898,50.0,0.0
260,10.211717171717172,53.0,24.0,30.23000000000502,32.61010101010101,55.138585858585856,6,33,6,252,1240,0.0,0.0,0.0,13.8356,53.0,14.8624,29.0,10.211717171717172,53.0,0.0
270,10.590202020202021,56.0,22.0,32.24000000000524,34.01616161616162,57.657878787878786,9,43,8,242,1215,0.0,0.0,0.0,15.53,56.0,13.8064,32.0,10.590202020202021,56.0,0.0
280,11.356161616161616,59.0,23.0,35.24000000000524,35.14545454545455,60.8979797979798,11,36,10,147,688,0.0,0.0,0.0,16.8952,59.0,13.9376,34.0,11.356161616161616,59.0,0.0
290,11.379393939393939,61.0,24.0,36.25000000000546,35.78989898989899,61.11989898989899,8,37,7,396,2395,0.0,0.0,0.0,18.2304,61.0,12.7468,34.0,11.379393939393939,61.0,0.0
300,11.432222222222222,64.0,26.0,37.27000000000589,36.83030303030303,62.467373737373734,13,43,12,508,3131,0.0,0.0,0.0,18.8796,64.0,12.1676,36.0,11.432222222222222,64.0,0.0
310,11.453131313131314,69.0,25.0,42.27000000000589,37.25858585858586,61.51989898989899,8,36,8,344,1597,0.0,0.0,0.0,18.5092,69.0,12.1244,24.0,11.453131313131314,69.0,0.0
320,11.905757575757576,71.0,25.0,43.28000000000611,37.62626262626262,64.55343434343435,5,30,5,210,1846,0.0,0.0,0.0,18.8048,71.0,13.4948,26.0,11.905757575757576,71.0,0.0
330,11.62020202020202,73.0,24.0,32.41000000000895,35.82020202020202,64.29515151515152,10,39,8,250,1527,0.0,0.0,0.0,18.9412,73.0,14.1392,26.0,11.62020202020202,73.0,0.0
340,12.262424242424242,77.0,25.0,34.430000000009386,38.49292929292929,67.86969696969697,4,27,4,275,2039,0.0,0.0,0.0,19.7108,77.0,15.4572,29.0,12.262424242424242,77.0,0.0
350,12.921717171717171,79.0,27.0,36.430000000009386,39.86666666666667,71.07363636363637,13,44,13,310,1537,0.0,0.0,0.0,20.4352,79.0,16.95,30.0,12.921717171717171,79.0,0.0
360,12.863939393939393,85.0,28.0,40.45000000000982,42.474747474747474,70.06525252525253,13,51,13,408,2176,0.0,0.0,0.0,20.4612,85.0,17.7248,35.0,12.863939393939393,85.0,0.0
370,12.79010101010101,87.0,27.0,43.440000000009604,42.35353535353536,69.54020202020202,12,47,12,425,2812,0.0,0.0,0.0,18.6364,87.0,19.3176,38.0,12.79010101010101,87.0,0.0
380,13.575656565656566,91.0,31.0,47.440000000009604,44.624242424242425,73.51353535353536,19,48,17,338,1561,0.0,0.0,0.0,19.1152,91.0,21.2016,40.0,13.575656565656566,91.0,0.0
