checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,node_count
160,n050_s00,nn,50,200,0.2,0.1,0.09951295703649521,0.09951295703649521,4.249881632653063,0.1003,0.09951295703649521,0.059063397347927094,0.025894343852996826,0.03401075303554535,0.08744935691356659,0.18263622820377348,0.31653380393981934,0.057865556329488754,0.059063397347927094,0.020992465317249298,community,curvature,50
160,n050_s00,matched_random,50,200,0.2,0.1,0.09951295703649521,0.09951295703649521,6.015706122448982,0.1005,0.09951294213533401,1.4901161193847656e-08,0.09951295703649521,0.09951295703649521,0.09951295703649521,0.09951295703649521,0.09951295703649521,0.0,1.4901161193847656e-08,7.450580596923828e-09,community,curvature,50
160,n050_s01,nn,50,200,0.2,0.1,0.10584453493356705,0.10584453493356705,3.8479142857142845,0.1108,0.10584453493356705,0.06385456025600433,0.025962769985198975,0.038002905249595646,0.09205354750156403,0.188556843996048,0.3969045877456665,0.06255009025335312,0.06385456025600433,0.022068485617637634,community,curvature,50
160,n050_s01,matched_random,50,200,0.2,0.1,0.10584453493356705,0.10584453493356705,4.888581632653061,0.1025,0.10584453493356705,0.0,0.10584453493356705,0.10584453493356705,0.10584453493356705,0.10584453493356705,0.10584453493356705,0.0,0.0,0.0,community,curvature,50
160,n050_s02,nn,50,200,0.2,0.1,0.10526113212108612,0.10526113212108612,4.3651040816326505,0.1072,0.10526113212108612,0.06281918287277222,0.025854289531707764,0.03614120483398438,0.08913850784301758,0.1995285362005234,0.3263222575187683,0.06154091656208038,0.06281918287277222,0.021991638466715813,community,curvature,50
160,n050_s02,matched_random,50,200,0.2,0.1,0.10526113212108612,0.10526113212108612,5.547467346938775,0.1038,0.10526111721992493,1.4901161193847656e-08,0.10526113212108612,0.10526113212108612,0.10526113212108612,0.10526113212108612,0.10526113212108612,1.4901161193847656e-08,1.4901161193847656e-08,7.450580596923828e-09,community,curvature,50
160,n050_s03,nn,50,200,0.2,0.1,0.10969723016023636,0.10969723016023636,3.598438775510203,0.11109999999999999,0.10969723016023636,0.06695368140935898,0.02580377459526062,0.038353648781776425,0.09592252969741821,0.19855429828166962,0.40084582567214966,0.0656110867857933,0.06695368140935898,0.026412280276417732,community,curvature,50
160,n050_s03,matched_random,50,200,0.2,0.1,0.10969723016023636,0.10969723016023636,5.006677551020408,0.1085,0.10969723016023636,0.0,0.10969723016023636,0.10969723016023636,0.10969723016023636,0.10969723016023636,0.10969723016023636,7.450580596923828e-09,0.0,0.0,community,curvature,50
160,n050_s04,nn,50,200,0.2,0.1,0.11122674494981766,0.11122674494981766,4.240306122448979,0.1056,0.11122674494981766,0.06604182720184326,0.02600798010826111,0.038697198033332825,0.09834341704845428,0.20725437104702,0.39885151386260986,0.06445679813623428,0.06604182720184326,0.02340523526072502,community,curvature,50
160,n050_s04,matched_random,50,200,0.2,0.1,0.11122674494981766,0.11122674494981766,5.2612571428571435,0.1124,0.11122676730155945,2.2351741790771484e-08,0.11122674494981766,0.11122674494981766,0.11122674494981766,0.11122674494981766,0.11122674494981766,7.450580596923828e-09,2.2351741790771484e-08,7.450580596923828e-09,community,curvature,50
