topology_seed,channel_seed,update_seed,mean_VAoI,avg_tx_per_slot,actual_tx_ratio,mean_action_probability,slots,warmup_slots
0,0,0,6.971920361509831,10.473684210526315,0.10473684210526316,0.10346446019999683,1000,50
1,0,0,7.604707177033488,9.561052631578947,0.09561052631578948,0.0970491106440872,1000,50
2,0,0,7.13349548112706,9.708421052631579,0.09708421052631579,0.09800223732084036,1000,50
3,0,0,7.216271664008509,9.688421052631579,0.0968842105263158,0.09644862638298422,1000,50
4,0,0,6.824669218500796,9.68,0.0968,0.09648950650740415,1000,50
