topology,topology_label,scenario_id,model_key,model_label,source,policy,node_count,slots,update_probability,target_tx_ratio,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std
community,Community topology,u0.10_s02,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.9743622222222177,0.12683999999999998,0.1265546828508377,0.08081766963005066
community,Community topology,u0.10_s03,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,3.2862408080808065,0.12534,0.1250505894422531,0.08014246821403503
community,Community topology,u0.10_s04,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.802859797979798,0.1259,0.1277429163455963,0.08101862668991089
random,Random-geometric topology,u0.10_s00,baseline_curvature,Existing curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.1945466666666693,0.12712,0.12650756537914276,0.08567618578672409
random,Random-geometric topology,u0.10_s00,matched_random,Matched random,existing_u10_sweep,matched_random,100,500,0.1,0.1,2.7938892929292956,0.1283,0.12650753557682037,2.9802322387695312e-08
random,Random-geometric topology,u0.10_s01,baseline_curvature,Existing curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.3353171717171746,0.1304,0.1297101229429245,0.08899472653865814
random,Random-geometric topology,u0.10_s01,matched_random,Matched random,existing_u10_sweep,matched_random,100,500,0.1,0.1,2.9741537373737383,0.12932,0.1297100931406021,2.9802322387695312e-08
random,Random-geometric topology,u0.10_s02,baseline_curvature,Existing curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.5056618181818178,0.12279999999999999,0.12443597614765167,0.08726239204406738
random,Random-geometric topology,u0.10_s02,matched_random,Matched random,existing_u10_sweep,matched_random,100,500,0.1,0.1,3.3627561616161623,0.1234,0.12443599849939346,2.2351741790771484e-08
random,Random-geometric topology,u0.10_s03,baseline_curvature,Existing curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.60023717171717,0.12576,0.12701208889484406,0.08933631330728531
random,Random-geometric topology,u0.10_s03,matched_random,Matched random,existing_u10_sweep,matched_random,100,500,0.1,0.1,3.5553175757575777,0.12616,0.12701210379600525,1.4901161193847656e-08
random,Random-geometric topology,u0.10_s04,baseline_curvature,Existing curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.3550478787878784,0.12694,0.12638039886951447,0.08483053743839264
random,Random-geometric topology,u0.10_s04,matched_random,Matched random,existing_u10_sweep,matched_random,100,500,0.1,0.1,2.8948913131313123,0.12834,0.12638041377067566,1.4901161193847656e-08
random,Random-geometric topology,u0.10_s00,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.2287692929292913,0.12428,0.12419699132442474,0.08297709375619888
random,Random-geometric topology,u0.10_s01,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.3453913131313135,0.12359999999999999,0.12476066499948502,0.08273199945688248
random,Random-geometric topology,u0.10_s02,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.6598583838383822,0.12202,0.12199467420578003,0.08204948157072067
random,Random-geometric topology,u0.10_s03,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.82324505050505,0.12087999999999999,0.12183777987957001,0.08190414309501648
random,Random-geometric topology,u0.10_s04,no_curvature,No-curvature MPNN,existing_u10_sweep,nn,100,500,0.1,0.1,2.304616767676768,0.12318,0.12432003021240234,0.08276548981666565
