actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,candidate_id,dynamic_repeat_index,evaluated_on_full,evaluation_phase,mean_VAoI,mean_tail_VAoI,phase,phase_slots,search_probability_mean,topology_index
0.10183999999999999,0.5,0.1,-2.40716552734375,6,0,True,full,5.831803838383847,16.23173333333333,coarse,500,0.10080432296344047,0
0.10108,0.5,0.1,-2.40716552734375,6,1,True,full,6.122210909090912,16.730335353535356,coarse,500,0.10080432296344047,0
0.09748,0.5,0.1,-2.40716552734375,6,0,True,full,6.758006666666672,17.647208080808067,coarse,500,0.10035953705901239,1
0.1027,0.5,0.1,-2.40716552734375,6,1,True,full,6.652366060606058,17.232828282828287,coarse,500,0.10035953705901239,1
0.1024,0.5,0.1,-2.40716552734375,6,0,True,full,5.760610707070707,15.225947474747477,coarse,500,0.10209547541779126,2
0.10148,0.5,0.1,-2.40716552734375,6,1,True,full,5.863083434343433,15.626896969696977,coarse,500,0.10209547541779126,2
0.10058,0.5,0.1,-2.40716552734375,6,0,True,full,6.255439595959599,16.620298989898988,coarse,500,0.10013834277775528,3
0.1,0.5,0.1,-2.40716552734375,6,1,True,full,6.153244242424242,16.04121616161616,coarse,500,0.10013834277775528,3
0.10274,0.5,0.1,-2.40716552734375,6,0,True,full,6.096883232323227,15.795078787878799,coarse,500,0.10105119608048646,4
0.1015,0.5,0.1,-2.40716552734375,6,1,True,full,6.150764646464651,16.079212121212123,coarse,500,0.10105119608048646,4
0.10164,0.5,0.1,-2.40716552734375,6,0,True,full,6.080763636363638,16.181604040404054,coarse,500,0.10084444598759607,5
0.10228,0.5,0.1,-2.40716552734375,6,1,True,full,6.084145656565655,15.677527272727271,coarse,500,0.10084444598759607,5
0.0993,0.5,0.1,-2.40716552734375,6,0,True,full,5.839926666666668,15.926622222222218,coarse,500,0.09972110575120485,6
0.099,0.5,0.1,-2.40716552734375,6,1,True,full,5.864579999999999,15.311640404040402,coarse,500,0.09972110575120485,6
0.0998,0.5,0.1,-2.40716552734375,6,0,True,full,6.152818585858588,16.24798787878788,coarse,500,0.1004923633895026,7
0.09948,0.5,0.1,-2.40716552734375,6,1,True,full,6.264043838383836,16.23334141414142,coarse,500,0.1004923633895026,7
0.09848000000000001,0.5,0.1,-2.40716552734375,6,0,True,full,6.12202444444445,16.02272323232324,coarse,500,0.10024320189473278,8
0.09666000000000001,0.5,0.1,-2.40716552734375,6,1,True,full,6.086645050505051,16.103301010101,coarse,500,0.10024320189473278,8
0.1012,0.5,0.1,-2.40716552734375,6,0,True,full,5.959530101010105,15.871684848484843,coarse,500,0.10076761787734782,9
0.09913999999999999,0.5,0.1,-2.40716552734375,6,1,True,full,6.31179494949495,16.781284848484848,coarse,500,0.10076761787734782,9
0.10061999999999999,0.5,0.1,-2.40716552734375,6,0,True,full,6.20861777777778,16.06141414141414,coarse,500,0.09950436233853716,10
0.09984,0.5,0.1,-2.40716552734375,6,1,True,full,5.913306464646462,15.454521212121207,coarse,500,0.09950436233853716,10
0.10257999999999999,0.5,0.1,-2.40716552734375,6,0,True,full,6.079107474747479,15.878367676767681,coarse,500,0.10121080848771333,11
0.10253999999999999,0.5,0.1,-2.40716552734375,6,1,True,full,5.845722424242427,15.06868686868686,coarse,500,0.10121080848771333,11
0.10024,0.5,0.1,-2.40716552734375,6,0,True,full,6.2822707070707136,16.196080808080808,coarse,500,0.1001882797561645,12
0.09756000000000001,0.5,0.1,-2.40716552734375,6,1,True,full,6.246745858585858,16.197951515151516,coarse,500,0.1001882797561645,12
0.0987,0.5,0.1,-2.40716552734375,6,0,True,full,6.124113333333336,16.200771717171712,coarse,500,0.0998160883109206,13
0.09996000000000001,0.5,0.1,-2.40716552734375,6,1,True,full,6.0006244444444485,16.201818181818187,coarse,500,0.0998160883109206,13
0.09936,0.5,0.1,-2.40716552734375,6,0,True,full,5.654027474747479,15.377890909090906,coarse,500,0.10068909091594745,14
0.1042,0.5,0.1,-2.40716552734375,6,1,True,full,5.438318585858585,14.785789898989915,coarse,500,0.10068909091594745,14
0.09849999999999999,0.5,0.1,-2.40716552734375,6,0,True,full,5.91666121212121,16.200145454545456,coarse,500,0.09850632628888492,15
0.0978,0.5,0.1,-2.40716552734375,6,1,True,full,5.93139292929293,16.37657373737374,coarse,500,0.09850632628888492,15
0.0989,0.5,0.1,-2.40716552734375,6,0,True,full,5.996665252525255,15.507656565656559,coarse,500,0.09766892636561518,16
0.09673999999999999,0.5,0.1,-2.40716552734375,6,1,True,full,5.928358181818186,15.35674747474747,coarse,500,0.09766892636561518,16
0.09868,0.5,0.1,-2.40716552734375,6,0,True,full,5.9294937373737335,15.402424242424232,coarse,500,0.10137980143476258,17
0.09878,0.5,0.1,-2.40716552734375,6,1,True,full,5.563288282828282,14.54146262626264,coarse,500,0.10137980143476258,17
0.09971999999999999,0.5,0.1,-2.40716552734375,6,0,True,full,6.557961010101015,16.562254545454543,coarse,500,0.09929958695548034,18
0.09698000000000001,0.5,0.1,-2.40716552734375,6,1,True,full,6.970124646464648,17.606076767676768,coarse,500,0.09929958695548034,18
0.09966,0.5,0.1,-2.40716552734375,6,0,True,full,6.249528484848482,16.588654545454535,coarse,500,0.10106710417970129,19
0.10038,0.5,0.1,-2.40716552734375,6,1,True,full,6.469680404040402,16.47402020202021,coarse,500,0.10106710417970129,19
0.08907999999999999,0.5,0.08750000000000002,-2.5546417236328125,5,0,True,full,6.070034949494959,16.80537373737374,coarse,500,0.08821520926647095,0
0.08878,0.5,0.08750000000000002,-2.5546417236328125,5,1,True,full,6.31401555555556,17.772456565656558,coarse,500,0.08821520926647095,0
0.08628,0.5,0.08750000000000002,-2.5546417236328125,5,0,True,full,7.008172323232323,18.24349090909092,coarse,500,0.087825939588358,1
0.09032,0.5,0.08750000000000002,-2.5546417236328125,5,1,True,full,6.957169898989898,18.623826262626242,coarse,500,0.087825939588358,1
0.08922000000000001,0.5,0.08750000000000002,-2.5546417236328125,5,0,True,full,5.9755907070707055,15.918557575757577,coarse,500,0.08936236002228169,2
0.08944,0.5,0.08750000000000002,-2.5546417236328125,5,1,True,full,6.066345050505047,16.386694949494945,coarse,500,0.08936236002228169,2
0.08746000000000001,0.5,0.08750000000000002,-2.5546417236328125,5,0,True,full,6.581417575757583,17.760109090909097,coarse,500,0.08762109419559781,3
0.08712,0.5,0.08750000000000002,-2.5546417236328125,5,1,True,full,6.378018787878785,16.834698989898992,coarse,500,0.08762109419559781,3
0.08916,0.5,0.08750000000000002,-2.5546417236328125,5,0,True,full,6.391955151515149,16.493094949494967,coarse,500,0.08843321807924925,4
0.08898,0.5,0.08750000000000002,-2.5546417236328125,5,1,True,full,6.255586262626268,16.156642424242406,coarse,500,0.08843321807924925,4
0.08896000000000001,0.5,0.08750000000000002,-2.5546417236328125,5,0,True,full,6.428630909090918,17.496638383838388,coarse,500,0.08825156309690599,5
0.09016,0.5,0.08750000000000002,-2.5546417236328125,5,1,True,full,6.45714686868687,16.638577777777787,coarse,500,0.08825156309690599,5
