candidate_id,phase,evaluation_phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,coarse_rank_within_alpha,evaluated_on_full,pruned_after_coarse,phase_slots,rank,selected
13,coarse,coarse,0.1,1.0,-2.627105712890625,0.10000008085804094,0.10135592889632523,0.10112499999999999,5.655026666666667,14.668835353535352,True,1,False,False,200,1,False
20,coarse,coarse,0.1,1.2,-2.717864990234375,0.1000002001853539,0.10164945197808777,0.10139000000000001,5.664209141414142,14.765251515151515,True,1,False,False,200,2,False
27,coarse,coarse,0.1,1.5,-2.8569488525390625,0.09999973857747563,0.10209950902252055,0.10204500000000001,5.669214242424243,15.124097979797977,True,1,False,False,200,3,False
6,coarse,coarse,0.1,0.5,-2.40716552734375,0.09999942166272553,0.10065176091988699,0.10018,5.671597373737375,14.670857575757575,True,1,False,False,200,4,False
34,coarse,coarse,0.1,1.8,-2.999481201171875,0.10000078886152851,0.10256101964779843,0.10254500000000003,5.73656090909091,15.462457575757577,True,1,False,False,200,5,False
19,coarse,coarse,0.08750000000000002,1.2,-2.8661346435546875,0.08749982429078329,0.08896808286632771,0.08879000000000001,5.817994797979798,15.422282828282828,True,2,False,False,200,6,False
12,coarse,coarse,0.08750000000000002,1.0,-2.77508544921875,0.08749946081849469,0.0887058024070449,0.088565,5.8423667676767685,15.344132323232321,True,2,False,False,200,7,False
26,coarse,coarse,0.08750000000000002,1.5,-3.005767822265625,0.08749948280397568,0.08937050312259881,0.08906499999999999,5.855131818181818,15.8048202020202,True,2,False,False,200,8,False
5,coarse,coarse,0.08750000000000002,0.5,-2.5546417236328125,0.0875000616883149,0.08807963667822784,0.08781,5.868064545454546,15.120701010101012,True,2,False,False,200,9,False
33,coarse,coarse,0.08750000000000002,1.8,-3.14898681640625,0.0875005924212012,0.08978403485385851,0.08951,5.897594595959596,16.06826363636364,True,2,False,False,200,10,False
20,coarse,full,0.1,1.2,-2.717864990234375,0.1000002001853539,0.10071713712571313,0.1002275,6.059631994949496,16.31385818181818,True,1,True,False,500,11,False
13,coarse,full,0.1,1.0,-2.627105712890625,0.10000008085804094,0.10059475750449218,0.10010000000000001,6.059634257575759,16.1882204040404,True,1,True,False,500,12,False
27,coarse,full,0.1,1.5,-2.8569488525390625,0.09999973857747563,0.10090091810268897,0.1004265,6.0785439747474745,16.62700737373737,True,1,True,False,500,13,False
6,coarse,full,0.1,0.5,-2.40716552734375,0.09999942166272553,0.10029239921162987,0.10001299999999999,6.092917373737374,16.040694545454546,True,1,True,False,500,14,False
40,refine,full,0.09687500000000002,1.0,-2.6624755859375,0.09687566543976063,0.09745396443673306,0.09701950000000001,6.100527434343434,16.328249797979797,True,,True,False,500,15,True
