checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,node_count
190,n050_s00,nn,50,200,0.2,0.1,0.10537497699260712,0.10537497699260712,4.159112244897957,0.1056,0.10537497699260712,0.06928000599145889,0.021458029747009277,0.02864268720149994,0.0952238142490387,0.19906033277511598,0.3173407316207886,0.06765346229076385,0.06928000599145889,0.02313503995537758,community,cross_model,50
190,n050_s00,matched_random,50,200,0.2,0.1,0.10537497699260712,0.10537497699260712,6.009293877551023,0.10619999999999999,0.10537496209144592,1.4901161193847656e-08,0.10537497699260712,0.10537497699260712,0.10537497699260712,0.10537497699260712,0.10537497699260712,0.0,1.4901161193847656e-08,7.450580596923828e-09,community,cross_model,50
190,n050_s01,nn,50,200,0.2,0.1,0.11407177895307541,0.11407177895307541,3.6763040816326544,0.1202,0.11407177895307541,0.07573805004358292,0.021516412496566772,0.03206736743450165,0.10120102763175964,0.2015677362680436,0.4033438265323639,0.07408694922924042,0.07573805004358292,0.02523251622915268,community,cross_model,50
190,n050_s01,matched_random,50,200,0.2,0.1,0.11407177895307541,0.11407177895307541,4.835165306122449,0.10980000000000001,0.11407175660133362,2.2351741790771484e-08,0.11407177895307541,0.11407177895307541,0.11407177895307541,0.11407177895307541,0.11407177895307541,0.0,2.2351741790771484e-08,7.450580596923828e-09,community,cross_model,50
190,n050_s02,nn,50,200,0.2,0.1,0.11071538180112839,0.11071538180112839,4.412806122448979,0.1118,0.11071538180112839,0.07252872735261917,0.02147132158279419,0.030463483929634095,0.09587684273719788,0.21568771302700043,0.3291287422180176,0.0709552988409996,0.07252872735261917,0.022944390773773193,community,cross_model,50
190,n050_s02,matched_random,50,200,0.2,0.1,0.11071538180112839,0.11071538180112839,5.462642857142859,0.1099,0.11071538180112839,0.0,0.11071538180112839,0.11071538180112839,0.11071538180112839,0.11071538180112839,0.11071538180112839,0.0,0.0,0.0,community,cross_model,50
190,n050_s03,nn,50,200,0.2,0.1,0.11723283678293228,0.11723283678293228,3.5071448979591837,0.11960000000000001,0.11723283678293228,0.07820696383714676,0.02151930332183838,0.03258562684059143,0.10365679860115051,0.2209234684705735,0.4032304286956787,0.07644564658403397,0.07820696383714676,0.02767116203904152,community,cross_model,50
190,n050_s03,matched_random,50,200,0.2,0.1,0.11723283678293228,0.11723283678293228,4.764220408163267,0.11599999999999999,0.11723282188177109,1.4901161193847656e-08,0.11723283678293228,0.11723283678293228,0.11723283678293228,0.11723283678293228,0.11723283678293228,0.0,1.4901161193847656e-08,0.0,community,cross_model,50
190,n050_s04,nn,50,200,0.2,0.1,0.11852430552244186,0.11852430552244186,3.997659183673467,0.1124,0.11852430552244186,0.0774967148900032,0.021550357341766357,0.03276866972446442,0.10605417191982269,0.22501393556594848,0.4034338593482971,0.07588385790586472,0.0774967148900032,0.025199970230460167,community,cross_model,50
190,n050_s04,matched_random,50,200,0.2,0.1,0.11852430552244186,0.11852430552244186,5.1168510204081645,0.1204,0.11852430552244186,0.0,0.11852430552244186,0.11852430552244186,0.11852430552244186,0.11852430552244186,0.11852430552244186,1.4901161193847656e-08,0.0,0.0,community,cross_model,50
190,n060_s00,nn,60,200,0.2,0.1,0.11118367314338684,0.11118367314338684,4.07491242937853,0.11416666666666667,0.11118367314338684,0.07439988106489182,0.021448880434036255,0.03067934513092041,0.10003803670406342,0.1987388491630554,0.403443843126297,0.07279840111732483,0.07439988106489182,0.025412542745471,community,cross_model,60
190,n060_s00,matched_random,60,200,0.2,0.1,0.11118367314338684,0.11118367314338684,6.3190070621468895,0.10841666666666666,0.11118365824222565,1.4901161193847656e-08,0.11118367314338684,0.11118367314338684,0.11118367314338684,0.11118367314338684,0.11118367314338684,1.4901161193847656e-08,1.4901161193847656e-08,0.0,community,cross_model,60
190,n060_s01,nn,60,200,0.2,0.1,0.11020592600107193,0.11020592600107193,4.373896892655366,0.10875,0.11020592600107193,0.07208862155675888,0.021458029747009277,0.030824518203735354,0.10052875801920891,0.20609310269355774,0.33806633949279785,0.07057763636112213,0.07208862155675888,0.023162666708230972,community,cross_model,60
