checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,policy_probability,mean_VAoI,actual_tx_ratio,topology,model,node_count,model_label,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
480,n050_s00,nn,50,200,0.2,0.1,0.09150471538305283,6.1199408163265305,0.0886,community,v35_curvature_stage2,50,V3.5 ch2 curvature MPNN (Stage-2),0.09150471538305283,0.031390298157930374,0.03693169355392456,0.05163218677043915,0.08991248905658722,0.13310130238533022,0.1961231827735901,0.030814867466688156,0.031390298157930374,0.014535426162183285
480,n050_s01,nn,50,200,0.2,0.1,0.09473420679569244,5.466106122448978,0.0987,community,v35_curvature_stage2,50,V3.5 ch2 curvature MPNN (Stage-2),0.09473420679569244,0.033319830894470215,0.03815186023712158,0.054166316986083984,0.09153030812740326,0.13672075867652894,0.24114391207695007,0.03282491862773895,0.033319830894470215,0.015888676047325134
480,n050_s02,nn,50,200,0.2,0.1,0.0939929261803627,6.0528387755102,0.09720000000000001,community,v35_curvature_stage2,50,V3.5 ch2 curvature MPNN (Stage-2),0.0939929261803627,0.032953664660453796,0.03706565499305725,0.053681620955467226,0.0906936377286911,0.1400676816701889,0.21085339784622192,0.03233950957655907,0.032953664660453796,0.015515852719545364
480,n050_s03,nn,50,200,0.2,0.1,0.09632447361946106,5.02713673469388,0.1001,community,v35_curvature_stage2,50,V3.5 ch2 curvature MPNN (Stage-2),0.09632447361946106,0.0350516214966774,0.03763967752456665,0.054238542914390564,0.09199177101254463,0.1434947818517685,0.24788638949394226,0.03445914760231972,0.0350516214966774,0.018675077706575394
480,n050_s04,nn,50,200,0.2,0.1,0.09846635907888412,5.986055102040816,0.0933,community,v35_curvature_stage2,50,V3.5 ch2 curvature MPNN (Stage-2),0.09846635907888412,0.03408294916152954,0.03713881969451904,0.05667012929916382,0.09618772566318512,0.14533700942993166,0.2465011477470398,0.03342150151729584,0.03408294916152954,0.01621260866522789
480,n060_s00,nn,60,200,0.2,0.1,0.09418186545372009,6.548286723163845,0.09474999999999999,community,v35_curvature_stage2,60,V3.5 ch2 curvature MPNN (Stage-2),0.09418186545372009,0.0337473563849926,0.0371374785900116,0.05338565707206726,0.09167994186282158,0.13605916798114778,0.2445070445537567,0.0332082062959671,0.0337473563849926,0.017437437549233437
480,n060_s01,nn,60,200,0.2,0.1,0.09303665906190872,6.308717514124293,0.09233333333333334,community,v35_curvature_stage2,60,V3.5 ch2 curvature MPNN (Stage-2),0.09303665906190872,0.03260384872555733,0.03652265667915344,0.05288453996181488,0.09010036289691925,0.13770432770252228,0.21425330638885498,0.03198894113302231,0.03260384872555733,0.015356282703578472
480,n060_s02,nn,60,200,0.2,0.1,0.09460605680942535,7.291121468926555,0.0945,community,v35_curvature_stage2,60,V3.5 ch2 curvature MPNN (Stage-2),0.09460605680942535,0.03242340683937073,0.0381336510181427,0.05506713092327118,0.09118381142616272,0.13960203528404236,0.23089489340782166,0.03179294988512993,0.03242340683937073,0.015440625138580799
480,n060_s03,nn,60,200,0.2,0.1,0.10017801076173782,6.109679378531077,0.09383333333333334,community,v35_curvature_stage2,60,V3.5 ch2 curvature MPNN (Stage-2),0.10017801076173782,0.038119055330753326,0.03700616955757141,0.054625896364450456,0.0957740843296051,0.1537116438150406,0.24462690949440002,0.037626247853040695,0.038119055330753326,0.02244177833199501
480,n060_s04,nn,60,200,0.2,0.1,0.1007751077413559,5.911720338983055,0.10258333333333333,community,v35_curvature_stage2,60,V3.5 ch2 curvature MPNN (Stage-2),0.1007751077413559,0.036497097462415695,0.03829190135002136,0.05761514008045196,0.09748184308409691,0.14929677248001097,0.24317705631256104,0.03593555465340614,0.036497097462415695,0.01938541792333126
480,n070_s00,nn,70,200,0.2,0.1,0.0959777757525444,6.330778467908903,0.09692857142857143,community,v35_curvature_stage2,70,V3.5 ch2 curvature MPNN (Stage-2),0.0959777757525444,0.03645775467157364,0.036358918994665146,0.05186229944229126,0.09247848391532898,0.14461124837398528,0.247152179479599,0.036102261394262314,0.03645775467157364,0.021973473951220512
480,n070_s01,nn,70,200,0.2,0.1,0.09837060421705246,6.991656314699794,0.09807142857142857,community,v35_curvature_stage2,70,V3.5 ch2 curvature MPNN (Stage-2),0.09837060421705246,0.033512014895677567,0.03702712059020996,0.05815030038356781,0.0945160835981369,0.14261695444583894,0.24179938435554504,0.033018190413713455,0.033512014895677567,0.015567826107144356
480,n070_s02,nn,70,200,0.2,0.1,0.09531091153621674,6.923460662525879,0.09257142857142858,community,v35_curvature_stage2,70,V3.5 ch2 curvature MPNN (Stage-2),0.09531091153621674,0.03448010981082916,0.03710886836051941,0.053753975033760074,0.09042592346668243,0.14588516354560854,0.2055244743824005,0.03403347358107567,0.03448010981082916,0.018505791202187538
480,n070_s03,nn,70,200,0.2,0.1,0.09748261421918869,6.040578674948241,0.09514285714285714,community,v35_curvature_stage2,70,V3.5 ch2 curvature MPNN (Stage-2),0.09748261421918869,0.03236623480916023,0.038031578063964844,0.0572665810585022,0.09365872666239738,0.14209682643413546,0.19712036848068237,0.031835101544857025,0.03236623480916023,0.013672142289578915
480,n070_s04,nn,70,200,0.2,0.1,0.09242028743028641,7.221972049689444,0.09549999999999999,community,v35_curvature_stage2,70,V3.5 ch2 curvature MPNN (Stage-2),0.09242028743028641,0.0331883504986763,0.03706660866737366,0.05322586297988892,0.08937239646911621,0.1355941414833069,0.24587103724479675,0.032755136489868164,0.0331883504986763,0.017994845286011696
480,n080_s00,nn,80,200,0.2,0.1,0.09653440862894058,7.014493670886074,0.0955,community,v35_curvature_stage2,80,V3.5 ch2 curvature MPNN (Stage-2),0.09653440862894058,0.03436502441763878,0.037018418312072754,0.055488955974578855,0.09318679571151733,0.1420026659965515,0.24835634231567383,0.033948060125112534,0.03436502441763878,0.018481308594346046
480,n080_s01,nn,80,200,0.2,0.1,0.09809170663356781,7.3518061708860785,0.102375,community,v35_curvature_stage2,80,V3.5 ch2 curvature MPNN (Stage-2),0.09809170663356781,0.03666701912879944,0.036574602127075195,0.05404440462589264,0.09531684219837189,0.14481956064701082,0.24190589785575867,0.03631698340177536,0.03666701912879944,0.022478988394141197
480,n080_s02,nn,80,200,0.2,0.1,0.09951284527778625,7.053064873417722,0.100875,community,v35_curvature_stage2,80,V3.5 ch2 curvature MPNN (Stage-2),0.09951284527778625,0.03331882879137993,0.0373920202255249,0.05927512049674988,0.09646762907505035,0.1434311866760254,0.23970022797584534,0.03284267336130142,0.03331882879137993,0.014977242797613144
480,n080_s03,nn,80,200,0.2,0.1,0.09769648313522339,6.863379746835444,0.096,community,v35_curvature_stage2,80,V3.5 ch2 curvature MPNN (Stage-2),0.09769648313522339,0.0343613438308239,0.03719472885131836,0.05726327896118164,0.09418582916259766,0.1423539251089096,0.244672030210495,0.03389275074005127,0.0343613438308239,0.01789180561900139
480,n080_s04,nn,80,200,0.2,0.1,0.09802139550447464,6.269729430379748,0.0988125,community,v35_curvature_stage2,80,V3.5 ch2 curvature MPNN (Stage-2),0.09802139550447464,0.03402933478355408,0.037007272243499756,0.056951466202735904,0.09445725381374359,0.14523562490940095,0.24532398581504822,0.03358001261949539,0.03402933478355408,0.016996098682284355
480,n090_s00,nn,90,200,0.2,0.1,0.0981498658657074,7.1100249687890145,0.09961111111111111,community,v35_curvature_stage2,90,V3.5 ch2 curvature MPNN (Stage-2),0.0981498658657074,0.03360937163233757,0.03808640316128731,0.057607442140579224,0.09403573349118233,0.14444938600063326,0.24268114566802979,0.03317536786198616,0.03360937163233757,0.016273176297545433
480,n090_s01,nn,90,200,0.2,0.1,0.09916909039020538,7.786741573033709,0.09666666666666666,community,v35_curvature_stage2,90,V3.5 ch2 curvature MPNN (Stage-2),0.09916909039020538,0.03479936718940735,0.03707313537597656,0.058138370513916016,0.09387962520122528,0.15050204396247865,0.2104785144329071,0.034392137080430984,0.03479936718940735,0.017858926206827164
480,n090_s02,nn,90,200,0.2,0.1,0.09282354265451431,8.356383895131085,0.09166666666666666,community,v35_curvature_stage2,90,V3.5 ch2 curvature MPNN (Stage-2),0.09282354265451431,0.03407768905162811,0.03718152642250061,0.05184354484081268,0.08963194489479065,0.13747341930866241,0.2447587549686432,0.033731166273355484,0.03407768905162811,0.020364664494991302
480,n090_s03,nn,90,200,0.2,0.1,0.09719535708427429,7.269757178526841,0.09533333333333334,community,v35_curvature_stage2,90,V3.5 ch2 curvature MPNN (Stage-2),0.09719535708427429,0.033307839184999466,0.03822353482246399,0.05664668083190918,0.09388665854930878,0.14317890703678132,0.24302637577056885,0.03286224231123924,0.033307839184999466,0.015615704469382763
480,n090_s04,nn,90,200,0.2,0.1,0.09617693722248077,8.738909488139823,0.099,community,v35_curvature_stage2,90,V3.5 ch2 curvature MPNN (Stage-2),0.09617693722248077,0.03504294157028198,0.03698766231536865,0.05453067421913147,0.09284572303295135,0.14112980663776398,0.2441081404685974,0.03468436375260353,0.03504294157028198,0.02041809633374214
480,n100_s00,nn,100,200,0.2,0.1,0.09935317188501358,7.801514646464646,0.10035,community,v35_curvature_stage2,100,V3.5 ch2 curvature MPNN (Stage-2),0.09935317188501358,0.03411736711859703,0.03857529163360596,0.0582719475030899,0.09546704590320587,0.14409668743610382,0.24842694401741028,0.03368106484413147,0.03411736711859703,0.01694919355213642
480,n100_s01,nn,100,200,0.2,0.1,0.09665396064519882,8.282769191919188,0.09545,community,v35_curvature_stage2,100,V3.5 ch2 curvature MPNN (Stage-2),0.09665396064519882,0.03286095708608627,0.03699493408203125,0.05708886384963989,0.09277544915676117,0.14214326739311223,0.24312910437583923,0.03240369260311127,0.03286095708608627,0.015154648572206497
480,n100_s02,nn,100,200,0.2,0.1,0.09307235479354858,9.365823232323232,0.0941,community,v35_curvature_stage2,100,V3.5 ch2 curvature MPNN (Stage-2),0.09307235479354858,0.030433414503932,0.036999285221099854,0.056082546710968025,0.08948861062526703,0.13562066555023194,0.1917468011379242,0.030005021020770073,0.030433414503932,0.013562322594225407
480,n100_s03,nn,100,200,0.2,0.1,0.10129884630441666,7.9911414141414125,0.10015,community,v35_curvature_stage2,100,V3.5 ch2 curvature MPNN (Stage-2),0.10129884630441666,0.03614553064107895,0.03658130764961243,0.058771547675132756,0.09662915766239166,0.15046653449535372,0.2456640601158142,0.035737186670303345,0.03614553064107895,0.019774500280618668
480,n100_s04,nn,100,200,0.2,0.1,0.09971991926431656,8.538932323232324,0.09699999999999999,community,v35_curvature_stage2,100,V3.5 ch2 curvature MPNN (Stage-2),0.09971991926431656,0.03534521907567978,0.03704997897148132,0.05676102340221405,0.0945117175579071,0.15193251669406893,0.2334313690662384,0.034953273832798004,0.03534521907567978,0.019207419827580452
480,n110_s00,nn,110,200,0.2,0.1,0.09985870867967606,8.790545454545457,0.10027272727272726,community,v35_curvature_stage2,110,V3.5 ch2 curvature MPNN (Stage-2),0.09985870867967606,0.033819567412137985,0.03697642683982849,0.05938413739204407,0.09522807598114014,0.14718548357486724,0.22983485460281372,0.03346940129995346,0.033819567412137985,0.017199140042066574
480,n110_s01,nn,110,200,0.2,0.1,0.0975499153137207,8.989235613010843,0.09772727272727273,community,v35_curvature_stage2,110,V3.5 ch2 curvature MPNN (Stage-2),0.0975499153137207,0.03257500380277634,0.037692099809646606,0.05823379158973694,0.09354159235954285,0.14265516698360445,0.24110156297683716,0.03217443823814392,0.03257500380277634,0.015746505931019783
480,n110_s02,nn,110,200,0.2,0.1,0.10106164216995239,7.690574228523774,0.10386363636363637,community,v35_curvature_stage2,110,V3.5 ch2 curvature MPNN (Stage-2),0.10106164216995239,0.0348811075091362,0.038069337606430054,0.05998511910438537,0.09637941792607307,0.14949012100696563,0.24889662861824036,0.034524425864219666,0.0348811075091362,0.017712082713842392
480,n110_s03,nn,110,200,0.2,0.1,0.09439914673566818,8.482073394495412,0.09386363636363636,community,v35_curvature_stage2,110,V3.5 ch2 curvature MPNN (Stage-2),0.09439914673566818,0.031561654061079025,0.03718036413192749,0.055880111455917356,0.09091940149664879,0.1379602611064911,0.2044616937637329,0.03108224831521511,0.031561654061079025,0.0140872523188591
480,n110_s04,nn,110,200,0.2,0.1,0.09872592240571976,7.704567973311091,0.09709090909090909,community,v35_curvature_stage2,110,V3.5 ch2 curvature MPNN (Stage-2),0.09872592240571976,0.03298972547054291,0.03830158710479736,0.05905337929725647,0.09422223269939423,0.1445671260356903,0.2356162667274475,0.03245465084910393,0.03298972547054291,0.015051843598484993
480,n120_s00,nn,120,200,0.2,0.1,0.09562535583972931,8.672655812324928,0.09745833333333334,community,v35_curvature_stage2,120,V3.5 ch2 curvature MPNN (Stage-2),0.09562535583972931,0.03220042213797569,0.037282466888427734,0.056717073917388915,0.09148465096950531,0.13926107287406922,0.22002962231636047,0.031809743493795395,0.03220042213797569,0.015387441031634808
480,n120_s01,nn,120,200,0.2,0.1,0.09765997529029846,8.344636204481787,0.09566666666666666,community,v35_curvature_stage2,120,V3.5 ch2 curvature MPNN (Stage-2),0.09765997529029846,0.0325353778898716,0.03708234429359436,0.05867689847946167,0.09376558661460876,0.14298828542232514,0.2196330428123474,0.03212330490350723,0.0325353778898716,0.014979090541601181
480,n120_s02,nn,120,200,0.2,0.1,0.10221938788890839,8.641858893557423,0.10149999999999999,community,v35_curvature_stage2,120,V3.5 ch2 curvature MPNN (Stage-2),0.10221938788890839,0.03450758010149002,0.037043601274490356,0.06066018342971802,0.0979968011379242,0.14912959039211274,0.2426372766494751,0.03415977582335472,0.03450758010149002,0.018220441415905952
480,n120_s03,nn,120,200,0.2,0.1,0.10034772753715515,8.712552871148464,0.10008333333333333,community,v35_curvature_stage2,120,V3.5 ch2 curvature MPNN (Stage-2),0.10034772753715515,0.03394182026386261,0.037021785974502563,0.06011644303798676,0.09562766551971436,0.14867763817310337,0.24360328912734985,0.03351214900612831,0.03394182026386261,0.01709568500518799
480,n120_s04,nn,120,200,0.2,0.1,0.09851051867008209,9.373499649859944,0.10112499999999999,community,v35_curvature_stage2,120,V3.5 ch2 curvature MPNN (Stage-2),0.09851051867008209,0.03285754472017288,0.03737151622772217,0.05891166627407074,0.09487080574035645,0.14272251427173618,0.24233034253120422,0.03249116986989975,0.03285754472017288,0.016673250123858452
480,n130_s00,nn,130,200,0.2,0.1,0.10185789316892624,8.687916815742396,0.10115384615384615,community,v35_curvature_stage2,130,V3.5 ch2 curvature MPNN (Stage-2),0.10185789316892624,0.03479025885462761,0.037652820348739624,0.06032541990280151,0.09791456162929535,0.14773837625980377,0.24653398990631104,0.03443359211087227,0.03479025885462761,0.018307026475667953
480,n130_s01,nn,130,200,0.2,0.1,0.09747444093227386,8.455324985092428,0.09773076923076923,community,v35_curvature_stage2,130,V3.5 ch2 curvature MPNN (Stage-2),0.09747444093227386,0.032747767865657806,0.03733944892883301,0.057855716347694396,0.09332293272018433,0.14369029402732852,0.2386918067932129,0.032343827188014984,0.032747767865657806,0.015907445922493935
480,n130_s02,nn,130,200,0.2,0.1,0.09728646278381348,9.193245378652358,0.09726923076923076,community,v35_curvature_stage2,130,V3.5 ch2 curvature MPNN (Stage-2),0.09728646278381348,0.032575126737356186,0.03715026378631592,0.058027648925781244,0.09343084692955017,0.14311424493789676,0.23860862851142883,0.03220226615667343,0.032575126737356186,0.01659577153623104
480,n130_s03,nn,130,200,0.2,0.1,0.10009155422449112,9.282122540250448,0.10134615384615385,community,v35_curvature_stage2,130,V3.5 ch2 curvature MPNN (Stage-2),0.10009155422449112,0.033685654401779175,0.037357866764068604,0.060081079602241516,0.09551732242107391,0.14718220531940462,0.24211955070495605,0.03339161351323128,0.033685654401779175,0.017016887664794922
480,n130_s04,nn,130,200,0.2,0.1,0.10210012644529343,8.847629099582587,0.1015,community,v35_curvature_stage2,130,V3.5 ch2 curvature MPNN (Stage-2),0.10210012644529343,0.03328689932823181,0.03665754199028015,0.06271262466907501,0.09771324694156647,0.14778554737567903,0.24771574139595032,0.03279035910964012,0.03328689932823181,0.015888940542936325
480,n140_s00,nn,140,200,0.2,0.1,0.09936826676130295,8.797811408016443,0.09807142857142857,community,v35_curvature_stage2,140,V3.5 ch2 curvature MPNN (Stage-2),0.09936826676130295,0.03259008750319481,0.03821501135826111,0.060402634739875796,0.09448954463005066,0.14515375196933747,0.21287861466407776,0.032186564058065414,0.03259008750319481,0.014250103384256363
480,n140_s01,nn,140,200,0.2,0.1,0.09890374541282654,9.994151079136689,0.09921428571428571,community,v35_curvature_stage2,140,V3.5 ch2 curvature MPNN (Stage-2),0.09890374541282654,0.03270948678255081,0.03815004229545593,0.059135723114013675,0.09523382782936096,0.14235642552375796,0.24669304490089417,0.03238263353705406,0.03270948678255081,0.016616659238934517
480,n140_s02,nn,140,200,0.2,0.1,0.09842092543840408,9.551306012332988,0.10182142857142858,community,v35_curvature_stage2,140,V3.5 ch2 curvature MPNN (Stage-2),0.09842092543840408,0.032992199063301086,0.037119150161743164,0.05953796207904816,0.09381712973117828,0.14447944164276125,0.2476169764995575,0.03263179212808609,0.032992199063301086,0.016631342470645905
480,n140_s03,nn,140,200,0.2,0.1,0.09944404661655426,8.947359969167525,0.09692857142857143,community,v35_curvature_stage2,140,V3.5 ch2 curvature MPNN (Stage-2),0.09944404661655426,0.03362853825092316,0.03710228204727173,0.05934390276670456,0.09575070440769196,0.14393488168716437,0.23931145668029785,0.03327019512653351,0.03362853825092316,0.01694512367248535
480,n140_s04,nn,140,200,0.2,0.1,0.10146934539079666,10.023226618705035,0.10135714285714285,community,v35_curvature_stage2,140,V3.5 ch2 curvature MPNN (Stage-2),0.10146934539079666,0.03416862338781357,0.03816348314285278,0.06029948294162751,0.09683503210544586,0.14965466558933258,0.24237895011901855,0.033853888511657715,0.03416862338781357,0.017925363034009933
480,n150_s00,nn,150,200,0.2,0.1,0.09939473122358322,9.153493512304246,0.09906666666666666,community,v35_curvature_stage2,150,V3.5 ch2 curvature MPNN (Stage-2),0.09939473122358322,0.034409329295158386,0.037170618772506714,0.05852837860584259,0.09515239298343658,0.1453483521938324,0.24596992135047913,0.034043632447719574,0.034409329295158386,0.018602116033434868
480,n150_s01,nn,150,200,0.2,0.1,0.09815536439418793,10.168546979865773,0.09746666666666666,community,v35_curvature_stage2,150,V3.5 ch2 curvature MPNN (Stage-2),0.09815536439418793,0.0338774211704731,0.03711119294166565,0.05818743109703064,0.09342166781425476,0.14483016729354858,0.24356481432914734,0.03356173262000084,0.0338774211704731,0.01864970289170742
480,n150_s02,nn,150,200,0.2,0.1,0.09758520871400833,9.795553243847873,0.09916666666666667,community,v35_curvature_stage2,150,V3.5 ch2 curvature MPNN (Stage-2),0.09758520871400833,0.03355256840586662,0.037097781896591187,0.05779598653316498,0.0933925211429596,0.14247561991214755,0.24288371205329895,0.0332382433116436,0.03355256840586662,0.018613919615745544
480,n150_s03,nn,150,200,0.2,0.1,0.1019822433590889,9.675828411633107,0.09936666666666666,community,v35_curvature_stage2,150,V3.5 ch2 curvature MPNN (Stage-2),0.1019822433590889,0.0353240892291069,0.03692436218261719,0.05919735729694367,0.0976102352142334,0.1507171928882599,0.2417767345905304,0.03501090779900551,0.0353240892291069,0.019454166293144226
480,n150_s04,nn,150,200,0.2,0.1,0.09663674235343933,10.15402662192394,0.09896666666666668,community,v35_curvature_stage2,150,V3.5 ch2 curvature MPNN (Stage-2),0.09663674235343933,0.03255200386047363,0.038402289152145386,0.05762462019920349,0.09283383190631866,0.14055933356285097,0.2341025471687317,0.03223143890500069,0.03255200386047363,0.01676110550761223
120,n050_s00,nn,50,200,0.2,0.1,0.100784532725811,6.110142857142859,0.1013,community,v35_no_curvature_stage2,50,V3.5 ch2 no-curvature MPNN (Stage-2),0.100784532725811,0.024342278018593788,0.06577786803245544,0.07192949056625365,0.09596730768680573,0.1382050633430481,0.1561737358570099,0.023450631648302078,0.024342278018593788,0.004359520971775055
120,n050_s01,nn,50,200,0.2,0.1,0.10161788016557693,5.6990959183673455,0.1059,community,v35_no_curvature_stage2,50,V3.5 ch2 no-curvature MPNN (Stage-2),0.10161788016557693,0.02583654597401619,0.06617459654808044,0.07149070203304292,0.09577670693397522,0.14314326941967012,0.156740203499794,0.02491832710802555,0.02583654597401619,0.004185536410659552
