model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,54,-6.0,0.09295780855417252
v35_curvature_stage2,Curvature Stage-2,random_slot,246,55,-1.0,0.04523637890815735
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,55,-1.0,0.07720217889547348
v35_curvature_stage2,Curvature Stage-2,random_slot,246,56,-9.0,0.07618480920791626
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,56,-9.0,0.09268186044692993
v35_curvature_stage2,Curvature Stage-2,random_slot,246,57,-17.0,0.11739218235015869
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,57,-17.0,0.12195081824064255
v35_curvature_stage2,Curvature Stage-2,random_slot,246,58,-9.0,0.14586114883422852
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,58,-9.0,0.10508027482032777
v35_curvature_stage2,Curvature Stage-2,random_slot,246,59,-17.0,0.21912634372711182
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,59,-17.0,0.1484039536714554
v35_curvature_stage2,Curvature Stage-2,random_slot,246,60,-5.0,0.06316432356834412
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,60,-5.0,0.08529708606004716
v35_curvature_stage2,Curvature Stage-2,random_slot,246,61,-6.0,0.08221089839935303
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,61,-6.0,0.1137471541762352
v35_curvature_stage2,Curvature Stage-2,random_slot,246,62,-6.0,0.07813793420791626
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,62,-6.0,0.09566772735118866
v35_curvature_stage2,Curvature Stage-2,random_slot,246,63,-9.0,0.07462963461875916
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,63,-9.0,0.11363153463602066
v35_curvature_stage2,Curvature Stage-2,random_slot,246,64,-11.0,0.1549690067768097
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,64,-11.0,0.12780056911706925
v35_curvature_stage2,Curvature Stage-2,random_slot,246,65,-9.0,0.13028937578201294
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,65,-9.0,0.10909114736318588
v35_curvature_stage2,Curvature Stage-2,random_slot,246,66,-9.0,0.05445149540901184
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,66,-9.0,0.0972246128320694
v35_curvature_stage2,Curvature Stage-2,random_slot,246,67,-5.0,0.06111761927604675
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,67,-5.0,0.09290229660272599
v35_curvature_stage2,Curvature Stage-2,random_slot,246,68,-5.0,0.05880707502365112
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,68,-5.0,0.0930162068605423
v35_curvature_stage2,Curvature Stage-2,random_slot,246,69,-12.0,0.15781164169311523
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,69,-12.0,0.10386430281400681
v35_curvature_stage2,Curvature Stage-2,random_slot,246,70,-11.0,0.06497681140899658
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,70,-11.0,0.1030204901099205
v35_curvature_stage2,Curvature Stage-2,random_slot,246,71,-7.0,0.09501069784164429
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,71,-7.0,0.09638381230831146
v35_curvature_stage2,Curvature Stage-2,random_slot,246,72,-6.0,0.05039891600608826
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,72,-6.0,0.09148663902282715
v35_curvature_stage2,Curvature Stage-2,random_slot,246,73,-12.0,0.06883719563484192
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,73,-12.0,0.10123609864711762
v35_curvature_stage2,Curvature Stage-2,random_slot,246,74,-6.0,0.052697330713272095
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,74,-6.0,0.09749801808595657
v35_curvature_stage2,Curvature Stage-2,random_slot,246,75,-9.0,0.08317214250564575
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,75,-9.0,0.09553825289011002
v35_curvature_stage2,Curvature Stage-2,random_slot,246,76,-2.0,0.05243629217147827
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,76,-2.0,0.08948102724552155
v35_curvature_stage2,Curvature Stage-2,random_slot,246,77,-4.0,0.07792150974273682
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,77,-4.0,0.10647435265779495
v35_curvature_stage2,Curvature Stage-2,random_slot,246,78,-14.0,0.1868855357170105
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,78,-14.0,0.11916034841537476
v35_curvature_stage2,Curvature Stage-2,random_slot,246,79,-5.0,0.10601562261581421
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,79,-5.0,0.09180315887928009
v35_curvature_stage2,Curvature Stage-2,random_slot,246,80,-9.0,0.057597339153289795
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,80,-9.0,0.09879751354455948
v35_curvature_stage2,Curvature Stage-2,random_slot,246,81,1.0,0.10602238774299622
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,81,1.0,0.07355089461803437
v35_curvature_stage2,Curvature Stage-2,random_slot,246,82,-9.0,0.05787646770477295
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,82,-9.0,0.097753548681736
v35_curvature_stage2,Curvature Stage-2,random_slot,246,83,-4.0,0.13180679082870483
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,83,-4.0,0.09665807902812958
v35_curvature_stage2,Curvature Stage-2,random_slot,246,84,-7.0,0.07009109854698181
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,84,-7.0,0.10738309079408645
v35_curvature_stage2,Curvature Stage-2,random_slot,246,85,-17.0,0.09588256478309631
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,85,-17.0,0.12252361136674882
v35_curvature_stage2,Curvature Stage-2,random_slot,246,86,-9.0,0.15441715717315674
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,86,-9.0,0.10281912136077881
v35_curvature_stage2,Curvature Stage-2,random_slot,246,87,-14.0,0.19435137510299683
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,87,-14.0,0.11910220390558243
v35_curvature_stage2,Curvature Stage-2,random_slot,246,88,-9.0,0.12236261367797852
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,88,-9.0,0.11627658152580261
v35_curvature_stage2,Curvature Stage-2,random_slot,246,89,-9.0,0.07818210124969482
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,89,-9.0,0.10389839577674866
v35_curvature_stage2,Curvature Stage-2,random_slot,246,90,-6.0,0.1345658004283905
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,90,-6.0,0.09247288012504577
v35_curvature_stage2,Curvature Stage-2,random_slot,246,91,-1.0,0.06119135022163391
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,91,-1.0,0.0791941533088684
v35_curvature_stage2,Curvature Stage-2,random_slot,246,92,-8.0,0.12313884496688843
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,92,-8.0,0.10286823219060898
v35_curvature_stage2,Curvature Stage-2,random_slot,246,93,-17.0,0.11944234371185303
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,93,-17.0,0.14183664214611053
v35_curvature_stage2,Curvature Stage-2,random_slot,246,94,-6.0,0.1345844864845276
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,94,-6.0,0.09726828324794769
v35_curvature_stage2,Curvature Stage-2,random_slot,246,95,-9.0,0.20427727699279785
