topology_seed,channel_seed,update_seed,failure_node,scenario,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness,configured_broadcast_probability,mean_policy_probability,average_broadcast_probability,actual_tx_ratio,active_node_actual_tx_ratio,failure_node_activity_ratio,baseline_mean_aoi,failure_mean_aoi,delta_mean_aoi,relative_delta_mean_aoi,baseline_mean_max_aoi,failure_mean_max_aoi,delta_mean_max_aoi,relative_delta_mean_max_aoi,baseline_mean_min_aoi,failure_mean_min_aoi,delta_mean_min_aoi,relative_delta_mean_min_aoi,baseline_max_aoi,failure_max_aoi,delta_max_aoi,relative_delta_max_aoi,baseline_min_aoi,failure_min_aoi,delta_min_aoi,relative_delta_min_aoi
1,0,0,-1,baseline,,,,,,,0.1,0.1,0.1,0.10055,0.10055,,12.857274242424241,12.857274242424241,0.0,0.0,40.0525,40.0525,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,single_node_silence,0.39122526778776784,0.39122526778776784,1,1,8,0.00490620490620491,0.1,0.1,0.1,0.09974999999999999,0.10075757575757575,0.0,12.857274242424241,13.401389393939393,0.5441151515151521,0.04231963488184562,40.0525,64.2075,24.154999999999994,0.6030834529679794,0.0,0.0,0.0,,50.0,101.0,51.0,1.02,0.0,0.0,0.0,
1,0,0,1,single_node_silence,0.31480130980130977,0.31480130980130977,9,9,10,0.03285514160667256,0.1,0.1,0.1,0.099275,0.10027777777777779,0.0,12.857274242424241,12.985668686868687,0.1283944444444458,0.009986132521058913,40.0525,54.555,14.502499999999998,0.3620872604706322,0.0,0.0,0.0,,50.0,92.0,42.0,0.84,0.0,0.0,0.0,
1,0,0,2,single_node_silence,0.006369556369556433,0.006369556369556433,90,98,9,0.053236163382987395,0.1,0.1,0.1,0.09972500000000001,0.10073232323232323,0.0,12.857274242424241,13.50330732323232,0.6460330808080794,0.050246503934435,40.0525,68.3525,28.300000000000004,0.7065726234317459,0.0,0.0,0.0,,50.0,115.0,65.0,1.3,0.0,0.0,0.0,
1,0,0,3,single_node_silence,0.28562152133580715,0.28562152133580715,12,12,7,0.00015234408658444939,0.1,0.1,0.1,0.09942500000000001,0.10042929292929294,0.0,12.857274242424241,13.310087373737375,0.4528131313131336,0.0352184392100013,40.0525,65.295,25.2425,0.6302353161475563,0.0,0.0,0.0,,50.0,111.0,61.0,1.22,0.0,0.0,0.0,
1,0,0,4,single_node_silence,-0.01005596967135424,0.01005596967135424,93,97,13,0.05163972197021062,0.1,0.1,0.1,0.09935000000000001,0.10035353535353536,0.0,12.857274242424241,13.526665909090912,0.6693916666666713,0.05206326426933687,40.0525,68.03,27.9775,0.698520691592285,0.0,0.0,0.0,,50.0,113.0,63.0,1.26,0.0,0.0,0.0,
1,0,0,5,single_node_silence,0.17611607142857144,0.17611607142857144,56,57,8,0.002734044643225791,0.1,0.1,0.1,0.0992,0.1002020202020202,0.0,12.857274242424241,13.283523737373736,0.42624949494949504,0.03315239971649898,40.0525,65.995,25.942500000000003,0.6477123775045254,0.0,0.0,0.0,,50.0,113.0,63.0,1.26,0.0,0.0,0.0,
1,0,0,6,single_node_silence,0.10945073445073461,0.10945073445073461,73,75,12,0.050875541832627914,0.1,0.1,0.1,0.099575,0.10058080808080808,0.0,12.857274242424241,13.292788383838383,0.43551414141414213,0.033872975966951595,40.0525,57.9625,17.909999999999997,0.4471630984333062,0.0,0.0,0.0,,50.0,90.0,40.0,0.8,0.0,0.0,0.0,
1,0,0,7,single_node_silence,0.22777777777777775,0.22777777777777775,38,38,3,0.0,0.1,0.1,0.1,0.09939999999999999,0.1004040404040404,0.0,12.857274242424241,13.280875252525252,0.42360101010101125,0.03294640855549965,40.0525,59.985,19.932499999999997,0.49765932213969155,0.0,0.0,0.0,,50.0,100.0,50.0,1.0,0.0,0.0,0.0,
1,0,0,8,single_node_silence,0.23444762308398673,0.23444762308398673,29,29,11,0.0077132552286399555,0.1,0.1,0.1,0.09960000000000001,0.10060606060606062,0.0,12.857274242424241,13.095122222222221,0.23784797979798,0.018499098278013687,40.0525,66.35,26.297499999999992,0.6565757443355593,0.0,0.0,0.0,,50.0,113.0,63.0,1.26,0.0,0.0,0.0,
1,0,0,9,single_node_silence,0.16450771450771454,0.16450771450771454,61,62,10,0.01060157314558311,0.1,0.1,0.1,0.099525,0.10053030303030304,0.0,12.857274242424241,13.296694191919192,0.4394199494949511,0.034176757935599454,40.0525,57.0525,17.0,0.4244429186692466,0.0,0.0,0.0,,50.0,98.0,48.0,0.96,0.0,0.0,0.0,
