checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,model_label,node_count
490,n050_s00,nn,50,200,0.2,0.1,0.09340924769639969,0.09340924769639969,4.947755102040818,0.09119999999999999,0.09340924769639969,0.03275063633918762,0.035426873713731766,0.05157195031642914,0.09261800348758698,0.13705259859561922,0.20286941528320312,0.03218768164515495,0.03275063633918762,0.013377015478909016,community,single_n_v3_3,V3.3 single-N MPNN,50
490,n050_s01,nn,50,200,0.2,0.1,0.09508532285690308,0.09508532285690308,4.3730877551020395,0.09820000000000001,0.09508532285690308,0.035638317465782166,0.03733932971954346,0.05138513743877411,0.09231524169445038,0.1391693890094757,0.24166831374168396,0.03503645583987236,0.035638317465782166,0.014772210270166397,community,single_n_v3_3,V3.3 single-N MPNN,50
490,n050_s02,nn,50,200,0.2,0.1,0.0955672636628151,0.0955672636628151,4.860555102040813,0.0998,0.0955672636628151,0.03492139279842377,0.03629777953028679,0.052804574370384216,0.09231531620025635,0.14587945044040682,0.21097326278686523,0.03426472842693329,0.03492139279842377,0.014437897130846977,community,single_n_v3_3,V3.3 single-N MPNN,50
490,n050_s03,nn,50,200,0.2,0.1,0.09803181141614914,0.09803181141614914,4.016353061224493,0.1009,0.09803181141614914,0.03726886585354805,0.036686837673187256,0.0526212900876999,0.09452424943447113,0.14775111675262453,0.24726596474647522,0.03658885508775711,0.03726886585354805,0.017871133983135223,community,single_n_v3_3,V3.3 single-N MPNN,50
490,n050_s04,nn,50,200,0.2,0.1,0.0997806265950203,0.0997806265950203,4.815155102040815,0.094,0.0997806265950203,0.03691895306110382,0.035843998193740845,0.053153681755065914,0.0981331467628479,0.14966025948524475,0.24911996722221375,0.036296531558036804,0.03691895306110382,0.016277574002742767,community,single_n_v3_3,V3.3 single-N MPNN,50
490,n060_s00,nn,60,200,0.2,0.1,0.09450516849756241,0.09450516849756241,5.409885593220338,0.09683333333333333,0.09450516849756241,0.03588075563311577,0.03606638312339783,0.0506919801235199,0.09186627715826035,0.13917555212974547,0.23872938752174377,0.03534536436200142,0.03588075563311577,0.016426516696810722,community,single_n_v3_3,V3.3 single-N MPNN,60
490,n060_s01,nn,60,200,0.2,0.1,0.09450213611125946,0.09450213611125946,5.3829011299435034,0.094,0.09450213611125946,0.03470241650938988,0.035138607025146484,0.05093727111816407,0.09244741499423981,0.14111793041229248,0.21470537781715393,0.034042321145534515,0.03470241650938988,0.014512741938233376,community,single_n_v3_3,V3.3 single-N MPNN,60
490,n060_s02,nn,60,200,0.2,0.1,0.09500372409820557,0.09500372409820557,5.530370056497178,0.09491666666666668,0.09500372409820557,0.034720394760370255,0.03609490394592285,0.05219204425811767,0.09216916561126709,0.14231224060058595,0.23913222551345825,0.03408019617199898,0.034720394760370255,0.013601144775748253,community,single_n_v3_3,V3.3 single-N MPNN,60
490,n060_s03,nn,60,200,0.2,0.1,0.10063032805919647,0.10063032805919647,5.141687853107344,0.09591666666666666,0.10063032805919647,0.03970731422305107,0.036265015602111816,0.05378428399562835,0.09559611976146698,0.15677184462547303,0.24847927689552307,0.03915873542428017,0.03970731422305107,0.020810861140489578,community,single_n_v3_3,V3.3 single-N MPNN,60
490,n060_s04,nn,60,200,0.2,0.1,0.10040502995252609,0.10040502995252609,4.6747895480226,0.10291666666666667,0.10040502995252609,0.03900156915187836,0.03730875253677368,0.052599267661571504,0.09711277484893799,0.15030558109283448,0.24657034873962402,0.03841642290353775,0.03900156915187836,0.017908940091729164,community,single_n_v3_3,V3.3 single-N MPNN,60
